model,pr_auc_mean,accuracy_mean,risk_precision_mean,risk_recall_mean,risk_f1_mean
XGB,0.9820421752766028,0.931985882500828,0.9752288306823912,0.8944254989698432,0.9329943230030716
RF,0.9804369534908148,0.9297763881314854,0.9755710218065944,0.8898005596652206,0.93065543246853
LR,0.9790963865084952,0.9260422127199712,0.9690653840476045,0.8888365351047888,0.9271623419530778
MLP,0.9767519644582792,0.9184366703539438,0.9618675362350592,0.8810561359337857,0.9196427021463548
DT,0.9636308283127424,0.9248926871667672,0.9847141324012172,0.8717523672188382,0.9247848595111038
