domain,model,stage,pr_auc_mean,accuracy_mean,risk_precision_mean,risk_recall_mean,risk_f1_mean,generalization_gap_mean,pr_auc_std,accuracy_std,risk_precision_std,risk_recall_std,risk_f1_std,generalization_gap_std
uci,DT,S0,0.4171223594902813,0.6919712060829267,0.4030168279113109,0.7706786648013012,0.5214007861253803,0.1729652572569696,0.0363289166058192,0.077860119651493,0.0634425094888563,0.0889951886315519,0.0374443719203878,0.0484602339756761
uci,DT,S1,0.7330175266314812,0.8590824861866202,0.6562946718648474,0.8035175462969734,0.7068083199970441,0.0881545576750677,0.0185420183336394,0.0170003439842952,0.0898997408343424,0.1408044135068796,0.0119018350447015,0.014517702763511
uci,DT,S2,0.8547326731772529,0.8760284441729812,0.6531428215236619,0.8929478461365973,0.7544208625901226,0.0589108899809388,0.0212625207071889,0.0076304799581243,0.0110645578051296,0.0201373093403806,0.0138863543999788,0.0225840845486638
uci,LR,S0,0.4671498582377855,0.6486406092199396,0.3498819552656895,0.7242265151625938,0.4665399752890445,0.1822237836097012,0.0308139966276432,0.0547152218805498,0.0190729607349153,0.1367626639088734,0.0105040632974062,0.0298921269864631
uci,LR,S1,0.7653286057867139,0.8496141979974883,0.624333190700328,0.7640897650256976,0.6836819693481551,0.1342416270920167,0.0477332411972474,0.0127705091545603,0.0443131229656541,0.0740258332101876,0.021217820677566,0.0420536737701301
uci,LR,S2,0.8659409130630659,0.9109712302727198,0.8054610733182161,0.7925365882985689,0.7925859670045717,0.0971453889885893,0.0402730707149115,0.0177622525457263,0.0969718179420826,0.0644090384509008,0.0306694105716174,0.030808894606578
uci,MLP,S0,0.4238192504162245,0.6584435228805205,0.3656226512365837,0.6595848857734469,0.4579518128999695,0.3141733347775901,0.0591946210936932,0.1064602818444654,0.0748678382446157,0.1191504866586753,0.0375493541131672,0.1331070120362922
uci,MLP,S1,0.7269028549711529,0.82568503310306,0.5707265876277106,0.7956596130504088,0.6614784069850499,0.178804707010551,0.0410338955425595,0.0287799452865358,0.0542495555567778,0.0695618462382389,0.0385899886402277,0.0357702591946898
uci,MLP,S2,0.807326284180824,0.8421355622883814,0.6160395412998974,0.8302376607753832,0.6971070769895378,0.1355040842332889,0.0399656829948801,0.0541104384192827,0.0959386172941663,0.0970150055491469,0.0530418862561262,0.0294317751366369
uci,RF,S0,0.4956359135370605,0.6602591012416755,0.378697895275866,0.8209303320664664,0.5118022678850629,0.5035036152331595,0.0392236711274855,0.0832690922240549,0.0575541210048001,0.107287102666967,0.0438982976491323,0.0388026685258934
uci,RF,S1,0.789522782338721,0.8638065092045522,0.6709494742596239,0.7901935072932864,0.7121062615797601,0.205884805518319,0.0504824116351058,0.0256542191438932,0.0871860398860928,0.1339564519148668,0.0237120787732247,0.0509660146821827
uci,RF,S2,0.9098305124309952,0.9082532802367376,0.7789267228736536,0.8231970435798984,0.7919743124526716,0.0884638827735997,0.0206054616740728,0.0194071283286007,0.093946002451036,0.1051810579652375,0.0423916526220357,0.0207996838003432
uci,XGB,S0,0.484898979803566,0.6959461434414416,0.3850746693121604,0.6739569741865701,0.4862250842138142,0.5145175908881775,0.0518381711063559,0.0403656759715874,0.0355918652579497,0.0833083368925334,0.0201051978185658,0.0517661399184053
uci,XGB,S1,0.7752108112187215,0.8569965364919827,0.6390380126843617,0.8073192304338384,0.7041765200932171,0.2247891887812784,0.0496523750577665,0.0120569140128756,0.0543924572847169,0.1286116296544288,0.0255587903048035,0.0496523750577666
uci,XGB,S2,0.8973420579564311,0.8968875631538383,0.7283833239154281,0.8394539960472017,0.7767382626470906,0.102657942043569,0.0227907509842749,0.0147788687638014,0.0595414087668453,0.0568737671754743,0.0251081262741209,0.0227907509842748
