dataset,scenario,strategy,threshold_low,score,macro_f1,recall_low
student-por,late,none,0.0,0.6811630495269895,0.08903728436282693,1.0
student-por,late,class_weight,0.31666666666666665,0.686512148977523,0.10432042565006555,1.0
student-por,late,smotenc,0.2923076923076923,0.7313980131258081,0.23256575178802308,1.0
student-por,late,random_oversampling,0.2923076923076923,0.7291873791770229,0.22624965479149406,1.0
student-por,late,focal_loss,0.31666666666666665,0.6812151616499442,0.08918617614269787,1.0
student-por,late,smotenc_focal_loss,0.34102564102564104,0.7292938622075313,0.2265538920215179,1.0
