outer_fold,trial,learning_rate,max_iter,max_leaf_nodes,l2_regularization,inner_macro_f1_mean
0,0,0.03,50,7,0.0,0.8740291757255134
0,1,0.03,50,7,0.1,0.8740291757255134
0,2,0.03,50,7,1.0,0.8917275394440508
0,3,0.03,50,15,0.0,0.8740291757255134
0,4,0.03,50,15,0.1,0.8740291757255134
0,5,0.03,50,15,1.0,0.8917275394440508
0,6,0.03,50,31,0.0,0.8740291757255134
0,7,0.03,50,31,0.1,0.8740291757255134
0,8,0.03,50,31,1.0,0.8917275394440508
0,9,0.03,100,7,0.0,0.8705302836190264
0,10,0.03,100,7,0.1,0.8705302836190264
0,11,0.03,100,7,1.0,0.8705302836190264
0,12,0.03,100,15,0.0,0.8705302836190264
0,13,0.03,100,15,0.1,0.8705302836190264
0,14,0.03,100,15,1.0,0.8705302836190264
0,15,0.03,100,31,0.0,0.8705302836190264
0,16,0.03,100,31,0.1,0.8705302836190264
0,17,0.03,100,31,1.0,0.8705302836190264
0,18,0.03,200,7,0.0,0.860397933241515
0,19,0.03,200,7,0.1,0.860397933241515
0,20,0.03,200,7,1.0,0.8705302836190264
0,21,0.03,200,15,0.0,0.860397933241515
0,22,0.03,200,15,0.1,0.860397933241515
0,23,0.03,200,15,1.0,0.8705302836190264
0,24,0.03,200,31,0.0,0.860397933241515
0,25,0.03,200,31,0.1,0.860397933241515
0,26,0.03,200,31,1.0,0.8705302836190264
0,27,0.05,50,7,0.0,0.8705302836190264
0,28,0.05,50,7,0.1,0.8705302836190264
0,29,0.05,50,7,1.0,0.8740291757255134
0,30,0.05,50,15,0.0,0.8705302836190264
0,31,0.05,50,15,0.1,0.8705302836190264
0,32,0.05,50,15,1.0,0.8740291757255134
0,33,0.05,50,31,0.0,0.8705302836190264
0,34,0.05,50,31,0.1,0.8705302836190264
0,35,0.05,50,31,1.0,0.8740291757255134
0,36,0.05,100,7,0.0,0.860397933241515
0,37,0.05,100,7,0.1,0.860397933241515
0,38,0.05,100,7,1.0,0.8705302836190264
0,39,0.05,100,15,0.0,0.860397933241515
0,40,0.05,100,15,0.1,0.860397933241515
0,41,0.05,100,15,1.0,0.8705302836190264
0,42,0.05,100,31,0.0,0.860397933241515
0,43,0.05,100,31,0.1,0.860397933241515
0,44,0.05,100,31,1.0,0.8705302836190264
0,45,0.05,200,7,0.0,0.8705302836190264
0,46,0.05,200,7,0.1,0.8705302836190264
0,47,0.05,200,7,1.0,0.860397933241515
0,48,0.05,200,15,0.0,0.8705302836190264
0,49,0.05,200,15,0.1,0.8705302836190264
0,50,0.05,200,15,1.0,0.860397933241515
0,51,0.05,200,31,0.0,0.8705302836190264
0,52,0.05,200,31,0.1,0.8705302836190264
0,53,0.05,200,31,1.0,0.860397933241515
0,54,0.1,50,7,0.0,0.860397933241515
0,55,0.1,50,7,0.1,0.860397933241515
0,56,0.1,50,7,1.0,0.8705302836190264
0,57,0.1,50,15,0.0,0.860397933241515
0,58,0.1,50,15,0.1,0.860397933241515
0,59,0.1,50,15,1.0,0.8705302836190264
0,60,0.1,50,31,0.0,0.860397933241515
0,61,0.1,50,31,0.1,0.860397933241515
0,62,0.1,50,31,1.0,0.8705302836190264
0,63,0.1,100,7,0.0,0.8705302836190264
0,64,0.1,100,7,0.1,0.8705302836190264
0,65,0.1,100,7,1.0,0.860397933241515
0,66,0.1,100,15,0.0,0.8705302836190264
0,67,0.1,100,15,0.1,0.8705302836190264
0,68,0.1,100,15,1.0,0.860397933241515
0,69,0.1,100,31,0.0,0.8705302836190264
0,70,0.1,100,31,0.1,0.8705302836190264
0,71,0.1,100,31,1.0,0.860397933241515
0,72,0.1,200,7,0.0,0.8537763415433077
0,73,0.1,200,7,0.1,0.8537763415433077
0,74,0.1,200,7,1.0,0.860397933241515
0,75,0.1,200,15,0.0,0.8537763415433077
0,76,0.1,200,15,0.1,0.8537763415433077
0,77,0.1,200,15,1.0,0.860397933241515
0,78,0.1,200,31,0.0,0.8537763415433077
0,79,0.1,200,31,0.1,0.8537763415433077
0,80,0.1,200,31,1.0,0.860397933241515
1,0,0.03,50,7,0.0,0.8906881646222287
1,1,0.03,50,7,0.1,0.8906881646222287
1,2,0.03,50,7,1.0,0.8906881646222287
1,3,0.03,50,15,0.0,0.8906881646222287
1,4,0.03,50,15,0.1,0.8906881646222287
1,5,0.03,50,15,1.0,0.8906881646222287
1,6,0.03,50,31,0.0,0.8906881646222287
1,7,0.03,50,31,0.1,0.8906881646222287
1,8,0.03,50,31,1.0,0.8906881646222287
1,9,0.03,100,7,0.0,0.8748219435025497
1,10,0.03,100,7,0.1,0.8748219435025497
1,11,0.03,100,7,1.0,0.8748219435025497
1,12,0.03,100,15,0.0,0.8748219435025497
1,13,0.03,100,15,0.1,0.8748219435025497
1,14,0.03,100,15,1.0,0.8748219435025497
1,15,0.03,100,31,0.0,0.8748219435025497
1,16,0.03,100,31,0.1,0.8748219435025497
1,17,0.03,100,31,1.0,0.8748219435025497
1,18,0.03,200,7,0.0,0.8753266397467194
1,19,0.03,200,7,0.1,0.8753266397467194
1,20,0.03,200,7,1.0,0.8753266397467194
1,21,0.03,200,15,0.0,0.8753266397467194
1,22,0.03,200,15,0.1,0.8753266397467194
1,23,0.03,200,15,1.0,0.8753266397467194
1,24,0.03,200,31,0.0,0.8753266397467194
1,25,0.03,200,31,0.1,0.8753266397467194
1,26,0.03,200,31,1.0,0.8753266397467194
1,27,0.05,50,7,0.0,0.8748219435025497
1,28,0.05,50,7,0.1,0.8748219435025497
1,29,0.05,50,7,1.0,0.8748219435025497
1,30,0.05,50,15,0.0,0.8748219435025497
1,31,0.05,50,15,0.1,0.8748219435025497
1,32,0.05,50,15,1.0,0.8748219435025497
1,33,0.05,50,31,0.0,0.8748219435025497
1,34,0.05,50,31,0.1,0.8748219435025497
1,35,0.05,50,31,1.0,0.8748219435025497
1,36,0.05,100,7,0.0,0.8753266397467194
1,37,0.05,100,7,0.1,0.8753266397467194
1,38,0.05,100,7,1.0,0.8753266397467194
1,39,0.05,100,15,0.0,0.8753266397467194
1,40,0.05,100,15,0.1,0.8753266397467194
1,41,0.05,100,15,1.0,0.8753266397467194
1,42,0.05,100,31,0.0,0.8753266397467194
1,43,0.05,100,31,0.1,0.8753266397467194
1,44,0.05,100,31,1.0,0.8753266397467194
1,45,0.05,200,7,0.0,0.8689615452305529
1,46,0.05,200,7,0.1,0.8689615452305529
1,47,0.05,200,7,1.0,0.8689615452305529
1,48,0.05,200,15,0.0,0.8689615452305529
1,49,0.05,200,15,0.1,0.8689615452305529
1,50,0.05,200,15,1.0,0.8689615452305529
1,51,0.05,200,31,0.0,0.8689615452305529
1,52,0.05,200,31,0.1,0.8689615452305529
1,53,0.05,200,31,1.0,0.8689615452305529
1,54,0.1,50,7,0.0,0.8753266397467194
1,55,0.1,50,7,0.1,0.8753266397467194
1,56,0.1,50,7,1.0,0.8753266397467194
1,57,0.1,50,15,0.0,0.8753266397467194
1,58,0.1,50,15,0.1,0.8753266397467194
1,59,0.1,50,15,1.0,0.8753266397467194
1,60,0.1,50,31,0.0,0.8753266397467194
1,61,0.1,50,31,0.1,0.8753266397467194
1,62,0.1,50,31,1.0,0.8753266397467194
1,63,0.1,100,7,0.0,0.8689615452305529
1,64,0.1,100,7,0.1,0.8658521153982718
1,65,0.1,100,7,1.0,0.8689615452305529
1,66,0.1,100,15,0.0,0.8689615452305529
1,67,0.1,100,15,0.1,0.8658521153982718
1,68,0.1,100,15,1.0,0.8689615452305529
1,69,0.1,100,31,0.0,0.8689615452305529
1,70,0.1,100,31,0.1,0.8658521153982718
1,71,0.1,100,31,1.0,0.8689615452305529
1,72,0.1,200,7,0.0,0.857560896316604
1,73,0.1,200,7,0.1,0.8658521153982718
1,74,0.1,200,7,1.0,0.8658521153982718
1,75,0.1,200,15,0.0,0.857560896316604
1,76,0.1,200,15,0.1,0.8658521153982718
1,77,0.1,200,15,1.0,0.8658521153982718
1,78,0.1,200,31,0.0,0.857560896316604
1,79,0.1,200,31,0.1,0.8658521153982718
1,80,0.1,200,31,1.0,0.8658521153982718
2,0,0.03,50,7,0.0,0.8769366730779549
2,1,0.03,50,7,0.1,0.8769366730779549
2,2,0.03,50,7,1.0,0.8769366730779549
2,3,0.03,50,15,0.0,0.8769366730779549
2,4,0.03,50,15,0.1,0.8769366730779549
2,5,0.03,50,15,1.0,0.8769366730779549
2,6,0.03,50,31,0.0,0.8769366730779549
2,7,0.03,50,31,0.1,0.8769366730779549
2,8,0.03,50,31,1.0,0.8769366730779549
2,9,0.03,100,7,0.0,0.8998339251687554
2,10,0.03,100,7,0.1,0.8998339251687554
2,11,0.03,100,7,1.0,0.8998339251687554
2,12,0.03,100,15,0.0,0.8998339251687554
2,13,0.03,100,15,0.1,0.8998339251687554
2,14,0.03,100,15,1.0,0.8998339251687554
2,15,0.03,100,31,0.0,0.8998339251687554
2,16,0.03,100,31,0.1,0.8998339251687554
2,17,0.03,100,31,1.0,0.8998339251687554
2,18,0.03,200,7,0.0,0.889685893295404
2,19,0.03,200,7,0.1,0.889685893295404
2,20,0.03,200,7,1.0,0.9030534679656608
2,21,0.03,200,15,0.0,0.889685893295404
2,22,0.03,200,15,0.1,0.889685893295404
2,23,0.03,200,15,1.0,0.9030534679656608
2,24,0.03,200,31,0.0,0.889685893295404
2,25,0.03,200,31,0.1,0.889685893295404
2,26,0.03,200,31,1.0,0.9030534679656608
2,27,0.05,50,7,0.0,0.8998339251687554
2,28,0.05,50,7,0.1,0.8998339251687554
2,29,0.05,50,7,1.0,0.8998339251687554
2,30,0.05,50,15,0.0,0.8998339251687554
2,31,0.05,50,15,0.1,0.8998339251687554
2,32,0.05,50,15,1.0,0.8998339251687554
2,33,0.05,50,31,0.0,0.8998339251687554
2,34,0.05,50,31,0.1,0.8998339251687554
2,35,0.05,50,31,1.0,0.8998339251687554
2,36,0.05,100,7,0.0,0.889685893295404
2,37,0.05,100,7,0.1,0.889685893295404
2,38,0.05,100,7,1.0,0.9030534679656608
2,39,0.05,100,15,0.0,0.889685893295404
2,40,0.05,100,15,0.1,0.889685893295404
2,41,0.05,100,15,1.0,0.9030534679656608
2,42,0.05,100,31,0.0,0.889685893295404
2,43,0.05,100,31,0.1,0.889685893295404
2,44,0.05,100,31,1.0,0.9030534679656608
2,45,0.05,200,7,0.0,0.889685893295404
2,46,0.05,200,7,0.1,0.889685893295404
2,47,0.05,200,7,1.0,0.889685893295404
2,48,0.05,200,15,0.0,0.889685893295404
2,49,0.05,200,15,0.1,0.889685893295404
2,50,0.05,200,15,1.0,0.889685893295404
2,51,0.05,200,31,0.0,0.889685893295404
2,52,0.05,200,31,0.1,0.889685893295404
2,53,0.05,200,31,1.0,0.889685893295404
2,54,0.1,50,7,0.0,0.889685893295404
2,55,0.1,50,7,0.1,0.889685893295404
2,56,0.1,50,7,1.0,0.9030534679656608
2,57,0.1,50,15,0.0,0.889685893295404
2,58,0.1,50,15,0.1,0.889685893295404
2,59,0.1,50,15,1.0,0.9030534679656608
2,60,0.1,50,31,0.0,0.889685893295404
2,61,0.1,50,31,0.1,0.889685893295404
2,62,0.1,50,31,1.0,0.9030534679656608
2,63,0.1,100,7,0.0,0.889685893295404
2,64,0.1,100,7,0.1,0.889685893295404
2,65,0.1,100,7,1.0,0.889685893295404
2,66,0.1,100,15,0.0,0.889685893295404
2,67,0.1,100,15,0.1,0.889685893295404
2,68,0.1,100,15,1.0,0.889685893295404
2,69,0.1,100,31,0.0,0.889685893295404
2,70,0.1,100,31,0.1,0.889685893295404
2,71,0.1,100,31,1.0,0.889685893295404
2,72,0.1,200,7,0.0,0.889685893295404
2,73,0.1,200,7,0.1,0.889685893295404
2,74,0.1,200,7,1.0,0.889685893295404
2,75,0.1,200,15,0.0,0.889685893295404
2,76,0.1,200,15,0.1,0.889685893295404
2,77,0.1,200,15,1.0,0.889685893295404
2,78,0.1,200,31,0.0,0.889685893295404
