group_feature_dim,action_feature_dim,group_hidden_dim,action_embedding_dim,dropout,learning_rate,weight_decay,recommendability_loss_weight,listwise_loss_weight,candidate_binary_loss_weight,config_id,outer_fold,trial_index,fixed_epoch,mean_best_epoch,mean_validation_loss,end_to_end_precision_at_1,positive_group_coverage,stage_a_precision,stage_a_recall,stage_b_conditional_precision_at_1,conditional_precision_at_1_all_positive,ndcg_at_3,mrr,abstention_rate,action_diversity,top_action_concentration,worst_stage_precision,selection_target_met
110,8,64,8,0.1,0.001,0.0001,1.0,1.0,0.25,4e08e7e5eab5d192,2,0,20,20.0,1.3706339056909116,0.6142531593122021,0.5118452860596293,0.657965610109799,0.5118452860596293,0.9335642317380353,0.934730056406124,0.9709042445850881,0.9648133225893097,0.7499870513285337,4,0.39879842552309924,0.6062874251497006,False
110,8,64,16,0.1,0.001,0.0001,1.0,1.0,0.5,94dd81fa1a342676,2,1,13,15.333333333333334,1.4432290859283636,0.6188108556038947,0.5124899274778405,0.6587942821628341,0.5124899274778405,0.9393081761006289,0.9392425463336019,0.9712458689232047,0.9666666666666666,0.7499870513285337,4,0.4162005386368345,0.6089841755997958,False
110,8,96,16,0.1,0.001,0.0001,1.0,1.0,0.25,c2aa50d29b584dba,2,2,10,11.0,1.3777009009751546,0.6063807748083696,0.5071716357775987,0.6519577377252952,0.5071716357775987,0.9300921512551636,0.9365028203062047,0.9710579296896036,0.9658340048348106,0.7499870513285337,4,0.40004143360265176,0.5961045617631984,False
110,8,96,16,0.2,0.001,0.0001,2.0,1.0,0.25,66e7c4bd791e45fa,2,3,21,21.0,2.1037064892636006,0.6165320074580485,0.5145850120870266,0.6614874663351978,0.5145850120870266,0.9320388349514563,0.935535858178888,0.9709100806080824,0.9654042438893367,0.7499870513285337,4,0.4050134659208618,0.6087176887987836,False
110,8,64,8,0.2,0.0003,0.0001,2.0,1.0,0.5,906b4ef6c5e18798,2,4,46,48.666666666666664,2.171786788938238,0.614460327325461,0.5110394842868654,0.6569297700435053,0.5110394842868654,0.9353516240933459,0.9373086220789686,0.9712974592149739,0.9659280150416332,0.7499870513285337,4,0.4097783302258131,0.6034658511722731,False
110,8,64,16,0.2,0.0003,0.0001,1.0,1.0,0.25,fbf4a27450169bec,2,5,50,48.666666666666664,1.3689888509179158,0.615288999378496,0.511361804995971,0.6573441060700228,0.511361804995971,0.9360226914591869,0.9385979049153909,0.9716789419046387,0.9664383561643836,0.7499870513285337,4,0.41765071472964577,0.6061522945032779,False
110,8,96,8,0.1,0.0003,0.0001,2.0,1.0,0.5,cf2bcd645cfc8900,2,6,34,31.666666666666668,2.1859604673914492,0.6134244872591672,0.5123287671232877,0.6585871141495753,0.5123287671232877,0.9314249764076754,0.9345688960515713,0.9702117755456274,0.9647864625302176,0.7499870513285337,4,0.41847938678268076,0.6065573770491803,False
110,8,96,16,0.2,0.0003,0.0001,1.0,1.0,0.5,1ca4d471f07d5b29,2,7,34,33.0,1.4441804303924417,0.6130101512326497,0.5120064464141821,0.6581727781230577,0.5120064464141821,0.9313818067359144,0.9348912167606769,0.970659597345895,0.9648939027665862,0.7499870513285337,4,0.4012844416822043,0.6028368794326241,False
110,8,64,8,0.1,0.0003,0.0001,2.0,1.0,0.25,e0b5468a0be46413,2,8,42,41.666666666666664,2.1081613376593253,0.6117671431530972,0.5107171635777599,0.6565154340169878,0.5107171635777599,0.9318396970653203,0.934730056406124,0.9707359184001894,0.9648804727370401,0.7499870513285337,4,0.39527656929770044,0.6005050505050505,False
110,8,64,16,0.2,0.001,0.0001,2.0,1.0,0.5,5e5b462c2327386b,2,9,21,24.0,2.168136899963103,0.6219183758027761,0.5163577759871072,0.6637663144810442,0.5163577759871072,0.9369538077403246,0.9366639806607574,0.9706202561688363,0.9655519742143432,0.7499870513285337,4,0.4077066500932256,0.6108108108108108,False
110,8,96,8,0.2,0.001,0.0001,1.0,1.0,0.25,711d42e55150ece1,2,10,19,19.0,1.3692234355630954,0.6188108556038947,0.5129734085414988,0.6594157862026103,0.5129734085414988,0.9384228715048696,0.9382755842062852,0.971287262535825,0.9665995165189364,0.7499870513285337,4,0.39465506525792415,0.6021505376344086,False
110,8,96,16,0.1,0.0003,0.0001,2.0,1.0,0.25,aa9ccf13aefb1ad6,2,11,30,29.666666666666668,2.114182287570727,0.6163248394447898,0.512812248186946,0.6592086181893516,0.512812248186946,0.9349465744814582,0.9363416599516519,0.9707473761255578,0.9655922643029815,0.7499870513285337,4,0.40169877770872175,0.6111394992335207,False
