group_feature_dim,action_feature_dim,group_hidden_dim,action_embedding_dim,dropout,learning_rate,weight_decay,recommendability_loss_weight,listwise_loss_weight,candidate_binary_loss_weight,config_id,outer_fold,trial_index,fixed_epoch,mean_best_epoch,mean_validation_loss,end_to_end_precision_at_1,positive_group_coverage,stage_a_precision,stage_a_recall,stage_b_conditional_precision_at_1,conditional_precision_at_1_all_positive,ndcg_at_3,mrr,abstention_rate,action_diversity,top_action_concentration,worst_stage_precision,selection_target_met
110,8,64,8,0.1,0.001,0.0001,1.0,1.0,0.25,4e08e7e5eab5d192,1,0,14,14.0,1.3709971407627342,0.629560915275201,0.5240547063555913,0.6714079571222429,0.5240547063555913,0.9376727049431992,0.9369267900241351,0.971397253021688,0.9661035130061678,0.75,4,0.3984745413316842,0.6122655854029397,False
110,8,64,16,0.1,0.001,0.0001,1.0,1.0,0.5,94dd81fa1a342676,1,1,14,14.666666666666666,1.444085927315263,0.6250257678829108,0.5229283990345938,0.6699649556792414,0.5229283990345938,0.932923076923077,0.9353177795655672,0.9706135533720924,0.9650442477876107,0.75,4,0.4227994227994228,0.6031187122736419,False
110,8,96,16,0.1,0.001,0.0001,1.0,1.0,0.25,c2aa50d29b584dba,1,2,14,14.0,1.3727517163639498,0.6250257678829108,0.5219629927594529,0.6687280972995259,0.5219629927594529,0.9346485819975339,0.9367658889782784,0.9708641470606485,0.9661169214266558,0.75,4,0.4038342609771181,0.6090188305252725,False
110,8,96,16,0.2,0.001,0.0001,2.0,1.0,0.25,66e7c4bd791e45fa,1,3,19,18.666666666666668,2.0956711989780006,0.632240775097918,0.5272727272727272,0.6755308183879613,0.5272727272727272,0.9359169972535856,0.9366049879324215,0.9711602390760833,0.9661437382676322,0.75,4,0.44959802102659246,0.6098522167487684,False
110,8,64,8,0.2,0.0003,0.0001,2.0,1.0,0.5,906b4ef6c5e18798,1,4,56,54.0,2.1628858373435373,0.6307977736549165,0.5263073209975865,0.6742939600082457,0.5263073209975865,0.9354937328034241,0.9358004827031375,0.9706609426140145,0.9654465004022527,0.75,4,0.39517625231910947,0.6154618473895582,False
110,8,64,16,0.2,0.0003,0.0001,1.0,1.0,0.25,fbf4a27450169bec,1,5,48,45.666666666666664,1.3685043511321926,0.6221397649969078,0.5227674979887369,0.6697588126159555,0.5227674979887369,0.9289012003693444,0.9335478680611424,0.9701012537648747,0.9643336015017432,0.75,4,0.393733250876108,0.6007049345417925,False
110,8,96,8,0.1,0.0003,0.0001,2.0,1.0,0.5,cf2bcd645cfc8900,1,6,24,25.666666666666668,2.1806366529761623,0.6258503401360545,0.5258246178600161,0.6736755308183879,0.5258246178600161,0.9290085679314566,0.9341914722445696,0.9702882586163352,0.964521319388576,0.75,4,0.42259327973613686,0.5978968452679019,False
110,8,96,16,0.2,0.0003,0.0001,1.0,1.0,0.5,1ca4d471f07d5b29,1,7,32,30.0,1.4419094871894156,0.62708719851577,0.5234111021721641,0.6705833848690992,0.5234111021721641,0.9351367968029511,0.9388576025744167,0.9718387754433813,0.9670823277017966,0.75,4,0.40651412079983507,0.6031031031031031,False
110,8,64,8,0.1,0.0003,0.0001,2.0,1.0,0.25,e0b5468a0be46413,1,8,38,36.333333333333336,2.100347165878207,0.6266749123891981,0.5248592115848753,0.6724386724386724,0.5248592115848753,0.9319435928877989,0.9332260659694288,0.9701705280358345,0.9642531509788147,0.75,4,0.40651412079983507,0.6066799601196411,False
110,8,64,16,0.2,0.001,0.0001,2.0,1.0,0.5,5e5b462c2327386b,1,9,25,22.0,2.161556758151965,0.6242011956297671,0.5222847948511665,0.6691403834260977,0.5222847948511665,0.9328404189772027,0.935478680611424,0.9709159379380747,0.965500134084205,0.75,4,0.3914656771799629,0.6046626984126984,False
110,8,96,8,0.2,0.001,0.0001,1.0,1.0,0.25,711d42e55150ece1,1,10,14,15.0,1.3694031738251022,0.6262626262626263,0.5255028157683025,0.6732632446918161,0.5255028157683025,0.9301898346601347,0.9329042638777152,0.9695689655440537,0.9639983909895414,0.75,4,0.4025974025974026,0.6086734693877551,False
110,8,96,16,0.1,0.0003,0.0001,2.0,1.0,0.25,aa9ccf13aefb1ad6,1,11,32,29.666666666666668,2.1025331010194206,0.6256441970727685,0.5238938053097345,0.671201814058957,0.5238938053097345,0.9321253071253072,0.9356395816572808,0.9708644127557872,0.9655939930276213,0.75,4,0.41434755720470007,0.6063031515757878,False
