config_id,risk_weight,evidence_weight,need_weight,certainty_weight,workload_weight,minimum_risk_reduction,maximum_uncertainty,minimum_evidence,minimum_top_margin,minimum_top_score,mean_precision_at_1,mean_actionable_coverage,mean_selective_accuracy,mean_macro_action_precision,worst_stage_precision,minimum_action_diversity,maximum_top_action_concentration,meets_target
2ed908a222056780,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.0,0.0,0.2116883134671419,0.4777513354946088,0.4187512432749636,0.16518062800154143,0.08830275229357798,4,0.48993487270574304,False
d8af803e373b7407,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.0,0.15,0.19969822126944123,0.449100055470628,0.4146683630068721,0.15719567039633178,0.0863905325443787,4,0.5036518563603165,False
b9109b9d46c61c35,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.0,0.25,0.19407179637888516,0.4097941717385094,0.4311260213812482,0.16006570795684547,0.08758169934640522,4,0.5401436031331592,False
aede29c230e15f29,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.02,0.0,0.21847482323024614,0.44129441464277613,0.4528961460835456,0.16973149113948968,0.08756345177664974,4,0.49420721615359153,False
4d77bf4349b2d80f,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.02,0.15,0.20527640800761895,0.4126431346187955,0.44881326581545417,0.16114462363456028,0.08541392904073587,4,0.509730283373165,False
cd4d5f3fa46552af,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.02,0.25,0.1994389933912142,0.37333725088667685,0.4652179468641256,0.16541984480468977,0.08663729809104258,4,0.5515330624307351,False
fc681f6bd969883f,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.05,0.0,0.23304498996535652,0.394695678711351,0.49765450467888067,0.176387127580214,0.09172932330827067,4,0.48458837300039015,False
393ff5b267a345b5,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.05,0.15,0.2181551599321919,0.36637467712919564,0.4935186470850846,0.16715547308126358,0.0904836193447738,4,0.5022240194096239,False
bb930cbab8b29e93,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.05,0.25,0.2127042242969451,0.32706879339707706,0.5099233281337562,0.17333176386988502,0.09269162210338681,4,0.5552288954220915,False
c9afa00cadb47d52,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.1,0.0,0.24922993672993674,0.3384785748191723,0.5438843982631586,0.18146411293492984,0.09980806142034548,4,0.48125,False
