candidate_id,outer_fold,seed,epochs_ran,selected_epoch,refit_epochs,hit_epoch_cap,full_refit_input_records,estimator_parity,criterion_parity,resampling_parity,scheduler_state,sample_utilization,cnn_output_sequence_length
A1,1,123,12,2,2,False,253,True,True,True,"{""learning_rate"": 0.004768518768930611, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
A1,1,155,35,8,8,False,253,True,True,True,"{""learning_rate"": 0.004768518768930611, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
A2,1,42,25,15,15,False,253,True,True,True,"{""learning_rate"": 0.004768518768930611, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
A2,1,123,60,54,54,True,253,True,True,True,"{""learning_rate"": 0.004768518768930611, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
A2,1,155,34,21,21,False,253,True,True,True,"{""learning_rate"": 0.004768518768930611, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
N0,2,42,60,58,58,True,253,True,True,True,"{""learning_rate"": 0.002887836918089701, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
N0,2,123,25,10,10,False,253,True,True,True,"{""learning_rate"": 0.002887836918089701, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
N0,2,155,27,17,17,False,253,True,True,True,"{""learning_rate"": 0.002887836918089701, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
N1,2,42,40,28,28,True,253,True,True,True,"{""learning_rate"": 0.009776149896058644, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
N1,2,123,40,32,32,True,253,True,True,True,"{""learning_rate"": 0.009776149896058644, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
N1,2,155,40,35,35,True,253,True,True,True,"{""learning_rate"": 0.009776149896058644, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
N2,2,42,60,25,25,True,253,True,True,True,"{""learning_rate"": 0.007714605667070646, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",0
N2,2,123,23,13,13,False,253,True,True,True,"{""learning_rate"": 0.007714605667070646, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",0
N2,2,155,50,40,40,False,253,True,True,True,"{""learning_rate"": 0.007714605667070646, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",0
N3,2,42,31,20,20,False,253,True,True,True,"{""learning_rate"": 0.009396488955948456, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",0
N3,2,123,38,28,28,False,253,True,True,True,"{""learning_rate"": 0.009396488955948456, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",0
N3,2,155,40,30,30,True,253,True,True,True,"{""learning_rate"": 0.009396488955948456, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",0
