dataset,scenario,deep_variant,deep_candidate_id,deep_prediction_mode,deep_macro_f1,deep_recall_low,deep_f1_low,baseline_model,baseline_macro_f1,baseline_recall_low,baseline_f1_low,macro_f1_gap_deep_minus_baseline,recall_low_gap_deep_minus_baseline,f1_low_gap_deep_minus_baseline
student-mat,late,old_seq_default,old_seq_default_control,argmax,0.9256122872561229,0.9230769230769231,0.8727272727272727,xgboost,0.9468659194686592,0.9615384615384616,0.9090909090909092,-0.02125363221253629,-0.038461538461538436,-0.03636363636363649
xapi,xapi,xapi_gated_fusion_v30,xapi_gated_k3_c32_h64,balanced_low_macro,0.7308641975308642,0.8461538461538461,0.8148148148148148,random_forest,0.8465351568457979,0.8846153846153846,0.8846153846153846,-0.11567095931493376,-0.038461538461538436,-0.06980056980056981
