dataset,scenario,candidate_id,variant,model_family,is_ensemble,ensemble_seeds,cnn_kernel_size,cnn_channels,lstm_hidden_dim,loss_name,use_class_weight,imbalance_strategy,dropout,context_hidden_dim,base_candidate_id,threshold_grid,calibrate_temperature,prediction_mode,threshold_low,temperature,selection_score,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence,oof_accuracy,oof_macro_precision,oof_macro_recall,oof_macro_f1,oof_recall_low,oof_f1_low,oof_rmse,oof_r2,oof_mean_confidence,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,recall_low_mean,recall_low_std,f1_low_mean,f1_low_std,rmse_mean,rmse_std,r2_mean,r2_std,selected_for_locked
student-mat,late,old_seq_default_control,old_seq_default,sequence,False,,3,32,64,ce,False,none,0.15,64,,standard,False,argmax,,1.0,0.8964933446611137,0.8892405063291139,0.8971853359034769,0.8980042945560186,0.8964933446611137,0.9230769230769231,0.8767123287671232,2.9171036441796296,0.5921508168992722,0.8365421252722021,0.8892405063291139,0.8971853359034769,0.8980042945560186,0.8964933446611137,0.9230769230769231,0.8767123287671232,2.9171036441796296,0.5921508168992722,0.8365421252722021,0.8892482779275231,0.019517799256367735,0.8972246282949904,0.023265947946274505,0.8978320612995536,0.019705146328193937,0.89634083614603,0.021332938855105982,0.9232492997198879,0.012676424088498338,0.876822027506959,0.009808073475012337,2.914651486326052,0.13253310578437666,0.5827822034595046,0.07225243963907813,True
student-mat,late,old_seq_default_control,old_seq_default,sequence,False,,3,32,64,ce,False,none,0.15,64,,standard,False,low_f1_tuned,0.49999999999999994,1.0,0.8776088221117844,0.8892405063291139,0.8971853359034769,0.8980042945560186,0.8964933446611137,0.9230769230769231,0.8767123287671232,2.9171036441796296,0.5921508168992722,0.8365421252722021,0.8892405063291139,0.8971853359034769,0.8980042945560186,0.8964933446611137,0.9230769230769231,0.8767123287671232,2.9171036441796296,0.5921508168992722,0.8365421252722021,0.8892482779275231,0.019517799256367735,0.8972246282949904,0.023265947946274505,0.8978320612995536,0.019705146328193937,0.89634083614603,0.021332938855105982,0.9232492997198879,0.012676424088498338,0.876822027506959,0.009808073475012337,2.914651486326052,0.13253310578437666,0.5827822034595046,0.07225243963907813,False
student-mat,late,old_seq_default_control,old_seq_default,sequence,False,,3,32,64,ce,False,none,0.15,64,,standard,False,low_recall_priority,0.2,1.0,0.9564511186025131,0.8322784810126582,0.8646704994682238,0.866327637879362,0.850679940072812,0.9903846153846154,0.8207171314741036,3.2408586141579865,0.496596713011783,0.8365421252722021,0.8322784810126582,0.8646704994682238,0.866327637879362,0.850679940072812,0.9903846153846154,0.8207171314741036,3.2408586141579865,0.496596713011783,0.8365421252722021,0.8322851153039833,0.004161091208854951,0.8649965002596581,0.013842377403344715,0.8661099707539336,0.008954945717029605,0.8505054510405513,0.009088829679095658,0.9904761904761905,0.01346870059402948,0.8207114170969593,0.009772965671180914,3.2405323702913624,0.05764133699490386,0.4839597038010191,0.08869594611068786,False
student-mat,late,old_seq_default_control,old_seq_default,sequence,False,,3,32,64,ce,False,none,0.15,64,,standard,False,balanced_low_macro,0.49999999999999994,1.0,0.8981939852915685,0.8892405063291139,0.8971853359034769,0.8980042945560186,0.8964933446611137,0.9230769230769231,0.8767123287671232,2.9171036441796296,0.5921508168992722,0.8365421252722021,0.8892405063291139,0.8971853359034769,0.8980042945560186,0.8964933446611137,0.9230769230769231,0.8767123287671232,2.9171036441796296,0.5921508168992722,0.8365421252722021,0.8892482779275231,0.019517799256367735,0.8972246282949904,0.023265947946274505,0.8978320612995536,0.019705146328193937,0.89634083614603,0.021332938855105982,0.9232492997198879,0.012676424088498338,0.876822027506959,0.009808073475012337,2.914651486326052,0.13253310578437666,0.5827822034595046,0.07225243963907813,False
student-mat,late,old_seq_default_ensemble11,old_seq_default_ensemble11,sequence,True,42|123|155|156|2025|7|99|200|300|500|1337,3,32,64,ce,False,none,0.15,64,old_seq_default,standard,False,argmax,,1.0,0.8939154883344216,0.8860759493670886,0.8945790001824484,0.8958397923915166,0.8939154883344216,0.9230769230769231,0.8727272727272727,2.932251910362202,0.587903967837606,0.8340043631045712,0.8860759493670886,0.8945790001824484,0.8958397923915166,0.8939154883344216,0.9230769230769231,0.8727272727272727,2.932251910362202,0.587903967837606,0.8340043631045712,0.8861036238394728,0.02040018694381478,0.8945987106314788,0.02375006665425297,0.8956953091628015,0.020606225665196418,0.8937949165498237,0.02206338164140197,0.9232492997198879,0.012676424088498338,0.8728728728728729,0.011325033532517232,2.930607831441486,0.11111419185124999,0.578863011700371,0.06775644472780457,False
student-mat,late,old_seq_default_ensemble11,old_seq_default_ensemble11,sequence,True,42|123|155|156|2025|7|99|200|300|500|1337,3,32,64,ce,False,none,0.15,64,old_seq_default,standard,False,low_f1_tuned,0.44999999999999996,1.0,0.8736211882156071,0.8860759493670886,0.8945790001824484,0.8958397923915166,0.8939154883344216,0.9230769230769231,0.8727272727272727,2.932251910362202,0.587903967837606,0.8340043631045712,0.8860759493670886,0.8945790001824484,0.8958397923915166,0.8939154883344216,0.9230769230769231,0.8727272727272727,2.932251910362202,0.587903967837606,0.8340043631045712,0.8861036238394728,0.02040018694381478,0.8945987106314788,0.02375006665425297,0.8956953091628015,0.020606225665196418,0.8937949165498237,0.02206338164140197,0.9232492997198879,0.012676424088498338,0.8728728728728729,0.011325033532517232,2.930607831441486,0.11111419185124999,0.578863011700371,0.06775644472780457,False
student-mat,late,old_seq_default_ensemble11,old_seq_default_ensemble11,sequence,True,42|123|155|156|2025|7|99|200|300|500|1337,3,32,64,ce,False,none,0.15,64,old_seq_default,standard,False,low_recall_priority,0.2,1.0,0.9571076923076924,0.8354430379746836,0.8664254815119992,0.8684921400438642,0.8532649035524132,0.9903846153846154,0.824,3.2202877456148173,0.5029669866042823,0.8340043631045712,0.8354430379746836,0.8664254815119992,0.8684921400438642,0.8532649035524132,0.9903846153846154,0.824,3.2202877456148173,0.5029669866042823,0.8340043631045712,0.8354597184785865,0.008623256878738716,0.8666218671231203,0.01609071656840427,0.8682886199914064,0.012033123318396224,0.8530984972563646,0.01264730816700873,0.9904761904761905,0.01346870059402948,0.8239625167336011,0.006626167962926178,3.2202588861674464,0.031175942054445203,0.49172458120047186,0.07771884454738619,False
student-mat,late,old_seq_default_ensemble11,old_seq_default_ensemble11,sequence,True,42|123|155|156|2025|7|99|200|300|500|1337,3,32,64,ce,False,none,0.15,64,old_seq_default,standard,False,balanced_low_macro,0.44999999999999996,1.0,0.8959087931182598,0.8860759493670886,0.8945790001824484,0.8958397923915166,0.8939154883344216,0.9230769230769231,0.8727272727272727,2.932251910362202,0.587903967837606,0.8340043631045712,0.8860759493670886,0.8945790001824484,0.8958397923915166,0.8939154883344216,0.9230769230769231,0.8727272727272727,2.932251910362202,0.587903967837606,0.8340043631045712,0.8861036238394728,0.02040018694381478,0.8945987106314788,0.02375006665425297,0.8956953091628015,0.020606225665196418,0.8937949165498237,0.02206338164140197,0.9232492997198879,0.012676424088498338,0.8728728728728729,0.011325033532517232,2.930607831441486,0.11111419185124999,0.578863011700371,0.06775644472780457,False
student-mat,late,old_seq_temperature,old_seq_default_temperature,sequence,False,,3,32,64,ce,False,none,0.15,64,,standard,True,argmax,,0.5,0.8964933446611137,0.8892405063291139,0.8971853359034769,0.8980042945560186,0.8964933446611137,0.9230769230769231,0.8767123287671232,2.9171036441796296,0.5921508168992722,0.9152217596061469,0.8892405063291139,0.8971853359034769,0.8980042945560186,0.8964933446611137,0.9230769230769231,0.8767123287671232,2.9171036441796296,0.5921508168992722,0.9152217596061469,0.8892482779275231,0.019517799256367735,0.8972246282949904,0.023265947946274505,0.8978320612995536,0.019705146328193937,0.89634083614603,0.021332938855105982,0.9232492997198879,0.012676424088498338,0.876822027506959,0.009808073475012337,2.914651486326052,0.13253310578437666,0.5827822034595046,0.07225243963907813,False
student-mat,late,old_seq_temperature,old_seq_default_temperature,sequence,False,,3,32,64,ce,False,none,0.15,64,,standard,True,low_f1_tuned,0.475,0.5,0.8776088221117844,0.8892405063291139,0.8971853359034769,0.8980042945560186,0.8964933446611137,0.9230769230769231,0.8767123287671232,2.9171036441796296,0.5921508168992722,0.9152217596061469,0.8892405063291139,0.8971853359034769,0.8980042945560186,0.8964933446611137,0.9230769230769231,0.8767123287671232,2.9171036441796296,0.5921508168992722,0.9152217596061469,0.8892482779275231,0.019517799256367735,0.8972246282949904,0.023265947946274505,0.8978320612995536,0.019705146328193937,0.89634083614603,0.021332938855105982,0.9232492997198879,0.012676424088498338,0.876822027506959,0.009808073475012337,2.914651486326052,0.13253310578437666,0.5827822034595046,0.07225243963907813,False
