dataset,scenario,model_id,outer_fold,trial,state,params,inner_fold_macro_f1,inner_objective,threshold,outer_rows_used_for_selection
student_mat,S0_EARLY_NO_GRADE,xgboost,0,6,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}","[0.43216456287985044, 0.41056694577279423, 0.40453599139045143]",0.4157558333476987,,False
student_mat,S0_EARLY_NO_GRADE,xgboost,0,7,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.9}","[0.4817319303087804, 0.4613853787392019, 0.4062186608745848]",0.4497786566408557,,False
student_mat,S0_EARLY_NO_GRADE,mlp,0,0,COMPLETE,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}","[0.5119029649595688, 0.3679172679172679, 0.27759622367465503]",0.3858054855171639,,False
student_mat,S0_EARLY_NO_GRADE,mlp,0,1,COMPLETE,"{""alpha"": 0.001, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}","[0.5119029649595688, 0.3679172679172679, 0.27759622367465503]",0.3858054855171639,,False
student_mat,S0_EARLY_NO_GRADE,mlp,0,2,COMPLETE,"{""alpha"": 0.01, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}","[0.5210945853990473, 0.3679172679172679, 0.27759622367465503]",0.38886935899699004,,False
student_mat,S0_EARLY_NO_GRADE,mlp,0,3,COMPLETE,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001}","[0.3320205275092493, 0.35435262501199727, 0.36638655462184877]",0.3509199023810318,,False
student_mat,S0_EARLY_NO_GRADE,mlp,0,4,COMPLETE,"{""alpha"": 0.001, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001}","[0.3320205275092493, 0.35435262501199727, 0.36638655462184877]",0.3509199023810318,,False
student_mat,S0_EARLY_NO_GRADE,mlp,0,5,COMPLETE,"{""alpha"": 0.01, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001}","[0.3320205275092493, 0.35435262501199727, 0.36638655462184877]",0.3509199023810318,,False
student_mat,S0_EARLY_NO_GRADE,mlp,0,6,COMPLETE,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}","[0.41111111111111115, 0.3459575611066344, 0.38439382037182507]",0.3804874975298569,,False
student_mat,S0_EARLY_NO_GRADE,mlp,0,7,COMPLETE,"{""alpha"": 0.001, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}","[0.41111111111111115, 0.3459575611066344, 0.38439382037182507]",0.3804874975298569,,False
student_mat,S0_EARLY_NO_GRADE,mlp,0,8,COMPLETE,"{""alpha"": 0.01, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}","[0.41111111111111115, 0.3459575611066344, 0.38439382037182507]",0.3804874975298569,,False
student_mat,S0_EARLY_NO_GRADE,logistic_regression,1,0,COMPLETE,"{""C"": 0.1, ""class_weight"": null}","[0.39021566073237807, 0.380592955256358, 0.3970412789310427]",0.38928329830659286,,False
student_mat,S0_EARLY_NO_GRADE,logistic_regression,1,1,COMPLETE,"{""C"": 0.1, ""class_weight"": ""balanced""}","[0.4882564096695315, 0.40046685340802984, 0.4371343288846563]",0.44195253065407253,,False
