dataset,scenario,model_id,model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,pr_auc,roc_auc,brier,nll,ece,confusion_matrix,seed_mean_macro_f1,seed_std_macro_f1,seed_min_macro_f1,seed_max_macro_f1,low_precision,low_recall,low_f1,low_support,medium_precision,medium_recall,medium_f1,medium_support,high_precision,high_recall,high_f1,high_support
student_mat,S0_EARLY_NO_GRADE,logistic_regression,Logistic Regression,0.40759493670886077,0.4325971783163564,0.41708567484965003,0.4325971783163564,0.4053030303030303,0.41500958956655154,0.45012379174471806,0.6425017535570926,0.6281667205572629,1.0241108759797242,0.11210918596898631,"[[55, 43, 32], [47, 68, 77], [8, 27, 38]]",0.4053030303030303,0.0,0.4053030303030303,0.4053030303030303,0.5,0.4230769230769231,0.4583333333333333,130,0.4927536231884058,0.3541666666666667,0.4121212121212121,192,0.2585034013605442,0.5205479452054794,0.34545454545454546,73
student_mat,S0_EARLY_NO_GRADE,decision_tree,Decision Tree,0.4506329113924051,0.4149631190727081,0.41619223470277483,0.4149631190727081,0.4153702083753897,0.44901855932484913,0.4192566041778278,0.5926504496845767,0.7233669889107405,4.828189575745489,0.21727069943412106,"[[63, 55, 12], [60, 96, 36], [11, 43, 19]]",0.4155608967971368,0.001739227305273914,0.4125253915254801,0.4172693378547123,0.4701492537313433,0.4846153846153846,0.4772727272727273,130,0.4948453608247423,0.5,0.49740932642487046,192,0.2835820895522388,0.2602739726027397,0.2714285714285714,73
student_mat,S0_EARLY_NO_GRADE,random_forest,Random Forest,0.4759493670886076,0.46511130136986295,0.45646226039926824,0.46511130136986295,0.45950246110963416,0.47838917419724714,0.4513483612634716,0.6422969493981919,0.6139586405130065,0.999077801250935,0.07723312774596852,"[[65, 50, 15], [56, 93, 43], [6, 37, 30]]",0.4594173506304989,0.00873704121501669,0.44893007729469847,0.4705426356589147,0.5118110236220472,0.5,0.5058365758754864,130,0.5166666666666667,0.484375,0.5,192,0.3409090909090909,0.410958904109589,0.37267080745341613,73
student_mat,S0_EARLY_NO_GRADE,hist_gradient_boosting,HistGradientBoosting,0.46835443037974683,0.42214794813253714,0.4373627067852976,0.42214794813253714,0.4266711155600045,0.4622382237572111,0.44129312397095366,0.6253567149535474,0.7368575580188869,1.4343337497993387,0.27708732772038863,"[[57, 64, 9], [58, 109, 25], [14, 40, 19]]",0.4266711155600045,0.0,0.4266711155600045,0.4266711155600045,0.4418604651162791,0.43846153846153846,0.44015444015444016,130,0.5117370892018779,0.5677083333333334,0.5382716049382716,192,0.3584905660377358,0.2602739726027397,0.30158730158730157,73
student_mat,S0_EARLY_NO_GRADE,svm,SVM,0.5367088607594936,0.40897326132771344,0.493570566315016,0.40897326132771344,0.3751034411726056,0.46792273671029044,0.45528308703423753,0.620105334684023,0.5887061019488689,0.9768134766385235,0.05352874770800934,"[[46, 84, 0], [25, 165, 2], [2, 70, 1]]",0.37697445787424777,0.0025699453581901886,0.37347781217750264,0.37990651709401707,0.6301369863013698,0.35384615384615387,0.45320197044334976,130,0.5172413793103449,0.859375,0.6457925636007827,192,0.3333333333333333,0.0136986301369863,0.02631578947368421,73
student_mat,S0_EARLY_NO_GRADE,xgboost,XGBoost,0.4911392405063291,0.43611696522655424,0.46584768659236736,0.43611696522655424,0.44355197708401883,0.480841062764887,0.45291256105320493,0.6317915162533644,0.6614744290505308,1.13696574286726,0.191344558545863,"[[55, 70, 5], [48, 120, 24], [9, 45, 19]]",0.4418489331551959,0.005870815309716883,0.4366527926760884,0.45294641461861,0.49107142857142855,0.4230769230769231,0.45454545454545453,130,0.5106382978723404,0.625,0.5620608899297423,192,0.3958333333333333,0.2602739726027397,0.3140495867768595,73
student_mat,S0_EARLY_NO_GRADE,mlp,MLP,0.5367088607594936,0.4202936570659173,0.5342896174863387,0.4202936570659173,0.40215482991658114,0.48137196929735604,0.45642078448873163,0.6313266159166914,0.594036036223381,0.9825484011541563,0.07989125773086411,"[[46, 81, 3], [29, 161, 2], [5, 63, 5]]",0.38967471838079487,0.02526779871945745,0.3569035636595334,0.42517047222929577,0.575,0.35384615384615387,0.4380952380952381,130,0.5278688524590164,0.8385416666666666,0.647887323943662,192,0.5,0.0684931506849315,0.12048192771084337,73
student_mat,S0_EARLY_NO_GRADE,cnn_only,CNN-only,0.40253164556962023,0.43609501229364245,0.43101630058151796,0.43609501229364245,0.403706279872486,0.4134381671167587,0.43292828458222443,0.6170490315856373,0.6464109793162321,1.0674408427056108,0.030587965314339653,"[[60, 32, 38], [40, 60, 92], [11, 23, 39]]",0.39571988965243443,0.012121486093410386,0.37585650014054145,0.41201657400072955,0.5405405405405406,0.46153846153846156,0.4979253112033195,130,0.5217391304347826,0.3125,0.39087947882736157,192,0.23076923076923078,0.5342465753424658,0.32231404958677684,73
student_mat,S0_EARLY_NO_GRADE,bilstm_only,BiLSTM-only,0.3721518987341772,0.44052218709752955,0.40427075304891874,0.44052218709752955,0.37102224921313914,0.3552445307733371,0.43772951712920305,0.6042554452160116,0.6492295222000249,1.0720798594440661,0.053385394776506646,"[[70, 19, 41], [57, 32, 103], [10, 18, 45]]",0.3660136605024641,0.043441300659414615,0.3162011247041913,0.4407613356950912,0.5109489051094891,0.5384615384615384,0.5243445692883895,130,0.463768115942029,0.16666666666666666,0.24521072796934865,192,0.23809523809523808,0.6164383561643836,0.3435114503816794,73
student_mat,S0_EARLY_NO_GRADE,cnn_bilstm,CNN-BiLSTM,0.42025316455696204,0.43761964348436955,0.4288879622364756,0.43761964348436955,0.4156736907158327,0.42938693000485734,0.4464958674260456,0.6188140910890774,0.6248143175543635,1.0289856366372667,0.050194542813231886,"[[54, 46, 30], [42, 75, 75], [6, 30, 37]]",0.41590240675923223,0.01207585920319736,0.39965229644483874,0.4347418426761244,0.5294117647058824,0.4153846153846154,0.46551724137931033,130,0.4966887417218543,0.390625,0.43731778425655976,192,0.2605633802816901,0.5068493150684932,0.34418604651162793,73
