dataset,scenario,comparator,metric,delta,ci_95_low,ci_95_high,conclusion,replicates,sampling
student_mat,S1_MID_G1_ONLY,cnn_only,low_recall,-0.023076923076923106,-0.06153846153846154,0.015384615384615441,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,cnn_only,low_f1,-0.0094859143721151,-0.03717792990455443,0.017175509151417696,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,bilstm_only,macro_f1,0.05874355305545875,0.027376432969197402,0.09049349997708746,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,bilstm_only,low_recall,-0.007692307692307665,-0.038461538461538436,0.015384615384615441,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,bilstm_only,low_f1,0.013219504530456283,-0.008790085800580858,0.035667917015297985,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,logistic_regression,macro_f1,-0.026829250706752794,-0.0650391215848789,0.012067777716010813,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,logistic_regression,low_recall,0.1692307692307693,0.10769230769230775,0.2384615384615384,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,logistic_regression,low_f1,0.03362238116336491,-0.010907222548443786,0.08235336133321276,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,decision_tree,macro_f1,-0.025019767738064025,-0.06719676633056891,0.019972126410188796,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,decision_tree,low_recall,0.17692307692307696,0.10769230769230775,0.24615384615384617,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,decision_tree,low_f1,0.027055634439137832,-0.022574837326865067,0.07848553543432617,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,random_forest,macro_f1,-0.005782494657470716,-0.045295426416488295,0.03384200693273956,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,random_forest,low_recall,0.13076923076923075,0.07692307692307687,0.1923076923076923,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,random_forest,low_f1,0.04257543359467819,0.002586981108834136,0.0849045201774399,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,hist_gradient_boosting,macro_f1,0.027599327654916572,-0.01839225592460394,0.07516027734992412,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,hist_gradient_boosting,low_recall,0.24615384615384617,0.1692307692307693,0.32307692307692315,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
