dataset,information_level,smote_delta_pr_auc,smote_delta_macro_f1,smote_delta_minority_recall,adasyn_delta_pr_auc,adasyn_delta_macro_f1,adasyn_delta_minority_recall
oulad,100pct,-0.004999414606421615,-0.005252681758321387,-0.010120210418295139,-0.009372507056287782,-0.010573332360931276,-0.01865042107354098
oulad,20pct,-0.014999872067654074,-0.015987597346385884,0.012970039749419238,-0.024981019098510027,-0.025669734584257142,0.026962905389839587
oulad,35pct,-0.016387906957292975,-0.02241300132202828,0.012960752946029719,-0.024370614848749916,-0.018471013481061505,-0.0034681478893284767
oulad,50pct,-0.009692072877989788,-0.012191799918599977,0.017218523853439693,-0.015741813239910196,-0.012706919949663997,0.009425337955002111
oulad,75pct,-0.007939433050901945,-0.005958202802396562,-0.034767229737685645,-0.014194843429614523,-0.011549226743659213,-0.030663694384150286
uci,S0,-0.013410838259316549,-0.027617189290617294,0.06418287081044283,-0.020165552341171622,-0.010007242272607408,-0.007863349522582386
uci,S1,-0.011124992124581623,-0.006645859445626345,0.00553055944173364,-0.013501219046682333,-0.0011904578031232127,0.04307618479683828
uci,S2,-0.0018298919731272179,-0.004279973299168738,-0.010153351022890833,-0.005458486346794356,0.0070031066430832345,0.01880097731284469
