dataset,information_level,sampler,fold,seed,pr_auc,f1,precision,recall,accuracy,macro_f1,balanced_accuracy,minority_recall,threshold,n_train,n_valid,epochs_run,n_train_sampled,n_train_original,pos_weight
uci,S2,control,0,2026,0.8678511941222815,0.7478260869565218,0.7962962962962963,0.7049180327868853,0.897887323943662,0.8419042134561858,0.8277953392633978,0.7049180327868853,0.78,435,284,21,435,435,4.234210014343262
uci,S0,smote,0,2026,0.4656330651878154,0.4424778761061947,0.30303030303030304,0.819672131147541,0.5563380281690141,0.5370284117373079,0.6519885319414835,0.819672131147541,0.5,680,284,15,680,435,4.234210014343262
uci,S1,smote,0,2026,0.778400298830818,0.6548672566371682,0.7115384615384616,0.6065573770491803,0.8626760563380281,0.7845764854614412,0.7696464015290745,0.6065573770491803,0.83,680,284,15,680,435,4.234210014343262
uci,S2,smote,0,2026,0.8652346062596956,0.7256637168141593,0.7884615384615384,0.6721311475409836,0.8908450704225352,0.8287659243411456,0.8114018966404469,0.6721311475409836,0.78,680,284,15,680,435,4.234210014343262
uci,S0,adasyn,0,2026,0.4455340323057566,0.4343891402714932,0.3,0.7868852459016393,0.5598591549295775,0.5370792963605304,0.6423215467176357,0.7868852459016393,0.58,677,284,14,677,435,4.234210014343262
uci,S1,adasyn,0,2026,0.7784287229559632,0.6829268292682927,0.6774193548387096,0.6885245901639344,0.8626760563380281,0.7976431899150452,0.799419245754613,0.6885245901639344,0.9,672,284,14,672,435,4.234210014343262
uci,S2,adasyn,0,2026,0.8713200874253734,0.7521367521367521,0.7857142857142857,0.7213114754098361,0.897887323943662,0.8439176000151609,0.8337499081085055,0.7213114754098361,0.85,672,284,14,672,435,4.234210014343262
uci,S0,control,1,42,0.4537190426329245,0.44036697247706424,0.3018867924528302,0.8135593220338984,0.5514705882352942,0.5330669218213542,0.646216280735259,0.8135593220338984,0.42,444,272,12,444,444,4.232284069061279
uci,S1,control,1,42,0.838693777525775,0.7008547008547008,0.7068965517241379,0.6949152542372882,0.8713235294117647,0.8094437438699733,0.807551523832259,0.6949152542372882,0.5,444,272,12,444,444,4.232284069061279
uci,S2,control,1,42,0.9334367296326476,0.7906976744186046,0.7285714285714285,0.864406779661017,0.9007352941176471,0.8628187167273746,0.8876024508633724,0.864406779661017,0.26,444,272,12,444,444,4.232284069061279
uci,S0,smote,1,42,0.45823557248876473,0.38661710037174724,0.24761904761904763,0.8813559322033898,0.39338235294117646,0.39330855018587363,0.5697859473223522,0.8813559322033898,0.63,694,272,11,694,444,4.232284069061279
uci,S1,smote,1,42,0.8376676230677292,0.6846846846846847,0.7307692307692307,0.6440677966101694,0.8713235294117647,0.8019266379543516,0.7891700485398265,0.6440677966101694,0.92,694,272,11,694,444,4.232284069061279
uci,S2,smote,1,42,0.9327865914988023,0.8064516129032258,0.7692307692307693,0.847457627118644,0.9117647058823529,0.8746543778801843,0.8885175459536883,0.847457627118644,0.81,694,272,11,694,444,4.232284069061279
uci,S0,adasyn,1,42,0.47882085206454594,0.5298013245033113,0.43478260869565216,0.6779661016949152,0.7389705882352942,0.6745698734475845,0.7169173231479271,0.6779661016949152,0.81,700,272,12,700,444,4.232284069061279
uci,S1,adasyn,1,42,0.8394346607110457,0.71875,0.6666666666666666,0.7796610169491526,0.8676470588235294,0.8161057692307692,0.8358398981459378,0.7796610169491526,0.95,697,272,12,697,444,4.232284069061279
uci,S2,adasyn,1,42,0.9342251535938199,0.8130081300813008,0.78125,0.847457627118644,0.9154411764705882,0.8791881505513393,0.8908649637940638,0.847457627118644,0.95,692,272,12,692,444,4.232284069061279
uci,S0,control,1,1201,0.5200381621759235,0.4351464435146444,0.28888888888888886,0.8813559322033898,0.5036764705882353,0.4962617463474861,0.6402084825336198,0.8813559322033898,0.34,444,272,14,444,444,4.232284069061279
uci,S1,control,1,1201,0.8334844794239126,0.6915887850467289,0.7708333333333334,0.6271186440677966,0.8786764705882353,0.8080369554524263,0.7877377257897669,0.6271186440677966,0.89,444,272,14,444,444,4.232284069061279
uci,S2,control,1,1201,0.9348944475917231,0.816,0.7727272727272727,0.864406779661017,0.9154411764705882,0.8805536992840095,0.8969921222248747,0.864406779661017,0.52,444,272,14,444,444,4.232284069061279
uci,S0,smote,1,1201,0.48919677413403484,0.49142857142857144,0.3706896551724138,0.7288135593220338,0.6727941176470589,0.6251180797522261,0.6930452773135991,0.7288135593220338,0.77,694,272,10,694,444,4.232284069061279
uci,S1,smote,1,1201,0.828685779325717,0.6851851851851852,0.7551020408163265,0.6271186440677966,0.875,0.8036017669045192,0.7853903079493912,0.6271186440677966,0.9,694,272,10,694,444,4.232284069061279
uci,S2,smote,1,1201,0.9315190540648923,0.8225806451612904,0.7846153846153846,0.864406779661017,0.9191176470588235,0.8850998463901689,0.8993395400652503,0.864406779661017,0.78,694,272,10,694,444,4.232284069061279
uci,S0,adasyn,1,1201,0.46754809620267684,0.3879598662207358,0.24166666666666667,0.9830508474576272,0.3272058823529412,0.32051054535526585,0.5642953767804568,0.9830508474576272,0.62,700,272,10,700,444,4.232284069061279
uci,S1,adasyn,1,1201,0.827819588476773,0.6981132075471698,0.7872340425531915,0.6271186440677966,0.8823529411764706,0.8125269234082881,0.7900851436301424,0.6271186440677966,0.91,697,272,10,697,444,4.232284069061279
uci,S2,adasyn,1,1201,0.9303951389014035,0.8225806451612904,0.7846153846153846,0.864406779661017,0.9191176470588235,0.8850998463901689,0.8993395400652503,0.864406779661017,0.84,692,272,10,692,444,4.232284069061279
uci,S0,control,1,2026,0.49303780727306207,0.5232558139534884,0.39823008849557523,0.7627118644067796,0.6985294117647058,0.6514128532133033,0.7217315190578499,0.7627118644067796,0.46,444,272,14,444,444,4.232284069061279
uci,S1,control,1,2026,0.8495263536909581,0.7037037037037037,0.7755102040816326,0.6440677966101694,0.8823529411764706,0.8151546041454298,0.7962123020609533,0.6440677966101694,0.86,444,272,14,444,444,4.232284069061279
uci,S2,control,1,2026,0.9415227179342306,0.832,0.7878787878787878,0.8813559322033898,0.9227941176470589,0.8909403341288782,0.9078141163364367,0.8813559322033898,0.45,444,272,14,444,444,4.232284069061279
uci,S0,smote,1,2026,0.5001260350155684,0.5341614906832298,0.4215686274509804,0.7288135593220338,0.7242647058823529,0.6691695181875679,0.7259091270788574,0.7288135593220338,0.78,694,272,13,694,444,4.232284069061279
uci,S1,smote,1,2026,0.8593925788984103,0.6837606837606838,0.6896551724137931,0.6779661016949152,0.8639705882352942,0.7985548149482575,0.7967295297206971,0.6779661016949152,0.93,694,272,13,694,444,4.232284069061279
uci,S2,smote,1,2026,0.9383069133850754,0.8376068376068376,0.8448275862068966,0.8305084745762712,0.9301470588235294,0.8965551752436998,0.8941274767247553,0.8305084745762712,0.92,694,272,13,694,444,4.232284069061279
uci,S0,adasyn,1,2026,0.491534430753522,0.4485981308411215,0.3096774193548387,0.8135593220338984,0.5661764705882353,0.5455111866326819,0.6556059520967614,0.8135593220338984,0.66,700,272,13,700,444,4.232284069061279
uci,S1,adasyn,1,2026,0.8540933054014598,0.7384615384615385,0.676056338028169,0.8135593220338984,0.875,0.8281679672984021,0.8527890506883107,0.8135593220338984,0.91,697,272,13,697,444,4.232284069061279
uci,S2,adasyn,1,2026,0.9372632823100676,0.8347826086956521,0.8571428571428571,0.8135593220338984,0.9301470588235294,0.8952467822033039,0.8880003182939444,0.8135593220338984,0.95,692,272,13,692,444,4.232284069061279
uci,S0,control,2,42,0.41821946929209813,0.4149377593360996,0.2717391304347826,0.8771929824561403,0.4854014598540146,0.4778271858569749,0.6298407308594065,0.8771929824561403,0.36,444,274,14,444,444,4.177025318145752
uci,S1,control,2,42,0.8559075476141181,0.7210884353741497,0.5888888888888889,0.9298245614035088,0.8503649635036497,0.8094220231733591,0.8796588244805562,0.9298245614035088,0.21,444,274,14,444,444,4.177025318145752
uci,S2,control,2,42,0.9238771427189584,0.7702702702702703,0.6263736263736264,1.0,0.8759124087591241,0.8426351351351351,0.9216589861751152,1.0,0.2,444,274,14,444,444,4.177025318145752
uci,S0,smote,2,42,0.3834994172783754,0.425531914893617,0.2808988764044944,0.8771929824561403,0.5072992700729927,0.4971110053701312,0.6436656156520333,0.8771929824561403,0.69,692,274,11,692,444,4.177025318145752
uci,S1,smote,2,42,0.8354052659123569,0.7006369426751592,0.55,0.9649122807017544,0.8284671532846716,0.7902161695472982,0.8787695044061767,0.9649122807017544,0.83,692,274,11,692,444,4.177025318145752
uci,S2,smote,2,42,0.9225487299014998,0.7887323943661971,0.6588235294117647,0.9824561403508771,0.8905109489051095,0.8574203843752168,0.9244077936777427,0.9824561403508771,0.93,692,274,11,692,444,4.177025318145752
uci,S0,adasyn,2,42,0.3802472296940786,0.5066666666666667,0.40860215053763443,0.6666666666666666,0.7299270072992701,0.6603685092127303,0.706605222734255,0.6666666666666666,0.84,686,274,11,686,444,4.177025318145752
uci,S1,adasyn,2,42,0.8283415943527541,0.6875,0.5339805825242718,0.9649122807017544,0.8175182481751825,0.7793170103092784,0.8718570620098633,0.9649122807017544,0.88,698,274,11,698,444,4.177025318145752
uci,S2,adasyn,2,42,0.9260601569854162,0.8057553956834532,0.6829268292682927,0.9824561403508771,0.9014598540145985,0.8698703628784015,0.931320236074056,0.9824561403508771,0.92,699,274,11,699,444,4.177025318145752
uci,S0,control,2,1201,0.42583561701820344,0.43333333333333335,0.4126984126984127,0.45614035087719296,0.7518248175182481,0.6372274143302181,0.6428167192173984,0.45614035087719296,0.6,444,274,13,444,444,4.177025318145752
