candidate,outer_fold,seed,epoch,train_loss,validation_macro_f1_at_0_5,validation_nll,gradient_norm,learning_rate
cnn_bilstm_full,0,42,1,0.4545722930896573,0.8142542563833948,0.39074947847613595,0.47524977130133933,0.0014186330051454148
cnn_bilstm_full,0,42,2,0.38773788184654423,0.8209908305297183,0.380480623011122,0.3953465296000969,0.001291631936274074
cnn_bilstm_full,0,42,3,0.3759246330435683,0.8247700534759359,0.3705472095508549,0.3679336527498757,0.001097055010115952
cnn_bilstm_full,0,42,4,0.3731743119111875,0.8276788000731663,0.37101422287046415,0.39195405964444324,0.0008583710756153086
cnn_bilstm_full,0,42,5,0.36712347879642393,0.8257197606872773,0.36980549559685644,0.40276812053308253,0.0006043689378726273
cnn_bilstm_full,0,42,6,0.3626765877735324,0.8258844253070412,0.367486858585597,0.39433236565531754,0.0003656850033719841
cnn_bilstm_full,0,42,7,0.3531432813260613,0.8202332757484526,0.3667206362120122,0.3840877195683921,0.00017110807721386188
cnn_bilstm_full,0,42,8,0.3481673002243042,0.8298258287439166,0.3653966546310702,0.39484558926849833,4.4107008342521264e-05
cnn_bilstm_full,0,42,9,0.3465767768098087,0.8295785102618216,0.36593978660320714,0.4092270644699655,0.0
cnn_bilstm_full,0,1201,1,0.4532575134823962,0.8108594588741318,0.3998209228948744,0.4286129122100225,0.0014186330051454148
cnn_bilstm_full,0,1201,2,0.3914422639986364,0.8292022217380204,0.3765554478065957,0.3419118476350133,0.001291631936274074
cnn_bilstm_full,0,1201,3,0.37589998361541005,0.8248144220572641,0.36762646605020777,0.36262685096845393,0.001097055010115952
cnn_bilstm_full,0,1201,4,0.37050379994438914,0.8268919175482596,0.36957895045207634,0.38351874453265494,0.0008583710756153086
cnn_bilstm_full,0,1201,5,0.36526002462317303,0.8263815480448153,0.3638287808646776,0.3486857465127619,0.0006043689378726273
cnn_bilstm_full,0,1201,6,0.3543555711100741,0.8249809717797731,0.36716400174652464,0.34727485659645824,0.0003656850033719841
cnn_bilstm_full,0,1201,7,0.3514741419292078,0.8269017063452706,0.3618293254467588,0.3586274861562543,0.00017110807721386188
