balanced_accuracy,brier,config_hash,dataset,macro_f1,macro_pr_auc,model_id,outer_fold,parameters,runtime_seconds,status,trial
0.8993322738337692,0.16727289575554974,b509e24155bb6b88fc683d721e9d7ca17289e46c7ceb85948a74b1f744e1d264,student_mat,0.897821506658716,0.9414797141178743,xgboost_mat,0,"{""colsample_bytree"": 0.85, ""gamma"": 0.3, ""learning_rate"": 0.025, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.01, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5241662999906112,COMPLETE,0
0.8993322738337692,0.16803918049381147,f0a795e75f22b40c268528464c57e3d3c7a8a338f2e59fc2d54a14231aa9ccb8,student_mat,0.8991102596849724,0.9403489716008169,xgboost_mat,0,"{""colsample_bytree"": 0.85, ""gamma"": 0.3, ""learning_rate"": 0.025, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.7}",0.30443129999912344,COMPLETE,1
0.8971536245962964,0.16804636795970143,96765037537f44b2b91aadcd0eac6f4215829fd71f5ae53154308d2737eb8d38,student_mat,0.8952165655064205,0.9380078102824824,xgboost_mat,0,"{""colsample_bytree"": 0.7, ""gamma"": 0.3, ""learning_rate"": 0.025, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 320, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.38978330000827555,COMPLETE,2
0.8865117610132565,0.18106110506314083,81a45b0b69c95984ea8fecbb92bf7479fd84d6574101b6b9c72a12160d1fad17,student_mat,0.8868787215943614,0.9267030701685562,xgboost_mat,0,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.025, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 320, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.7}",0.6319387000112329,COMPLETE,3
0.9003587528014249,0.17006085621025654,92e78191f996905ba87a8815735ccb293c1b4b1027de52744d9bced97d7db062,student_mat,0.8979251966911633,0.9312435149016021,xgboost_mat,0,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.025, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}",0.48585080000339076,COMPLETE,4
0.8963930857001644,0.16951296756288306,2212c9705703c804936d841163037d51545df0e946dda512658212ea06b5d876,student_mat,0.8937874227783938,0.9384091538472353,xgboost_mat,0,"{""colsample_bytree"": 0.7, ""gamma"": 0.3, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 320, ""reg_alpha"": 0.01, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.36831530000199564,COMPLETE,5
0.8897168892183848,0.18027561400095085,f9c7e96f5579b70846123ea8e79f2c76404ac67baa67b0102675dfe8d3de2f79,student_mat,0.8909240122652382,0.9260897354396161,xgboost_mat,0,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_alpha"": 0.01, ""reg_lambda"": 0.5, ""subsample"": 0.7}",0.33295969999744557,COMPLETE,6
0.8876784887502733,0.19449429698478732,e877869a5df1137a704c30055cceabb90c6d137567e1172ead3d97c0982992dc,student_mat,0.8796906843418472,0.9182456710791448,xgboost_mat,0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 6, ""n_estimators"": 320, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}",0.46349449999979697,COMPLETE,7
0.906134161617711,0.16994029209326428,3bdba900f6271e8d94dcf6dd059fd406c5809f8aa5213715240837b4b42ce72b,student_mat,0.9043451925866783,0.9360788944686567,xgboost_mat,0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.7}",0.35507270001107827,COMPLETE,8
0.8799758133008382,0.17762886167265782,181e7b3510371c928a13b5d6453d91dacf57f3c40907e51992085c81f26969de,student_mat,0.8778339022000439,0.9503923069418483,xgboost_mat,0,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.025, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 320, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 1.0}",0.6190444999956526,COMPLETE,9
