dataset,fold,seed,epoch,train_loss,train_pr_auc,stop_pr_auc,grad_norm,batch_size,lr,outer_test_used
oulad,0,42,1,0.5894498054857378,0.7695359120604561,0.7620080549103784,0.7463504598512278,128,0.00011844319751820385,False
oulad,0,42,2,0.5398405162911666,0.7880642745844975,0.7824804171633389,0.7976882606744766,128,0.00011844319751820385,False
oulad,0,42,3,0.5348660447879842,0.7950028985662859,0.7892602359230697,inf,128,0.00011844319751820385,False
oulad,0,42,4,0.5168717189629872,0.8003202924281794,0.794760108299564,0.7234559945265452,128,0.00011844319751820385,False
oulad,0,42,5,0.5048857692040896,0.8075742307741651,0.8022811407823455,0.6640431300589913,128,0.00011844319751820385,False
oulad,0,42,6,0.49959519721175494,0.8131072510052946,0.8072640714025474,0.6376616303858004,128,0.00011844319751820385,False
oulad,0,42,7,0.4859395564386719,0.8164793572330165,0.8103621157793336,0.6412749553197309,128,0.00011844319751820385,False
oulad,0,42,8,0.48270354890509654,0.8198185518704162,0.813040890298248,0.6368507778173998,128,0.00011844319751820385,False
oulad,0,42,9,0.4963964580705291,0.8201297495394334,0.8132421857814515,0.7027720334498506,128,0.00011844319751820385,False
oulad,0,42,10,0.48563928196304723,0.8237976922222812,0.8162397020161551,0.6115610901462404,128,0.00011844319751820385,False
oulad,0,42,11,0.48637111581765213,0.826482933597593,0.8179339775507546,0.6693077091272776,128,0.00011844319751820385,False
oulad,0,42,12,0.470324520021677,0.8262463934269337,0.816338454689445,0.6360423706079784,128,0.00011844319751820385,False
oulad,0,42,13,0.4707904512944974,0.8297849628527939,0.818816548232715,0.6008302996817388,128,0.00011844319751820385,False
oulad,0,42,14,0.46612652555688633,0.8320502898720137,0.8200431939525953,0.63809932168428,128,0.00011844319751820385,False
oulad,0,42,15,0.4602811426708573,0.8322720684913416,0.8192059074084886,0.6312048862639227,128,0.00011844319751820385,False
oulad,0,42,16,0.4705124961865413,0.8343148113959835,0.8205625977678258,0.7936531750412731,128,0.00011844319751820385,False
oulad,0,42,17,0.46509401872754097,0.8360027145714022,0.8220318553910284,0.6086627644927878,128,0.00011844319751820385,False
oulad,0,42,18,0.4577743864059448,0.837658739272283,0.8223194663445954,0.6005689704418182,128,0.00011844319751820385,False
oulad,0,42,19,0.45897297482741506,0.838539365418566,0.8226035425202287,0.6279329939892417,128,0.00011844319751820385,False
oulad,0,42,20,0.45785830398400623,0.8409028116511766,0.8240759494544851,0.5870695984363556,128,0.00011844319751820385,False
oulad,0,42,21,0.453406049036666,0.8411317514091843,0.8248338990540577,0.6114880124989309,128,0.00011844319751820385,False
oulad,0,42,22,0.4506047270015666,0.8430126798450449,0.8243449079269687,0.6089810725105437,128,0.00011844319751820385,False
oulad,0,42,23,0.45028973670748923,0.8443560176346342,0.8240162718863704,0.6360966040716542,128,0.00011844319751820385,False
oulad,0,42,24,0.45951637864112854,0.844532768673877,0.8237208010416467,0.6673302606741587,128,0.00011844319751820385,False
oulad,0,42,25,0.44427074844899933,0.846883286678584,0.8244778301517843,0.6201030290440509,128,0.00011844319751820385,False
oulad,0,42,26,0.4481292723825103,0.8471163599622666,0.8234469228797613,0.6624997058197072,128,0.00011844319751820385,False
oulad,0,42,27,0.44529872416675864,0.8489783122152132,0.8262207997275001,0.6412206481803547,128,0.00011844319751820385,False
oulad,0,42,28,0.4405523434673485,0.8502616774234113,0.8249291294490804,0.6477422914222667,128,0.00011844319751820385,False
oulad,0,42,29,0.4377290550377462,0.8511071379626978,0.8243710432812836,0.6373000694559766,128,0.00011844319751820385,False
oulad,0,42,30,0.441536061857876,0.849045204638867,0.8232185252266404,0.6604922370691049,128,0.00011844319751820385,False
oulad,0,42,31,0.4400351461652037,0.852445370420583,0.8251130722284838,0.682695319900265,128,0.00011844319751820385,False
oulad,0,42,32,0.4423753189576137,0.854106148302855,0.8245907218748696,0.7363847370271559,128,0.00011844319751820385,False
oulad,0,42,33,0.4323452426628633,0.8539358247226535,0.8218078998664915,0.7182266650261817,128,0.00011844319751820385,False
oulad,0,42,34,0.42833702943541785,0.8552172471163726,0.8220016442198018,0.7409107983112335,128,0.00011844319751820385,False
oulad,0,42,35,0.43982634896581824,0.8563644670199263,0.8206709861059094,0.7346213672842298,128,0.00011844319751820385,False
oulad,0,42,36,0.43337723926494,0.8580826240276251,0.8233634527513127,0.7258765740614188,128,0.00011844319751820385,False
oulad,0,42,37,0.4322371765390619,0.8567867752051245,0.8217450924069171,0.7539500075501281,128,0.00011844319751820385,False
oulad,0,1201,1,0.581297339185288,0.7773566815198224,0.7679186213958222,0.7895263966761137,128,0.00011844319751820385,False
oulad,0,1201,2,0.5522855675220489,0.7896715645460431,0.7821799320811913,inf,128,0.00011844319751820385,False
oulad,0,1201,3,0.5295760459021518,0.7985550137391482,0.7917171990148424,0.789510006575208,128,0.00011844319751820385,False
oulad,0,1201,4,0.5173096149772792,0.8065487971538546,0.7994666346292534,0.8270848474719308,128,0.00011844319751820385,False
oulad,0,1201,5,0.5035573308797259,0.8097204318838572,0.8021849827346534,0.7008814348986274,128,0.00011844319751820385,False
oulad,0,1201,6,0.49677446857094765,0.8143645862943908,0.8063062073437035,0.7105355686263034,128,0.00011844319751820385,False
oulad,0,1201,7,0.4887318658201318,0.818190079963533,0.8095171838894154,0.7292189041250631,128,0.00011844319751820385,False
oulad,0,1201,8,0.48382729135061564,0.8196498656684628,0.8102148884034938,0.6710204274246567,128,0.00011844319751820385,False
oulad,0,1201,9,0.48828964190263496,0.8229937880961756,0.8128016615577873,0.6846586046250243,128,0.00011844319751820385,False
