run_id,trial_id,timestamp,stage_name,dataset,stage,architecture_id,d_fuse,cnn_channels,bilstm_hidden,lr,weight_decay,dropout,batch_size,pos_weight_multiplier,entropy_floor_coefficient,inner_fold,seed,pr_auc,risk_f1,risk_recall,risk_precision,accuracy,balanced_accuracy,ece,brier,nll,stop_pr_auc,train_pr_auc,generalization_gap,best_epoch,parameter_count,device,amp,outer_test_used,status
HPO_oulad_oulad_d128_c64_h128_lr0.00011844319751820385_wd0.0007114476009343421_do0.31959818254342154_b128_pw0.7790418060840998_ent0.005_f0_s42,0,2026-08-18T20:42:43Z,HPO_oulad,oulad,20pct,C0,128,64,128,0.00011844319751820385,0.0007114476009343421,0.31959818254342154,128,0.7790418060840998,0.005,0,42,0.7710835298411771,0.6862811028917283,0.8079968329374505,0.5964348334307422,0.6834605597964376,0.6990414559463151,0.026115982111881517,0.18008307010549468,0.5369100362131263,0.7606043395347883,0.7973603692509021,0.026276839409725028,27,482245,cuda:0,True,False,ok
HPO_oulad_oulad_d128_c64_h128_lr0.00011844319751820385_wd0.0007114476009343421_do0.31959818254342154_b128_pw0.7790418060840998_ent0.005_f0_s42,0,2026-08-18T20:42:45Z,HPO_oulad,oulad,35pct,C0,128,64,128,0.00011844319751820385,0.0007114476009343421,0.31959818254342154,128,0.7790418060840998,0.005,0,42,0.8138667600594887,0.704944830404577,0.7490230134607034,0.6657661134697028,0.7454160789844851,0.7459867219277396,0.02474294174350903,0.15673661203268643,0.4748431878289068,0.8019947816797728,0.8336022255021457,0.01973546544265703,27,482245,cuda:0,True,False,ok
HPO_oulad_oulad_d128_c64_h128_lr0.00011844319751820385_wd0.0007114476009343421_do0.31959818254342154_b128_pw0.7790418060840998_ent0.005_f0_s42,0,2026-08-18T20:42:47Z,HPO_oulad,oulad,50pct,C0,128,64,128,0.00011844319751820385,0.0007114476009343421,0.31959818254342154,128,0.7790418060840998,0.005,0,42,0.8597420425333945,0.747054399598897,0.7122370936902486,0.7854507116499736,0.8152353048892145,0.7957148662277305,0.044605119125718025,0.1299214511865387,0.4068063172353117,0.8523612144084552,0.8638383497718071,0.004096307238412589,27,482245,cuda:0,True,False,ok
HPO_oulad_oulad_d128_c64_h128_lr0.00011844319751820385_wd0.0007114476009343421_do0.31959818254342154_b128_pw0.7790418060840998_ent0.005_f0_s42,0,2026-08-18T20:42:49Z,HPO_oulad,oulad,75pct,C0,128,64,128,0.00011844319751820385,0.0007114476009343421,0.31959818254342154,128,0.7790418060840998,0.005,0,42,0.8989473548962326,0.7981012658227848,0.7164772727272727,0.9007142857142857,0.875609280561513,0.8376093695188753,0.012443895487132579,0.09294879227584106,0.3055341027833649,0.8899228632869839,0.9011123043359983,0.002164949439765751,27,482245,cuda:0,True,False,ok
HPO_oulad_oulad_d128_c64_h128_lr8.152843673110742e-05_wd3.5113563139704077e-06_do0.15502135295603015_b256_pw0.895614570099021_ent0.01_f0_s42,1,2026-08-18T20:47:44Z,HPO_oulad,oulad,20pct,C0,128,64,128,8.152843673110742e-05,3.5113563139704077e-06,0.15502135295603015,256,0.895614570099021,0.01,0,42,0.7704162010599466,0.6898489638215666,0.777513855898654,0.6199494949494949,0.7004240882103477,0.7100688899558572,0.06150248759537556,0.1840939569290616,0.5456088211264543,0.7556819764251899,0.7926985898517924,0.022282388791845853,30,482245,cuda:0,True,False,ok
HPO_oulad_oulad_d128_c64_h128_lr8.152843673110742e-05_wd3.5113563139704077e-06_do0.15502135295603015_b256_pw0.895614570099021_ent0.01_f0_s42,1,2026-08-18T20:47:45Z,HPO_oulad,oulad,35pct,C0,128,64,128,8.152843673110742e-05,3.5113563139704077e-06,0.15502135295603015,256,0.895614570099021,0.01,0,42,0.8121232305068259,0.7063063063063063,0.7659574468085106,0.6552748885586924,0.741361071932299,0.7452523951169296,0.04843108609518398,0.16064321913483656,0.48401437802936137,0.7987580492932487,0.8303196026187336,0.01819637211190772,30,482245,cuda:0,True,False,ok
HPO_oulad_oulad_d128_c64_h128_lr8.152843673110742e-05_wd3.5113563139704077e-06_do0.15502135295603015_b256_pw0.895614570099021_ent0.01_f0_s42,1,2026-08-18T20:47:46Z,HPO_oulad,oulad,50pct,C0,128,64,128,8.152843673110742e-05,3.5113563139704077e-06,0.15502135295603015,256,0.895614570099021,0.01,0,42,0.859658591563454,0.7474949899799599,0.7131931166347992,0.7852631578947369,0.8154184215345175,0.7960444657083168,0.018657875141735,0.12757617501381888,0.39898119503409435,0.8512884744052293,0.8625317196048102,0.002873128041356199,30,482245,cuda:0,True,False,ok
HPO_oulad_oulad_d128_c64_h128_lr8.152843673110742e-05_wd3.5113563139704077e-06_do0.15502135295603015_b256_pw0.895614570099021_ent0.01_f0_s42,1,2026-08-18T20:47:47Z,HPO_oulad,oulad,75pct,C0,128,64,128,8.152843673110742e-05,3.5113563139704077e-06,0.15502135295603015,256,0.895614570099021,0.01,0,42,0.8968704458322294,0.7936102236421725,0.7056818181818182,0.9065693430656935,0.8740495223240398,0.8338441741547262,0.01824577548064482,0.09431126425878736,0.30997680029276253,0.88853060908124,0.8974725951959934,0.0006021493637640152,30,482245,cuda:0,True,False,ok
HPO_oulad_oulad_d128_c64_h128_lr7.918515779559379e-05_wd3.489018845491386e-05_do0.2777243706586128_b256_pw0.7825257964926398_ent0.0005_f0_s42,2,2026-08-18T20:52:35Z,HPO_oulad,oulad,20pct,C0,128,64,128,7.918515779559379e-05,3.489018845491386e-05,0.2777243706586128,256,0.7825257964926398,0.0005,0,42,0.7695103658942979,0.6918806384455239,0.7893903404592241,0.6158122297714639,0.6987277353689567,0.710070652568585,0.055718863110885065,0.18422206306950878,0.545151192622978,0.7577199837414758,0.7843550505347197,0.014844684640421768,29,482245,cuda:0,True,False,ok
HPO_oulad_oulad_d128_c64_h128_lr7.918515779559379e-05_wd3.489018845491386e-05_do0.2777243706586128_b256_pw0.7825257964926398_ent0.0005_f0_s42,2,2026-08-18T20:52:36Z,HPO_oulad,oulad,35pct,C0,128,64,128,7.918515779559379e-05,3.489018845491386e-05,0.2777243706586128,256,0.7825257964926398,0.0005,0,42,0.810217869017059,0.7032397408207344,0.7069040382110291,0.699613235926085,0.7577574047954866,0.7497120369149535,0.035605939506449344,0.15973023669099085,0.48204137460883006,0.7975201807868926,0.8226145453973731,0.012396676380314164,29,482245,cuda:0,True,False,ok
