experiment_id,scenario,model_name,outer_fold,training_seed,metric,stored,recomputed,difference,match
S0,late_stage,cnn_bilstm,1,42,brier_score,0.3039787794382279,0.3039787794382278,5.551115123125783e-17,True
S0,late_stage,cnn_bilstm,1,42,pr_auc_macro,0.865926834747631,0.865926834747631,0.0,True
S0,late_stage,cnn_bilstm,1,42,ece_top_label_equal_width_10,0.0817664946828569,0.08176649468285693,2.7755575615628914e-17,True
S0,late_stage,cnn_bilstm,1,52,accuracy,0.8412698412698413,0.8412698412698413,0.0,True
S0,late_stage,cnn_bilstm,1,52,macro_f1,0.8412698412698413,0.8412698412698413,0.0,True
S0,late_stage,cnn_bilstm,1,52,weighted_f1,0.8412698412698413,0.8412698412698413,0.0,True
S0,late_stage,cnn_bilstm,1,52,balanced_accuracy,0.8412698412698413,0.8412698412698413,0.0,True
S0,late_stage,cnn_bilstm,1,52,quadratic_weighted_kappa,0.8423423423423424,0.8423423423423424,0.0,True
S0,late_stage,cnn_bilstm,1,52,ordinal_mae,0.1587301587301587,0.15873015873015872,2.7755575615628914e-17,True
S0,late_stage,cnn_bilstm,1,52,brier_score,0.2154776805793358,0.21547768057933583,2.7755575615628914e-17,True
S0,late_stage,cnn_bilstm,1,52,pr_auc_macro,0.9301524694449168,0.9301524694449168,0.0,True
S0,late_stage,cnn_bilstm,1,52,ece_top_label_equal_width_10,0.1015086107783847,0.10150861077838476,5.551115123125783e-17,True
S0,late_stage,cnn_bilstm,1,62,accuracy,0.8571428571428571,0.8571428571428571,0.0,True
S0,late_stage,cnn_bilstm,1,62,macro_f1,0.8562271062271063,0.8562271062271063,0.0,True
S0,late_stage,cnn_bilstm,1,62,weighted_f1,0.8568550497121926,0.8568550497121926,0.0,True
S0,late_stage,cnn_bilstm,1,62,balanced_accuracy,0.830952380952381,0.830952380952381,0.0,True
S0,late_stage,cnn_bilstm,1,62,quadratic_weighted_kappa,0.8452088452088452,0.8452088452088452,0.0,True
S0,late_stage,cnn_bilstm,1,62,ordinal_mae,0.1428571428571428,0.14285714285714285,5.551115123125783e-17,True
S0,late_stage,cnn_bilstm,1,62,brier_score,0.2141172469275006,0.21411724692750064,5.551115123125783e-17,True
S0,late_stage,cnn_bilstm,1,62,pr_auc_macro,0.9308539781917472,0.9308539781917472,0.0,True
