experiment_id,mean_within_fold_seed_sd,max_seed_range,high_f1_below_0_5_jobs,high_collapse_jobs
S0,0.05662035940400608,0.29152777777777783,2,0
S1,0.05845561556898279,0.20331520331520325,1,0
S2,0.11852576446683553,0.6603835413047829,4,2
S3,0.04595240292013939,0.2876823946447439,1,0
S4,0.06087872013495991,0.254013822434875,1,0
S5,0.06247637373100503,0.25067875736044376,1,0
