experiment_id,label,n_training_seeds,n_outer_folds,n_fold_seed_evaluations,n_record_prediction_rows,n_unique_outer_validation_records,macro_f1_mean,macro_f1_sd_outer_folds,macro_f1_fold_scores,accuracy_mean,accuracy_sd_outer_folds,accuracy_fold_scores,balanced_accuracy_mean,balanced_accuracy_sd_outer_folds,balanced_accuracy_fold_scores,weighted_f1_mean,weighted_f1_sd_outer_folds,weighted_f1_fold_scores,quadratic_weighted_kappa_mean,quadratic_weighted_kappa_sd_outer_folds,quadratic_weighted_kappa_fold_scores,ordinal_mae_mean,ordinal_mae_sd_outer_folds,ordinal_mae_fold_scores,brier_score_mean,brier_score_sd_outer_folds,brier_score_fold_scores,pr_auc_macro_mean,pr_auc_macro_sd_outer_folds,pr_auc_macro_fold_scores,ece_top_label_equal_width_10_mean,ece_top_label_equal_width_10_sd_outer_folds,ece_top_label_equal_width_10_fold_scores
S3,training_budget_only,5,5,25,1580,316,0.8330135532911285,0.04147104859013587,"[0.8847157190635452, 0.8504216107660781, 0.849088735927935, 0.7932973838026747, 0.7875443168954097]",0.8404166666666667,0.030140743644403327,"[0.86875, 0.8571428571428571, 0.8476190476190476, 0.8380952380952381, 0.7904761904761906]",0.8321480240189919,0.03923923797122121,"[0.8793138760880697, 0.8528571428571429, 0.8454778196713681, 0.7954568728762277, 0.7876344086021506]",0.8362801239216315,0.030879177952301915,"[0.8682495471014493, 0.8558498847614338, 0.8445258763585317, 0.8230304201791275, 0.7897448912076156]",0.8322541130488181,0.033322658901347196,"[0.8648665755655334, 0.8606409997514636, 0.833380490331318, 0.8190956998658828, 0.7832867997298931]",0.15958333333333327,0.030140743644403358,"[0.13125, 0.14285714285714282, 0.15238095238095234, 0.16190476190476183, 0.2095238095238095]",0.2422063437863224,0.044525909133894155,"[0.18852653182656165, 0.23214942525925894, 0.23730940454288768, 0.24068819441656678, 0.31235816288633683]",0.9348526439305823,0.01979538777691732,"[0.9533604883817199, 0.9264418778985029, 0.935865191929129, 0.9526581717345033, 0.9059374897090559]",0.09628900837981033,0.03909560687107788,"[0.07208671066910025, 0.06635925788728012, 0.06631033969303912, 0.12843735407269183, 0.14825137957694032]"
S5,full_sanity_configuration,5,5,25,1580,316,0.8181274166293784,0.024364162417420926,"[0.8027918335696403, 0.8479506830013366, 0.8396621865851092, 0.7918310397382298, 0.8084013402525763]",0.8291865079365079,0.021487325756789317,"[0.80625, 0.8571428571428571, 0.8412698412698413, 0.8317460317460318, 0.8095238095238095]",0.8185745007680492,0.028134699052951177,"[0.7975166410650282, 0.8461904761904762, 0.8466694595726854, 0.7843597262952102, 0.818136200716846]",0.8248071193550274,0.022599411986460236,"[0.8007450109401073, 0.8557617568483569, 0.8396754405148931, 0.8188218331083335, 0.8090315553634463]",0.8246520435473501,0.024360725198684346,"[0.7987930087201602, 0.8609106470716046, 0.83655399161484, 0.8133161847878643, 0.8136863855422817]",0.170813492063492,0.021487325756789362,"[0.19375, 0.1428571428571428, 0.15873015873015867, 0.1682539682539682, 0.19047619047619044]",0.23900401659940768,0.021594133837949035,"[0.2535640836310108, 0.23047674193986084, 0.2223442537999945, 0.21935250078167984, 0.2692825028444923]",0.9384343709903928,0.014546059299207962,"[0.9412790969339644, 0.9324598674736404, 0.9430356158116938, 0.9574509808316269, 0.9179462939010389]",0.08545969641723089,0.026600572417386347,"[0.07610045569017523, 0.10510386663769915, 0.05052594551964409, 0.07737915856497624, 0.11818905567365974]"
S1,drop_last_only,5,5,25,1580,316,0.806425327151304,0.02476904690592889,"[0.8209870415222873, 0.8321377037441785, 0.8157608092976943, 0.7701499956213231, 0.7930910855710369]",0.8196031746031744,0.01652338257838554,"[0.825, 0.8380952380952381, 0.8158730158730159, 0.8253968253968254, 0.7936507936507937]",0.8002366522366522,0.027423153222951926,"[0.8090373783922171, 0.821904761904762, 0.8188521156263091, 0.7543639156542381, 0.7970250896057347]",0.8144078457328782,0.016168531970228984,"[0.8205244019802034, 0.8368614509609262, 0.8128432909373624, 0.8091818119452505, 0.7926282728406484]",0.8075762268051564,0.01475548442119784,"[0.8112692459841104, 0.830964768561001, 0.8049403645011459, 0.7968519009357709, 0.7938548540437537]",0.1803968253968254,0.01652338257838557,"[0.175, 0.16190476190476188, 0.18412698412698408, 0.17460317460317454, 0.20634920634920634]",0.2626296828945159,0.04158514882748549,"[0.24060196731000721, 0.24053177124377215, 0.25390291617480426, 0.2417752483826936, 0.33633651136130205]",0.9325958336961863,0.02017419668272742,"[0.9458273448604677, 0.9211519345996961, 0.9350598050063645, 0.9560322015181368, 0.9049078824962656]",0.10378774106561658,0.037063709245665585,"[0.08335301559418437, 0.0995638270226735, 0.06793564132281707, 0.10287175462359469, 0.16521446676481336]"
S0,control_replay,5,5,25,1580,316,0.7983838344121756,0.05262412304718128,"[0.8620970392715825, 0.8082689984366139, 0.8291488480944491, 0.7299577519816897, 0.7624465342765426]",0.8125595238095238,0.0319699752555151,"[0.84375, 0.8158730158730159, 0.834920634920635, 0.8063492063492064, 0.7619047619047619]",0.798431783270493,0.042897808649255235,"[0.8559907834101382, 0.7968253968253969, 0.8154633896569381, 0.7385746869617836, 0.7853046594982078]",0.8066384998540194,0.034268830283197264,"[0.8449994193570258, 0.8121740818374956, 0.8316008844291212, 0.7822418621239895, 0.7621762515224653]",0.8018005537434147,0.028980852187470072,"[0.8416293911614368, 0.8059750834750835, 0.8143041597128908, 0.7747588876555027, 0.7723352467121604]",0.18744047619047616,0.03196997525551507,"[0.15625, 0.18412698412698408, 0.16507936507936502, 0.19365079365079363, 0.23809523809523805]",0.2629785074591802,0.045304927252509626,"[0.2084960379097355, 0.2601982570584517, 0.2313900492444728, 0.2953837007515927, 0.3194244923316484]",0.9289035676122992,0.019368828577877403,"[0.949595555618882, 0.914070519449079, 0.9454036699400306, 0.9305733974093815, 0.9048746956441232]",0.10276361048753765,0.04247813517848835,"[0.0644634081050753, 0.0910474748838515, 0.06302590729698296, 0.14584960786123116, 0.1494316542905474]"
S4,drop_last_kernel_one,5,5,25,1580,316,0.7970122183091956,0.03747316105196003,"[0.840225001377681, 0.7524868861756915, 0.8291081228002455, 0.7701499956213231, 0.7930910855710369]",0.8113392857142857,0.029767600314807748,"[0.828125, 0.7682539682539682, 0.8412698412698413, 0.8253968253968254, 0.7936507936507937]",0.7908653353814644,0.03630026181929529,"[0.8312852022529441, 0.7525396825396825, 0.8191127868547223, 0.7543639156542381, 0.7970250896057347]",0.8056013781143994,0.02995951435685457,"[0.8271207971685095, 0.7616397547786778, 0.8374362538389113, 0.8091818119452505, 0.7926282728406484]",0.8008309873594065,0.022392894531263228,"[0.8249866081276591, 0.7690251522686417, 0.8194364214212075, 0.7968519009357709, 0.7938548540437537]",0.18866071428571426,0.02976760031480775,"[0.171875, 0.23174603174603173, 0.15873015873015867, 0.17460317460317454, 0.20634920634920634]",0.2684333366332029,0.04855739876891058,"[0.23021264881261336, 0.30328316848001063, 0.23055910612939523, 0.2417752483826936, 0.33633651136130205]",0.9353762445453103,0.02347579782646017,"[0.9485959862811134, 0.9153846546985275, 0.951960497732508, 0.9560322015181368, 0.9049078824962656]",0.10488780703839087,0.046173060788730215,"[0.06966083934530609, 0.13443777088135006, 0.05225420357689016, 0.10287175462359469, 0.16521446676481336]"
S2,kernel_one_only,5,5,25,1580,316,0.7493973626928507,0.05723416197320466,"[0.8406304142933468, 0.6891966625758493, 0.7247554503368248, 0.7299577519816897, 0.7624465342765426]",0.7802182539682538,0.04234726177831269,"[0.83125, 0.7206349206349205, 0.780952380952381, 0.8063492063492064, 0.7619047619047619]",0.7633045664013405,0.05338843433154807,"[0.8440092165898617, 0.704920634920635, 0.7437136340362146, 0.7385746869617836, 0.7853046594982078]",0.7639679804092305,0.048235248351645076,"[0.8303873679814343, 0.6988365858189111, 0.7461978345993524, 0.7822418621239895, 0.7621762515224653]",0.7553018008631375,0.06044630349456102,"[0.8350129544131683, 0.7177073224324284, 0.6766945931024273, 0.7747588876555027, 0.7723352467121604]",0.21978174603174602,0.042347261778312606,"[0.16875, 0.2793650793650793, 0.219047619047619, 0.19365079365079363, 0.23809523809523805]",0.3031149127333551,0.05316310392325449,"[0.23684642679412846, 0.38157801974484623, 0.28234192404455954, 0.2953837007515927, 0.3194244923316484]",0.9169434622778143,0.024176406078700235,"[0.9447846526570001, 0.8822524985948025, 0.9222320670837643, 0.9305733974093815, 0.9048746956441232]",0.12198443482556035,0.04860551437963341,"[0.053730923682451213, 0.17122903759517358, 0.08968095069839836, 0.14584960786123116, 0.1494316542905474]"
