candidate,prediction_stage,threshold,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,risk_precision,risk_recall,risk_f1,not_risk_precision,not_risk_recall,not_risk_f1,specificity,pr_auc,roc_auc,brier,nll,ece,tn,fp,fn,tp,eligible_count,positive_count,negative_count,coverage
H0_CURRENT_HYBRID,E1_EARLY_20PCT,0.5087858537832896,0.7196125276551921,0.7086296449743962,0.7201440132625393,0.7086296449743962,0.7098877391555188,0.7159452149703324,0.7129488607201419,0.6177313690716655,0.6591723542760005,0.7273391658049366,0.7995279208771269,0.7606031240350374,0.7995279208771269,0.7698353297128406,0.7827463361641206,0.18598148029515313,0.5489863160845395,0.03797858657206679,2467.3333333333335,618.0,930.3333333333334,1506.3333333333333,5522.0,2436.6666666666665,3085.3333333333335,1.0
H0_CURRENT_HYBRID,E2_EARLY_35PCT,0.501932809750239,0.7598082503197117,0.7402589864655282,0.763062771734838,0.7402589864655282,0.7445344726552889,0.7545089887764035,0.7666696502278502,0.6206081792619955,0.6832416436333202,0.7594558932418259,0.8599097936690611,0.8058273016772578,0.8599097936690611,0.8130315143176317,0.8282380252655313,0.1611858152398524,0.4859874203501778,0.02391514509578471,2654.3333333333335,432.0,844.6666666666666,1384.3333333333333,5315.333333333333,2229.0,3086.3333333333335,1.0
H0_CURRENT_HYBRID,L1_LATE_75PCT,0.48493775725364685,0.8701131607050016,0.8372146755416653,0.8836061444944412,0.8372146755416653,0.8524192117590838,0.8659742485878903,0.9148999449791839,0.7130854392741508,0.8013253000215473,0.8523123440096985,0.96134391180918,0.9035131234966199,0.96134391180918,0.9052374413492625,0.9185567297786125,0.0968045798620879,0.31467960878500284,0.01638906940328597,2967.3333333333335,119.33333333333333,514.3333333333334,1277.3333333333333,4878.333333333333,1791.6666666666667,3086.6666666666665,1.0
H0_CURRENT_HYBRID,M1_MIDDLE_FROZEN,0.43666592240333557,0.8068483001299521,0.7868436987998296,0.8080137811598265,0.7868436987998296,0.7926761738723899,0.8036192715463271,0.8035315947253202,0.689090835561409,0.739221660735193,0.8124959675943328,0.8845965620382503,0.8461306870095866,0.8845965620382503,0.8610174904470754,0.8755001474174544,0.13174178558109584,0.40876130311547315,0.02286886444663064,2730.6666666666665,356.0,634.0,1405.3333333333333,5126.0,2039.3333333333333,3086.6666666666665,1.0
H1_TABULAR_RESIDUAL_EXPERT,E1_EARLY_20PCT,0.5086145202318827,0.7194262585591059,0.7125682201030493,0.715645170197003,0.7125682201030493,0.713634963506438,0.7184228504359091,0.6928785689831797,0.6541663875734333,0.6729436823393837,0.7384117714108264,0.7709700526326654,0.7543262446734921,0.7709700526326654,0.7720284595427783,0.7844881105853928,0.18664904359427262,0.550339447069886,0.053802200627380704,2378.6666666666665,706.6666666666666,842.6666666666666,1594.0,5522.0,2436.6666666666665,3085.3333333333335,1.0
H1_TABULAR_RESIDUAL_EXPERT,E2_EARLY_35PCT,0.48582873741785687,0.7606347196798969,0.7479606174115271,0.7563779144156341,0.7479606174115271,0.7506320066458035,0.7586630465331643,0.7360491966519301,0.6706443047642789,0.7012464769333787,0.7767066321793382,0.8252769300587751,0.8000175363582285,0.8252769300587751,0.8160994385097559,0.8308364685867401,0.16038374376513098,0.4843847446925527,0.03133449343146056,2547.3333333333335,539.0,733.3333333333334,1495.6666666666667,5315.333333333333,2229.0,3086.3333333333335,1.0
H1_TABULAR_RESIDUAL_EXPERT,L1_LATE_75PCT,0.4720267653465271,0.8663519707673771,0.8384508137538983,0.8730368549386095,0.8384508137538983,0.8503327120764504,0.863292195232812,0.8867002215346586,0.7335275212023228,0.8015496877602367,0.8593734883425604,0.9433741063054734,0.8991157363926642,0.9433741063054734,0.9060904561571353,0.9194012429226515,0.09626491228832805,0.31312283712624245,0.013617723112715594,2912.0,174.66666666666666,477.3333333333333,1314.3333333333333,4878.333333333333,1791.6666666666667,3086.6666666666665,1.0
H1_TABULAR_RESIDUAL_EXPERT,M1_MIDDLE_FROZEN,0.4428657690684001,0.80626334384366,0.7893989864052583,0.8022252023676643,0.7893989864052583,0.7939529749949714,0.8042237467085528,0.7858564937895239,0.7071350035706702,0.7438176921103631,0.8185939109458045,0.8716629692398464,0.8440882578795796,0.8716629692398464,0.8614981669261308,0.8757708093252691,0.13146772470440637,0.4078442130774767,0.01760591790033021,2690.6666666666665,396.0,597.0,1442.3333333333333,5126.0,2039.3333333333333,3086.6666666666665,1.0
M0_MLP,E1_EARLY_20PCT,0.4768608588614802,0.7213525113468723,0.7096970271241366,0.7202900623161671,0.7096970271241366,0.7117340302290778,0.7179290588317114,0.7160235424638118,0.6106216922906573,0.659121669837377,0.7245565821685225,0.8087723619576158,0.7643463906207786,0.8087723619576158,0.7712196890447828,0.7831735714696245,0.18445886423862276,0.5474521472702533,0.022275685677384683,2495.3333333333335,590.0,948.6666666666666,1488.0,5522.0,2436.6666666666665,3085.3333333333335,1.0
M0_MLP,E2_EARLY_35PCT,0.47979162078733956,0.7640820553796891,0.7446682324032796,0.7657996724602928,0.7446682324032796,0.7494993045875957,0.7592383754848512,0.770098843430025,0.6245508043900346,0.6892704909594444,0.7615005014905605,0.8647856604165248,0.8097281182157469,0.8647856604165248,0.8161268314470331,0.829740573138327,0.15975543374524892,0.4833346598764759,0.019251655143115817,2669.0,417.3333333333333,836.6666666666666,1392.3333333333333,5315.333333333333,2229.0,3086.3333333333335,1.0
