candidate,outer_fold,seed,prediction_stage,threshold,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,risk_precision,risk_recall,risk_f1,not_risk_precision,not_risk_recall,not_risk_f1,specificity,pr_auc,roc_auc,brier,nll,ece,tn,fp,fn,tp,eligible_count,positive_count,negative_count,coverage
H0_CURRENT_HYBRID,0,42,E1_EARLY_20PCT,0.5410787463188171,0.7181208053691275,0.7000148537116632,0.7225822985571158,0.7000148537116632,0.7020332490638632,0.710686118926726,0.7357142857142858,0.5551409618573798,0.6327977315689981,0.7094503113999459,0.8448887455659465,0.7712687665587283,0.8448887455659465,0.7570493552050981,0.7751013020461489,0.18736961137513805,0.5529822679496968,0.027207249716402666,2620,481,1073,1339,5513,2412,3101,1.0
H0_CURRENT_HYBRID,0,42,E2_EARLY_35PCT,0.5371037125587463,0.7601434232874127,0.7280050722704632,0.7789003485276154,0.7280050722704632,0.7341827476860481,0.748370194195248,0.8201936376210235,0.539827036868457,0.6511117211089761,0.7376070594342071,0.9161831076724694,0.8172537742631201,0.9161831076724694,0.808821615486246,0.8294336072253735,0.1603045156771636,0.48506668126638036,0.01914405924586006,2842,260,1011,1186,5299,2197,3102,1.0
H0_CURRENT_HYBRID,0,42,L1_LATE_75PCT,0.44191834330558777,0.8745630269381041,0.8361314401765306,0.8958365310821181,0.8361314401765306,0.854674871626849,0.8694997833958278,0.9416730621642364,0.696763202725724,0.8009138381201044,0.85,0.9754996776273372,0.9084359051335935,0.9754996776273372,0.9082914494496404,0.9208511956346238,0.09589185533709517,0.31300053943770695,0.034476497598756914,3026,76,534,1227,4863,1761,3102,1.0
H0_CURRENT_HYBRID,0,42,M1_MIDDLE_FROZEN,0.47516071796417236,0.81171875,0.7769944771716064,0.8300228397411495,0.7769944771716064,0.7889406992673509,0.8036204893946943,0.8711267605633802,0.6129831516352825,0.7196044211751018,0.788918918918919,0.9410058027079303,0.8582769773596001,0.9410058027079303,0.858287663560183,0.874137597215007,0.1340289050788181,0.41510477938984314,0.039009734960200146,2919,183,781,1237,5120,2018,3102,1.0
H0_CURRENT_HYBRID,0,1201,E1_EARLY_20PCT,0.5410787463188171,0.7190277525847996,0.6961230742985064,0.7333592157454151,0.6961230742985064,0.6968865195339563,0.7071249823339771,0.7678460583488517,0.5128524046434494,0.6149639572458364,0.6988723731419785,0.8793937439535634,0.7788090818220762,0.8793937439535634,0.7557605524009048,0.7775647319673802,0.18678200103842835,0.5526919690133498,0.022012908951275133,2727,374,1175,1237,5513,2412,3101,1.0
H0_CURRENT_HYBRID,0,1201,E2_EARLY_35PCT,0.5371037125587463,0.7524061143612002,0.7172134382885988,0.7762006545988912,0.7172134382885988,0.722444938423016,0.7380192429744559,0.8251285819250551,0.5111515703231679,0.6312535132096684,0.7272727272727273,0.9232753062540296,0.8136363636363636,0.9232753062540296,0.8026653163472017,0.8239537121571617,0.16274107632671142,0.49043411925893826,0.016283323886029377,2864,238,1074,1123,5299,2197,3102,1.0
H0_CURRENT_HYBRID,0,1201,L1_LATE_75PCT,0.44191834330558777,0.8735348550277606,0.836184711297981,0.8923030879675775,0.836184711297981,0.8539701604009187,0.8687096297799046,0.9334341906202723,0.7007382169222033,0.800518975024327,0.8511719853148828,0.9716312056737588,0.9074213457775102,0.9716312056737588,0.9059812887308585,0.918755681795299,0.09669225945497338,0.3150392608615758,0.0324624857217772,3014,88,527,1234,4863,1761,3102,1.0
H0_CURRENT_HYBRID,0,1201,M1_MIDDLE_FROZEN,0.47516071796417236,0.8068359375,0.7707136416992394,0.8264093475156842,0.7707136416992394,0.7826160777504012,0.7979784697741373,0.8693467336683417,0.6000991080277502,0.7100557021401348,0.7834719613630265,0.9413281753707285,0.8551764533606677,0.9413281753707285,0.8569617406716288,0.8726950674107118,0.13466015178364793,0.4166867259328809,0.039089418663934346,2920,182,807,1211,5120,2018,3102,1.0
H0_CURRENT_HYBRID,0,2026,E1_EARLY_20PCT,0.5410787463188171,0.7221113731180845,0.7085824772728853,0.721294556331731,0.7085824772728853,0.7109141501640337,0.7180246447403849,0.7182539682539683,0.6003316749585407,0.6540198735320687,0.7243351444094939,0.81683327958723,0.7678084267959988,0.81683327958723,0.7605590576444551,0.7795450485934298,0.1885679959183345,0.556550004162125,0.050974865991513414,2533,568,964,1448,5513,2412,3101,1.0
H0_CURRENT_HYBRID,0,2026,E2_EARLY_35PCT,0.5371037125587463,0.760898282694848,0.739007708477682,0.7619617782766934,0.739007708477682,0.7443546922038085,0.7554614795883715,0.7651083238312428,0.6108329540282204,0.6793216907112124,0.7588152327221439,0.8671824629271437,0.8093876936964044,0.8671824629271437,0.8089986075641584,0.8301248669497443,0.16082255166036769,0.4869608011474739,0.03266677548776687,2690,412,855,1342,5299,2197,3102,1.0
