candidate,prediction_stage,brier,nll,ece
H0_CURRENT_HYBRID,E1_EARLY_20PCT,0.18598148029515313,0.5489863160845395,0.03797858657206679
H0_CURRENT_HYBRID,E2_EARLY_35PCT,0.1611858152398524,0.4859874203501778,0.02391514509578471
H0_CURRENT_HYBRID,L1_LATE_75PCT,0.0968045798620879,0.31467960878500284,0.01638906940328597
H0_CURRENT_HYBRID,M1_MIDDLE_FROZEN,0.13174178558109584,0.40876130311547315,0.02286886444663064
H1_TABULAR_RESIDUAL_EXPERT,E1_EARLY_20PCT,0.18664904359427262,0.550339447069886,0.053802200627380704
H1_TABULAR_RESIDUAL_EXPERT,E2_EARLY_35PCT,0.16038374376513098,0.4843847446925527,0.03133449343146056
H1_TABULAR_RESIDUAL_EXPERT,L1_LATE_75PCT,0.09626491228832805,0.31312283712624245,0.013617723112715594
H1_TABULAR_RESIDUAL_EXPERT,M1_MIDDLE_FROZEN,0.13146772470440637,0.4078442130774767,0.01760591790033021
M0_MLP,E1_EARLY_20PCT,0.18445886423862276,0.5474521472702533,0.022275685677384683
M0_MLP,E2_EARLY_35PCT,0.15975543374524892,0.4833346598764759,0.019251655143115817
M0_MLP,L1_LATE_75PCT,0.09530068687068845,0.3096353984080226,0.015474697979596762
M0_MLP,M1_MIDDLE_FROZEN,0.13127435298013831,0.4073802781593781,0.014103327266035122
