candidate,outer_fold,prediction_stage,threshold,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,risk_precision,risk_recall,risk_f1,not_risk_precision,not_risk_recall,not_risk_f1,specificity,pr_auc,roc_auc,brier,nll,ece,tn,fp,fn,tp,eligible_count,positive_count,negative_count,coverage
H0_CURRENT_HYBRID,0,E1_EARLY_20PCT,0.5410787463188171,0.7217485942318157,0.7019960393667479,0.7297111437694745,0.7019960393667479,0.7038589713313068,0.7129556135294254,0.7514318442153494,0.5439469320066335,0.6310726310726311,0.7079904433235997,0.8600451467268623,0.7766453115899825,0.8600451467268623,0.7615567693940601,0.7808690477527443,0.18523965540268622,0.548306540881272,0.017265504106754925,2667,434,1100,1312,5513,2412,3101,1.0
H0_CURRENT_HYBRID,0,E2_EARLY_35PCT,0.5371037125587463,0.7616531421022834,0.7308880845957517,0.7777075945117979,0.7308880845957517,0.7372133087298562,0.7509002203647861,0.8142664872139973,0.5507510241238052,0.6570730382840076,0.7411487018095987,0.9110251450676983,0.817353579175705,0.9110251450676983,0.8095475970927885,0.8305750441593323,0.1597234807358199,0.48341018643754263,0.015928303361062757,2826,276,987,1210,5299,2197,3102,1.0
H0_CURRENT_HYBRID,0,L1_LATE_75PCT,0.44191834330558777,0.8778531770512029,0.845093070690229,0.8903287509897397,0.845093070690229,0.860596137838802,0.8741213801437872,0.9194823867721064,0.7262918796138558,0.8115482233502538,0.8611751152073732,0.9638942617666022,0.9096440523273501,0.9638942617666022,0.9092340348307939,0.9216773556727886,0.0935170808042394,0.30625132405546673,0.021110653331908886,2990,112,482,1279,4863,1761,3102,1.0
H0_CURRENT_HYBRID,0,M1_MIDDLE_FROZEN,0.47516071796417236,0.8134765625,0.7828609247910009,0.8244522886485501,0.7828609247910009,0.7935961360737398,0.8071583653034857,0.8512888301387971,0.6382556987115956,0.7295383743981875,0.7976157471583033,0.9274661508704062,0.857653897749292,0.9274661508704062,0.8602445338126621,0.8763989983124159,0.13166136346356672,0.40853439130668984,0.027864254614614774,2877,225,730,1288,5120,2018,3102,1.0
H0_CURRENT_HYBRID,1,E1_EARLY_20PCT,0.5116491317749023,0.721436343852013,0.7122621404567431,0.7186094519075212,0.7122621404567431,0.7139505599264429,0.7193886630472607,0.7048880767473732,0.6341964652692149,0.667676330592817,0.7323308270676692,0.7903278156442713,0.7602247892600686,0.7903278156442713,0.7698490870479914,0.7818190271092611,0.18762227338847814,0.5525151204022285,0.05372214751979518,2435,646,890,1543,5514,2433,3081,1.0
H0_CURRENT_HYBRID,1,E2_EARLY_35PCT,0.48122143745422363,0.7555639381365522,0.7425179906907832,0.7503995339462364,0.7425179906907832,0.745266701780859,0.7536126794650231,0.7288051561725335,0.6624605678233438,0.6940509915014165,0.7719939117199391,0.8225754135582225,0.7964824120603015,0.8225754135582225,0.8082478834798928,0.8236765398702591,0.1640339134372975,0.4930286499565664,0.03829190432252479,2536,547,749,1470,5302,2219,3083,1.0
H0_CURRENT_HYBRID,1,L1_LATE_75PCT,0.46541064977645874,0.8629743589743589,0.831654217911868,0.8713970277265404,0.831654217911868,0.8452220893102528,0.8591249873573087,0.8918353105373342,0.7135678391959799,0.792803970223325,0.8509587449157466,0.9497405966277561,0.8976402083971805,0.9497405966277561,0.8964683404144801,0.9121915601932418,0.10106604038769736,0.3278935288478506,0.01312960641185444,2929,155,513,1278,4875,1791,3084,1.0
H0_CURRENT_HYBRID,1,M1_MIDDLE_FROZEN,0.38408827781677246,0.7948717948717948,0.786171398376327,0.7855968297434954,0.786171398376327,0.785879299704483,0.7949748607189847,0.7398134511536574,0.7441975308641975,0.741999015263417,0.8313802083333334,0.8281452658884566,0.8297595841455491,0.8281452658884566,0.8550050087324881,0.8712593873596901,0.13359409935353686,0.4143063703908159,0.019711300944058166,2554,530,518,1507,5109,2025,3084,1.0
H0_CURRENT_HYBRID,2,E1_EARLY_20PCT,0.4736296832561493,0.7156526448817476,0.7116307550996976,0.7121114441106219,0.7116307550996976,0.7118536862088072,0.7154913683343114,0.682526661197703,0.6750507099391481,0.6787681011625535,0.7416962270235408,0.7482108002602472,0.7449392712550608,0.7482108002602472,0.7781001326964703,0.7855509336303566,0.18508251209429502,0.5461372869701179,0.042948108089650265,2300,774,801,1664,5539,2465,3074,1.0
H0_CURRENT_HYBRID,2,E2_EARLY_35PCT,0.4874732792377472,0.7622076707202994,0.7473708841100499,0.7610811867464797,0.7473708841100499,0.7511234074551517,0.7590140664994013,0.7569373072970196,0.6486129458388376,0.6986009011145364,0.76522506619594,0.8461288223812622,0.803645913795767,0.8461288223812622,0.8212990623802138,0.8304624917670025,0.15980005154643973,0.4815234246564242,0.017525227603766576,2601,473,798,1473,5345,2271,3074,1.0
H0_CURRENT_HYBRID,2,L1_LATE_75PCT,0.547484278678894,0.8695119460894425,0.8348967380228991,0.8890926547670435,0.8348967380228991,0.8514394081281962,0.8646763782625753,0.9333821376281113,0.6993965990126165,0.7996237064910631,0.8448031719059756,0.9703968770331816,0.9032551097653293,0.9703968770331816,0.9100099488025135,0.9218012734698072,0.09583061839432694,0.3098939734516912,0.01492694846609459,2983,91,548,1275,4897,1823,3074,1.0
H0_CURRENT_HYBRID,2,M1_MIDDLE_FROZEN,0.4507487714290619,0.8121965430180618,0.7914987732321609,0.8139922250874341,0.7914987732321609,0.7985530858389469,0.8087245886165109,0.8194925028835064,0.6848192771084337,0.7461275925439748,0.8084919472913616,0.8981782693558881,0.8509785791339189,0.8981782693558881,0.8678029287960761,0.8788420565802573,0.12996989392618397,0.40344314764891376,0.021031037781218984,2761,313,654,1421,5149,2075,3074,1.0
H1_TABULAR_RESIDUAL_EXPERT,0,E1_EARLY_20PCT,0.5126526951789856,0.7172138581534555,0.7103548285659738,0.7126743503275734,0.7103548285659738,0.7112546384865504,0.7164388586260676,0.6847119965352967,0.6554726368159204,0.6697733531031561,0.7406367041198502,0.7652370203160271,0.7527359238699445,0.7652370203160271,0.7637410370543027,0.7816580592683151,0.1879105083212801,0.5539502135315798,0.05319906079102057,2373,728,831,1581,5513,2412,3101,1.0
H1_TABULAR_RESIDUAL_EXPERT,0,E2_EARLY_35PCT,0.5132769346237183,0.764672579732025,0.7464144295001653,0.7625384192078842,0.7464144295001653,0.7509931948558903,0.7609608625796438,0.7553763440860215,0.6395084205735093,0.6926300221838797,0.769700494329747,0.8533204384268214,0.809356367527901,0.8533204384268214,0.812259896276149,0.832128507691897,0.15961206322326568,0.4842294520082047,0.032582790440552685,2647,455,792,1405,5299,2197,3102,1.0
H1_TABULAR_RESIDUAL_EXPERT,0,L1_LATE_75PCT,0.5382355451583862,0.8772362739049969,0.8419091601066302,0.8938219944966316,0.8419091601066302,0.8589254280947352,0.872940750144713,0.9311111111111111,0.7137989778534923,0.8081002892960463,0.856532877882152,0.9700193423597679,0.909750566893424,0.9700193423597679,0.909794356889417,0.9223825115484835,0.09276159710810533,0.30465943837103715,0.01854864639378879,3009,93,504,1257,4863,1761,3102,1.0
H1_TABULAR_RESIDUAL_EXPERT,0,M1_MIDDLE_FROZEN,0.48503485321998596,0.8103515625,0.7872952262647137,0.8101560609674432,0.7872952262647137,0.794764410182369,0.8067392316652265,0.8095801301005322,0.678394449950446,0.7382043677541116,0.8107319918343541,0.8961960025789814,0.8513244526106263,0.8961960025789814,0.8599976896141018,0.8762013893015728,0.13094229924928094,0.4068159466826877,0.017588300899515154,2780,322,649,1369,5120,2018,3102,1.0
H1_TABULAR_RESIDUAL_EXPERT,1,E1_EARLY_20PCT,0.5128452777862549,0.7223431265868698,0.7148024705735924,0.7188332427290025,0.7148024705735924,0.7161106641700441,0.7210539146548703,0.6992049469964664,0.6506370735717222,0.6740472642111986,0.7384615384615385,0.7789678675754625,0.7581740641288895,0.7789678675754625,0.7711568017381284,0.7833282173212561,0.18732331543158026,0.5521182913177227,0.0568262863112428,2400,681,850,1583,5514,2433,3081,1.0
H1_TABULAR_RESIDUAL_EXPERT,1,E2_EARLY_35PCT,0.4967553913593292,0.7582044511505093,0.7456725648232753,0.7529863092714109,0.7456725648232753,0.7482951359958525,0.7564335849441638,0.7306745445593303,0.668769716088328,0.6983529411764706,0.7752980739834913,0.8225754135582225,0.7982373308152345,0.8225754135582225,0.81115003996774,0.8259056884509787,0.16307375581671416,0.490891703452834,0.03547991933114899,2536,547,735,1484,5302,2219,3083,1.0
H1_TABULAR_RESIDUAL_EXPERT,1,L1_LATE_75PCT,0.394863486289978,0.8523076923076923,0.83352370368922,0.8450810852730022,0.83352370368922,0.8385516268660396,0.8510509892104225,0.8223961468994582,0.7627024008933556,0.7914252607184241,0.8677660236465463,0.9043450064850843,0.8856779930136551,0.9043450064850843,0.8972912959465668,0.9131744614410864,0.10106123339769284,0.326992319566767,0.012589294971487449,2789,295,425,1366,4875,1791,3084,1.0
H1_TABULAR_RESIDUAL_EXPERT,1,M1_MIDDLE_FROZEN,0.42052173614501953,0.7962419260129184,0.7839996156987078,0.7878079287765414,0.7839996156987078,0.7857223579726997,0.7955635439749891,0.7520491803278688,0.7249382716049383,0.7382449082222781,0.8235666772252138,0.8430609597924773,0.8331998077231213,0.8430609597924773,0.8561409594121872,0.8721567308770076,0.1338370896140628,0.4143751936339043,0.025201351833955398,2600,484,557,1468,5109,2025,3084,1.0
H1_TABULAR_RESIDUAL_EXPERT,2,E1_EARLY_20PCT,0.5003455877304077,0.7187217909369923,0.7125473611695817,0.7154279175344331,0.7125473611695817,0.7135395878627193,0.7177757780267895,0.6947187634177758,0.6563894523326572,0.6750104297037964,0.7361370716510903,0.7687052700065062,0.7520687460216423,0.7687052700065062,0.7811875398359038,0.7884780551666071,0.18471330702995753,0.5449498363603557,0.05138125477987875,2363,711,847,1618,5539,2465,3074,1.0
H1_TABULAR_RESIDUAL_EXPERT,2,E2_EARLY_35PCT,0.44745388627052307,0.7590271281571562,0.7517948579111406,0.7536090147676074,0.7517948579111406,0.752607689085668,0.7585946920756855,0.7220967013104383,0.7036547776309996,0.7127564674397859,0.7851213282247765,0.7999349381912817,0.7924589107315501,0.7999349381912817,0.8248883792853783,0.8344752096173444,0.1584654122554131,0.4780330786166194,0.02594077052268,2459,615,673,1598,5345,2271,3074,1.0
H1_TABULAR_RESIDUAL_EXPERT,2,L1_LATE_75PCT,0.48298126459121704,0.8695119460894425,0.8399195774658443,0.8802074850461947,0.8399195774658443,0.8535210812685765,0.8658848463433005,0.9065934065934066,0.7240811848601206,0.8051235132662397,0.8538215634989829,0.955757970071568,0.9019186492709133,0.955757970071568,0.9111857156354222,0.9226467557783844,0.09497190635918594,0.30771675344092314,0.009715227972870543,2938,136,503,1320,4897,1823,3074,1.0
H1_TABULAR_RESIDUAL_EXPERT,2,M1_MIDDLE_FROZEN,0.4230407178401947,0.8121965430180618,0.7969021172523536,0.8087116173590083,0.7969021172523536,0.8013721568298455,0.8103684644854429,0.7959401709401709,0.7180722891566265,0.7550038003546997,0.8214830637778456,0.8757319453480806,0.8477405133049913,0.8757319453480806,0.8683558517521033,0.8789543077972266,0.1296237852498754,0.4023414989158381,0.01002810096752007,2692,382,585,1490,5149,2075,3074,1.0
M0_MLP,0,E1_EARLY_20PCT,0.47625651540392644,0.7212044259024125,0.7087435150379457,0.7193682339634836,0.7087435150379457,0.7109578221244741,0.7177592768479805,0.7120698012603005,0.6090381426202321,0.656536312849162,0.7266666666666667,0.8084488874556595,0.7653793313997863,0.8084488874556595,0.7638943180424247,0.7802252309344389,0.18586016103293118,0.5513839888211519,0.026911771782575533,2507,594,943,1469,5513,2412,3101,1.0
M0_MLP,0,E2_EARLY_35PCT,0.4793155542599686,0.7654274391394603,0.7467271911436585,0.7637913739650135,0.7467271911436585,0.7514643969396116,0.7615253469323371,0.7583965330444203,0.6372325898953118,0.6925550333910463,0.7691862148856067,0.8562217923920051,0.810373760488177,0.8562217923920051,0.8141913317703758,0.8324122895443555,0.15814853752259114,0.4801293143904284,0.017735160094433343,2656,446,797,1400,5299,2197,3102,1.0
M0_MLP,0,L1_LATE_75PCT,0.5280424371822173,0.879086983343615,0.8453237291542413,0.8936693539130635,0.8453237291542413,0.8615906577406583,0.8751606823985907,0.9271667880553532,0.7228847245883021,0.8123803446075303,0.8601719197707737,0.9677627337201805,0.9108009708737864,0.9677627337201805,0.9108203666022903,0.9240015142911226,0.09207722648596214,0.30072518860284897,0.01497580927540513,3002,100,488,1273,4863,1761,3102,1.0
M0_MLP,0,M1_MIDDLE_FROZEN,0.4628549719865981,0.811328125,0.7888804115634978,0.8106659080164045,0.7888804115634978,0.796128573145684,0.8079142056278574,0.8086854460093896,0.6828543111992071,0.7404621171413218,0.8126463700234192,0.8949065119277885,0.851795029150046,0.8949065119277885,0.8610259163211473,0.8766967696917299,0.13053930542247488,0.4051301520754409,0.011299654765176742,2776,326,640,1378,5120,2018,3102,1.0
M0_MLP,1,E1_EARLY_20PCT,0.48138871332957917,0.7185346391004716,0.706294215651315,0.7178089195658741,0.706294215651315,0.7083173308367394,0.7147328499790828,0.7149829184968277,0.6021372790793259,0.6537260151717983,0.7206349206349206,0.8104511522233041,0.7629086465016804,0.8104511522233041,0.7684799821491677,0.7796979164957438,0.18566770137100133,0.54947680920294,0.022119534422647736,2497,584,968,1465,5514,2433,3081,1.0
M0_MLP,1,E2_EARLY_35PCT,0.5047597660498634,0.7638626933232743,0.740118695949542,0.7707410471139124,0.740118695949542,0.7458365400004441,0.7568667074727707,0.7893476959904249,0.594411897251014,0.6781491002570694,0.7521343982374001,0.88582549464807,0.8135239797438188,0.88582549464807,0.8116368215555227,0.8242641580535045,0.16194864201323372,0.48837354864861365,0.022139615805814354,2731,352,900,1319,5302,2219,3083,1.0
M0_MLP,1,L1_LATE_75PCT,0.4373657367194228,0.8633846153846154,0.8366603336613896,0.8658317994634669,0.8366603336613896,0.8475081084777554,0.860558536596363,0.8722700198544011,0.7359017308766053,0.7983040581465778,0.8593935790725327,0.9374189364461738,0.896712158808933,0.9374189364461738,0.901463913086199,0.9166697444565384,0.09892982989588606,0.32184322765130297,0.02170332863641146,2891,193,473,1318,4875,1791,3084,1.0
M0_MLP,1,M1_MIDDLE_FROZEN,0.4840611678496037,0.808964572323351,0.7828373444780707,0.8134446073467894,0.7828373444780707,0.7916449803594763,0.8040967440320786,0.8255741775294848,0.6567901234567901,0.7315731573157316,0.8013150371640938,0.9088845654993515,0.8517168034032209,0.9088845654993515,0.8570508966491719,0.8714845238667115,0.1331580161613167,0.41324312139329966,0.02000107190005773,2803,281,695,1330,5109,2025,3084,1.0
M0_MLP,2,E1_EARLY_20PCT,0.47293734785093505,0.7243184690377324,0.714053350683149,0.7236930334191437,0.714053350683149,0.7159269377260198,0.7212950496680712,0.7210179076343073,0.6206896551724138,0.6671026814911707,0.7263681592039801,0.8074170461938842,0.7647511939608689,0.8074170461938842,0.7812847669427556,0.7895975669786907,0.1818487303119358,0.541495643786668,0.017795750826930776,2482,592,935,1530,5539,2465,3074,1.0
M0_MLP,2,E2_EARLY_35PCT,0.45529954205218676,0.762956033676333,0.7471588101166385,0.7628665963019523,0.7471588101166385,0.7511969768227313,0.7593230720494457,0.7625523012552301,0.6420079260237781,0.6971073392302175,0.7631808913486746,0.852309694209499,0.8052866144152451,0.852309694209499,0.8225523410152007,0.832545271817121,0.15916912169992192,0.4815011165903857,0.017880189529099755,2620,454,813,1458,5345,2271,3074,1.0
M0_MLP,2,L1_LATE_75PCT,0.5158668452029939,0.8691035327751685,0.8365805647564857,0.8846040677203002,0.8365805647564857,0.851877118546692,0.864781456390898,0.9209401709401709,0.7092704333516182,0.8013634955066625,0.8482679645004294,0.9638906961613533,0.9023907415867215,0.9638906961613533,0.9114641043793481,0.9231787065512567,0.09489500423021716,0.3063377789699159,0.0097449560269737,2963,111,530,1293,4897,1823,3074,1.0
M0_MLP,2,M1_MIDDLE_FROZEN,0.44732885504264835,0.8118081180811808,0.7921914855257073,0.812297436918283,0.7921914855257073,0.7987410842634444,0.8086907540682605,0.8138479001135074,0.6910843373493976,0.7474589523064894,0.8107469737230587,0.8932986337020169,0.8500232162203993,0.8932986337020169,0.8678289858759859,0.8784421224259432,0.13012573735662333,0.40376756100939376,0.011009255132870894,2746,328,641,1434,5149,2075,3074,1.0
