candidate,outer_fold,seed,epoch,encoder_frozen,train_loss,classification_loss,regression_loss,ordinal_loss,validation_macro_f1,validation_nll,gradient_norm,encoder_learning_rate,head_learning_rate
cnn_bilstm_v5_1,0,42,1,False,1.0096848011016846,1.0096848011016846,0.3921182221836514,0.6741822693083022,0.2616822429906542,0.8944290854076736,0.8900200923283895,0.00159382533764043,0.00159382533764043
cnn_bilstm_v5_1,0,42,2,False,0.9002852837244669,0.9002852837244669,0.36776355240080094,0.6499390867021348,0.2616822429906542,0.8857686738552878,0.6219060487217374,0.0015532349904303425,0.0015532349904303425
cnn_bilstm_v5_1,0,42,3,False,0.8517892956733704,0.8517892956733704,0.3479979948865043,0.6331050395965576,0.2616822429906542,0.815398883828942,0.6425980461968316,0.0014871220146821147,0.0014871220146821147
cnn_bilstm_v5_1,0,42,4,False,0.7546546194288466,0.7546546194288466,0.29220734867784715,0.6351911955409579,0.28760215614675705,0.6079794242692506,0.763177322016822,0.0013977378084910775,0.0013977378084910775
cnn_bilstm_v5_1,0,42,5,False,0.6538100441296896,0.6538100441296896,0.28347430295414394,0.6142046981387668,0.732885255315043,0.5161810682555306,1.257807195186615,0.001288126243794528,0.001288126243794528
cnn_bilstm_v5_1,0,42,6,False,0.5177780290444692,0.5177780290444692,0.2604067540831036,0.5913299653265212,0.5398886827458256,0.4318898862718145,1.2685614493158128,0.0011620200109636253,0.0011620200109636253
cnn_bilstm_v5_1,0,42,7,False,0.529374897480011,0.529374897480011,0.2561187475091881,0.5525771313243442,0.6550753435999338,0.36271688492168347,inf,0.0010237135065096705,0.0010237135065096705
cnn_bilstm_v5_1,0,42,8,False,0.4374895857440101,0.4374895857440101,0.2566769884692298,0.5505171749326918,0.8971071663379355,0.3195845772128075,1.469432446691725,0.0008779165925614744,0.0008779165925614744
cnn_bilstm_v5_1,0,42,9,False,0.45104044675827026,0.45104044675827026,0.24017445287770695,0.5544817646344503,0.8452641140559582,0.292930187145731,2.204771253797743,0.0007295942081594186,0.0007295942081594186
cnn_bilstm_v5_1,0,42,10,False,0.42329883575439453,0.42329883575439453,0.24008294691642126,0.5473397374153137,0.8950509213667108,0.25899466326883264,inf,0.0005837972942112226,0.0005837972942112226
cnn_bilstm_v5_1,0,42,11,False,0.37966688805156285,0.37966688805156285,0.23002137078179252,0.5369827184412215,0.9048106548106548,0.24997279446702544,1.8841511474715338,0.0004454907897572682,0.0004454907897572682
cnn_bilstm_v5_1,0,42,12,False,0.3813237084282769,0.3813237084282769,0.2467987702952491,0.5468576020664639,0.8950509213667108,0.24145182299404885,2.592193775706821,0.0003193845569263652,0.0003193845569263652
cnn_bilstm_v5_1,0,42,13,False,0.38223499721950954,0.38223499721950954,0.3356500052743488,0.5295258627997504,0.8950509213667108,0.2341398438651258,2.227160162395901,0.00020977299222981537,0.00020977299222981537
cnn_bilstm_v5_1,0,42,14,False,0.39842060539457536,0.39842060539457536,0.25310950312349534,0.5294281840324402,0.9039005709371969,0.2361359061757679,2.23216180006663,0.00012038878603877849,0.00012038878603877849
cnn_bilstm_v5_1,0,42,15,False,0.3588076565000746,0.3588076565000746,0.2800412095255322,0.5443674392170377,0.9039005709371969,0.23393149316293377,2.503255075878567,5.4275810290550455e-05,5.4275810290550455e-05
cnn_bilstm_v5_1,0,42,16,False,0.3264433675342136,0.3264433675342136,0.23084401504860985,0.5338147150145637,0.9039005709371969,0.23193385018347445,2.7738969789610968,1.3685463080462931e-05,1.3685463080462931e-05
cnn_bilstm_v5_1,0,42,17,False,0.3542193008793725,0.3542193008793725,0.25102702611022526,0.5353367527325948,0.9039005709371969,0.23097243015505073,1.6315033170912001,0.0,0.0
cnn_bilstm_v5_1,0,1201,1,False,0.9549828436639574,0.9549828436639574,0.37868326902389526,0.7260460125075446,0.2616822429906542,0.886683249795874,0.8868314888742235,0.00159382533764043,0.00159382533764043
cnn_bilstm_v5_1,0,1201,2,False,0.8976774215698242,0.8976774215698242,0.37622345487276715,0.7511219183603922,0.2616822429906542,0.8415485854466631,0.7563456098238627,0.0015532349904303425,0.0015532349904303425
cnn_bilstm_v5_1,0,1201,3,False,0.8307353655497233,0.8307353655497233,0.37919560571511585,0.7577211525705125,0.2616822429906542,0.75991586967948,0.7629674971103668,0.0014871220146821147,0.0014871220146821147
cnn_bilstm_v5_1,0,1201,4,False,0.7766188846694099,0.7766188846694099,0.37739675905969405,0.7468815975719028,0.49657494485080694,0.5774123358259882,0.9373802079094781,0.0013977378084910775,0.0013977378084910775
cnn_bilstm_v5_1,0,1201,5,False,0.5818869041071998,0.5818869041071998,0.31078417433632743,0.7385110590193007,0.7629556650246306,0.48318989116131883,inf,0.001288126243794528,0.001288126243794528
cnn_bilstm_v5_1,0,1201,6,False,0.5381687382857004,0.5381687382857004,0.3295597748623954,0.7364925411012437,0.5807102502017757,0.42509528763832183,1.344617419772678,0.0011620200109636253,0.0011620200109636253
cnn_bilstm_v5_1,0,1201,7,False,0.511751631895701,0.511751631895701,0.3143053510122829,0.7162284056345621,0.8909536714414763,0.33117131532046207,1.6865450872315302,0.0010237135065096705,0.0010237135065096705
cnn_bilstm_v5_1,0,1201,8,False,0.4352182216114468,0.4352182216114468,0.33560802539189655,0.7348496119181315,0.7970480668756531,0.31189821380429444,inf,0.0008779165925614744,0.0008779165925614744
cnn_bilstm_v5_1,0,1201,9,False,0.4219839639133877,0.4219839639133877,0.3391505512926314,0.7260025143623352,0.9097121085072892,0.2710492122128891,1.572367827097575,0.0007295942081594186,0.0007295942081594186
cnn_bilstm_v5_1,0,1201,10,False,0.35154597212870914,0.35154597212870914,0.3389574670129352,0.7422544095251296,0.8849206349206349,0.2648718273390631,1.4964418212572734,0.0005837972942112226,0.0005837972942112226
cnn_bilstm_v5_1,0,1201,11,False,0.39141647352112663,0.39141647352112663,0.3323061250978046,0.7314508226182725,0.9048106548106548,0.22959258431659654,2.7636073960198297,0.0004454907897572682,0.0004454907897572682
cnn_bilstm_v5_1,0,1201,12,False,0.335803606443935,0.335803606443935,0.3591349588500129,0.7461744414435493,0.9039005709371969,0.2218309601069724,2.061221440633138,0.0003193845569263652,0.0003193845569263652
cnn_bilstm_v5_1,0,1201,13,False,0.3299027466111713,0.3299027466111713,0.3262065019872453,0.7319009767638313,0.894225627706645,0.21684744920154495,2.1181473864449396,0.00020977299222981537,0.00020977299222981537
cnn_bilstm_v5_1,0,1201,14,False,0.3727663391166263,0.3727663391166263,0.3159436566962136,0.7397270931137933,0.894225627706645,0.21741050516064117,2.042066772778829,0.00012038878603877849,0.00012038878603877849
cnn_bilstm_v5_1,0,1201,15,False,0.34413225369320977,0.34413225369320977,0.3420310815175374,0.7303876148329841,0.9059771465431843,0.21520475729038333,1.5012101994620428,5.4275810290550455e-05,5.4275810290550455e-05
cnn_bilstm_v5_1,0,1201,16,False,0.35745703015062547,0.35745703015062547,0.35271525714132523,0.7394461433092753,0.894225627706645,0.21427174096895166,1.8072056372960408,1.3685463080462931e-05,1.3685463080462931e-05
cnn_bilstm_v5_1,0,1201,17,False,0.33366760942671037,0.33366760942671037,0.3116414613193936,0.7298102974891663,0.894225627706645,0.2140287160784219,2.0076014200846353,0.0,0.0
cnn_bilstm_v5_1,0,2026,1,False,0.9816942546102736,0.9816942546102736,0.44835800263616776,0.7080443832609389,0.2616822429906542,0.8880143692139972,0.8771641386879815,0.00159382533764043,0.00159382533764043
cnn_bilstm_v5_1,0,2026,2,False,0.8687241209877862,0.8687241209877862,0.49165139761235976,0.7324622140990363,0.2616822429906542,0.8695737562320777,0.6458288563622369,0.0015532349904303425,0.0015532349904303425
cnn_bilstm_v5_1,0,2026,3,False,0.8988352020581564,0.8988352020581564,0.5442570183012221,0.7282769282658895,0.2616822429906542,0.8179322759900344,0.6735891997814178,0.0014871220146821147,0.0014871220146821147
cnn_bilstm_v5_1,0,2026,4,False,0.8089640339215597,0.8089640339215597,0.5394521090719435,0.7401800553003947,0.3942307692307692,0.6617663353177734,0.7157151599725088,0.0013977378084910775,0.0013977378084910775
cnn_bilstm_v5_1,0,2026,5,False,0.6424539817704095,0.6424539817704095,0.5949426889419556,0.7422572639253404,0.5624122108811687,0.5292229866689636,0.9219443069563972,0.001288126243794528,0.001288126243794528
cnn_bilstm_v5_1,0,2026,6,False,0.5407093465328217,0.5407093465328217,0.6035315758652158,0.7560462156931559,0.5838509316770186,0.4191409242001409,1.0165988471772935,0.0011620200109636253,0.0011620200109636253
cnn_bilstm_v5_1,0,2026,7,False,0.4171479261583752,0.4171479261583752,0.7364502747853597,0.7626380721728007,0.812957157784744,0.30446769726357936,1.3476608594258626,0.0010237135065096705,0.0010237135065096705
cnn_bilstm_v5_1,0,2026,8,False,0.4332104093498654,0.4332104093498654,0.7856828371683756,0.7721574174033271,0.9074074074074074,0.2744940625953526,inf,0.0008779165925614744,0.0008779165925614744
cnn_bilstm_v5_1,0,2026,9,False,0.40282641185654533,0.40282641185654533,0.9006448984146118,0.784251418378618,0.8637056267283706,0.23609842017537333,2.0813739233546786,0.0007295942081594186,0.0007295942081594186
cnn_bilstm_v5_1,0,2026,10,False,0.40056602160135907,0.40056602160135907,0.8688288662168715,0.7743404176500108,0.8972845814163181,0.2189787034604103,inf,0.0005837972942112226,0.0005837972942112226
cnn_bilstm_v5_1,0,2026,11,False,0.37552144130071,0.37552144130071,0.9382861521508958,0.7980776098039415,0.8972845814163181,0.2153711251902784,1.968256155649821,0.0004454907897572682,0.0004454907897572682
cnn_bilstm_v5_1,0,2026,12,False,0.33868851761023205,0.33868851761023205,0.9459171030256484,0.8079010910458035,0.8972845814163181,0.2244392678909665,2.7045811547173395,0.0003193845569263652,0.0003193845569263652
cnn_bilstm_v5_1,0,2026,13,False,0.35363655620151097,0.35363655620151097,0.8931838406456841,0.7981220881144205,0.9039005709371969,0.21016144388861022,3.1315348280800714,0.00020977299222981537,0.00020977299222981537
cnn_bilstm_v5_1,0,2026,14,False,0.3851332796944512,0.3851332796944512,0.9185677700572543,0.7957030269834731,0.9039005709371969,0.20889957476457896,2.7456739015049405,0.00012038878603877849,0.00012038878603877849
cnn_bilstm_v5_1,0,2026,15,False,0.3064000490638945,0.3064000490638945,0.9408031304677328,0.8195422093073527,0.9039005709371969,0.20928594439203962,2.0030206971698337,5.4275810290550455e-05,5.4275810290550455e-05
cnn_bilstm_v5_1,0,2026,16,False,0.3432577848434448,0.3432577848434448,0.900297999382019,0.8075972133212619,0.9039005709371969,0.20916147049413822,2.866761631435818,1.3685463080462931e-05,1.3685463080462931e-05
cnn_bilstm_v5_1,0,2026,17,False,0.3070763010117743,0.3070763010117743,0.9170259038607279,0.794937789440155,0.9039005709371969,0.20921286530026628,2.1974657442834644,0.0,0.0
cnn_bilstm_v5_1,0,3407,1,False,0.9731416039996676,0.9731416039996676,0.4089221391412947,0.7529299457867941,0.2616822429906542,0.8934735617389823,0.9620870550473531,0.00159382533764043,0.00159382533764043
cnn_bilstm_v5_1,0,3407,2,False,0.8754839036199782,0.8754839036199782,0.45119795203208923,0.7718645069334242,0.2616822429906542,0.8697191361401927,0.6633918119801415,0.0015532349904303425,0.0015532349904303425
cnn_bilstm_v5_1,0,3407,3,False,0.8761682179239061,0.8761682179239061,0.37843697766462964,0.7349933187166849,0.2616822429906542,0.8322655950126089,0.6444546944565244,0.0014871220146821147,0.0014871220146821147
cnn_bilstm_v5_1,0,3407,4,False,0.8568709227773879,0.8568709227773879,0.36657408542103237,0.7312433852089776,0.2616822429906542,0.7401465881051003,0.689245922697915,0.0013977378084910775,0.0013977378084910775
cnn_bilstm_v5_1,0,3407,5,False,0.7817176911565993,0.7817176911565993,0.3366089214881261,0.7475645873281691,0.4621575890611424,0.6014945164003557,0.9736285275883145,0.001288126243794528,0.001288126243794528
cnn_bilstm_v5_1,0,3407,6,False,0.6134863694508871,0.6134863694508871,0.3213452365663316,0.7702414194742838,0.646757429366125,0.4733328523007038,1.0967826710806952,0.0011620200109636253,0.0011620200109636253
cnn_bilstm_v5_1,0,3407,7,False,0.4845791161060333,0.4845791161060333,0.3186437636613846,0.8200423783726163,0.8526610026113502,0.3498250127156019,1.2656969096925523,0.0010237135065096705,0.0010237135065096705
cnn_bilstm_v5_1,0,3407,8,False,0.430363396803538,0.430363396803538,0.3038950910170873,0.8438703219095866,0.7907647907647908,0.3576467291253219,inf,0.0008779165925614744,0.0008779165925614744
cnn_bilstm_v5_1,0,3407,9,False,0.39328781101438737,0.39328781101438737,0.3751884500185649,0.8626312149895562,0.8849148754809132,0.2495412415630283,2.403630574544271,0.0007295942081594186,0.0007295942081594186
cnn_bilstm_v5_1,0,3407,10,False,0.36643843518363106,0.36643843518363106,0.35842591855261063,0.8554703195889791,0.8925351071692535,0.23714975353268722,2.802471160888672,0.0005837972942112226,0.0005837972942112226
