outer_fold,trial,state,value,parameters,parameter_count
0,0,COMPLETE,0.8258660808449174,"{""aggregate_hidden"": 80, ""batch_size"": 256, ""conv_channels"": 24, ""dropout"": 0.25, ""fusion_hidden"": 48, ""kernels"": ""3_5"", ""learning_rate"": 0.0005, ""loss"": ""weighted_bce"", ""lstm_hidden"": 40, ""lstm_layers"": 1, ""pooling"": ""masked_mean_max"", ""pooling_projection"": 48, ""positive_weight"": ""none"", ""static_hidden"": 24, ""weight_decay"": 1e-05}",71972.0
0,1,COMPLETE,0.8162483326657577,"{""aggregate_hidden"": 96, ""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.16181186814071458, ""focal_gamma"": 1.76437043864474, ""fusion_hidden"": 48, ""kernels"": ""5"", ""learning_rate"": 0.0018839693732103791, ""loss"": ""focal"", ""lstm_hidden"": 24, ""lstm_layers"": 2, ""pooling"": ""masked_mean_max"", ""pooling_projection"": 32, ""positive_weight"": ""balanced"", ""static_hidden"": 16, ""weight_decay"": 0.0006379064522604222}",63652.0
0,2,COMPLETE,0.8258636968078865,"{""aggregate_hidden"": 64, ""batch_size"": 128, ""conv_channels"": 24, ""dropout"": 0.3753283001975867, ""focal_gamma"": 2.7098855980904313, ""fusion_hidden"": 32, ""kernels"": ""3"", ""learning_rate"": 0.0002085867871134908, ""loss"": ""focal"", ""lstm_hidden"": 64, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""balanced"", ""static_hidden"": 16, ""weight_decay"": 8.002697194310862e-05}",74917.0
0,3,COMPLETE,0.8266728014985947,"{""aggregate_hidden"": 128, ""batch_size"": 512, ""conv_channels"": 24, ""dropout"": 0.3102311453193729, ""focal_gamma"": 1.9925007618938444, ""fusion_hidden"": 96, ""kernels"": ""3_5"", ""learning_rate"": 0.0009775327611494349, ""loss"": ""focal"", ""lstm_hidden"": 64, ""lstm_layers"": 2, ""pooling"": ""masked_attention"", ""pooling_projection"": 48, ""positive_weight"": ""balanced"", ""static_hidden"": 48, ""weight_decay"": 0.0019642703313893393}",235717.0
0,4,COMPLETE,0.8295795712848121,"{""aggregate_hidden"": 80, ""batch_size"": 512, ""conv_channels"": 16, ""dropout"": 0.41565862615767357, ""fusion_hidden"": 48, ""kernels"": ""3_5"", ""learning_rate"": 0.0007093353363355856, ""loss"": ""weighted_bce"", ""lstm_hidden"": 64, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 32, ""weight_decay"": 1.1785028437228307e-06}",89797.0
0,5,COMPLETE,0.8268779224435667,"{""aggregate_hidden"": 80, ""batch_size"": 512, ""conv_channels"": 32, ""dropout"": 0.44256355515212165, ""fusion_hidden"": 96, ""kernels"": ""5"", ""learning_rate"": 0.00013527832163773095, ""loss"": ""weighted_bce"", ""lstm_hidden"": 32, ""lstm_layers"": 2, ""pooling"": ""masked_attention"", ""pooling_projection"": 96, ""positive_weight"": ""balanced"", ""static_hidden"": 24, ""weight_decay"": 2.7229777236961334e-06}",107365.0
0,6,COMPLETE,0.8244887106704764,"{""aggregate_hidden"": 80, ""batch_size"": 512, ""conv_channels"": 16, ""dropout"": 0.15344117840572102, ""fusion_hidden"": 96, ""kernels"": ""3"", ""learning_rate"": 0.0012794862341722248, ""loss"": ""weighted_bce"", ""lstm_hidden"": 64, ""lstm_layers"": 2, ""pooling"": ""masked_mean_max"", ""pooling_projection"": 64, ""positive_weight"": ""balanced"", ""static_hidden"": 48, ""weight_decay"": 2.0579780844971183e-06}",204036.0
0,7,COMPLETE,0.8258308557477991,"{""aggregate_hidden"": 96, ""batch_size"": 512, ""conv_channels"": 24, ""dropout"": 0.47380740263889665, ""focal_gamma"": 2.2508020536237647, ""fusion_hidden"": 96, ""kernels"": ""3_5"", ""learning_rate"": 0.0004236822780565482, ""loss"": ""focal"", ""lstm_hidden"": 24, ""lstm_layers"": 2, ""pooling"": ""masked_attention"", ""pooling_projection"": 96, ""positive_weight"": ""none"", ""static_hidden"": 32, ""weight_decay"": 0.0001604298912971814}",98101.0
0,8,PRUNED,0.8160987591250883,"{""aggregate_hidden"": 128, ""batch_size"": 128, ""conv_channels"": 16, ""dropout"": 0.14993393066728028, ""focal_gamma"": 1.6542314859024112, ""fusion_hidden"": 96, ""kernels"": ""3"", ""learning_rate"": 0.00037441083667759867, ""loss"": ""focal"", ""lstm_hidden"": 32, ""lstm_layers"": 1, ""pooling"": ""masked_attention"", ""pooling_projection"": 32, ""positive_weight"": ""none"", ""static_hidden"": 32, ""weight_decay"": 0.0027157654015836476}",
0,9,PRUNED,0.8071843237454676,"{""aggregate_hidden"": 96, ""batch_size"": 256, ""conv_channels"": 16, ""dropout"": 0.12301650807542984, ""focal_gamma"": 2.491204005707643, ""fusion_hidden"": 32, ""kernels"": ""3_5"", ""learning_rate"": 0.001051436675137799, ""loss"": ""focal"", ""lstm_hidden"": 64, ""lstm_layers"": 1, ""pooling"": ""masked_mean_max"", ""pooling_projection"": 32, ""positive_weight"": ""balanced"", ""static_hidden"": 32, ""weight_decay"": 4.878750729567374e-06}",
