variant,outer_fold,seed,epoch,train_loss,validation_nll,validation_macro_f1_at_0_5,gradient_norm,learning_rate
cnn_bilstm,0,42,1,0.46430637659849944,,,0.5044871498773127,0.001183733290877784
cnn_bilstm,0,42,2,0.4036262601981928,,,0.4989494261918245,0.0010975559252745636
cnn_bilstm,0,42,3,0.38573746548758614,,,0.4509868117762201,0.0009633315315090806
cnn_bilstm,0,42,4,0.3798028720013889,,,0.45927171133182665,0.0007941989284394422
cnn_bilstm,0,42,5,0.37182074822025535,,,0.4464444867622705,0.0006067139936702428
cnn_bilstm,0,42,6,0.3693696709326756,,,0.4580345893347705,0.00041922905890104357
cnn_bilstm,0,42,7,0.3652050995532377,,,0.44397945168577596,0.0002500964558314053
cnn_bilstm,0,42,8,0.35670840666617876,,,0.4470323088728351,0.00011587206206592216
cnn_bilstm,0,42,9,0.35584266759731153,,,0.46454102205641473,2.9694696462701855e-05
cnn_bilstm,0,42,10,0.3580302621847318,,,0.4567739051065327,0.0
cnn_bilstm,0,1201,1,0.47257118570951767,,,0.48326855677145497,0.001183733290877784
cnn_bilstm,0,1201,2,0.40145179997255775,,,0.4876179662015703,0.0010975559252745636
cnn_bilstm,0,1201,3,0.385479732428068,,,0.4817955431378918,0.0009633315315090806
cnn_bilstm,0,1201,4,0.37692728528270014,,,0.4789230422473248,0.0007941989284394422
cnn_bilstm,0,1201,5,0.3704134547784005,,,0.48375988006591797,0.0006067139936702428
cnn_bilstm,0,1201,6,0.36222700940238106,,,0.4576678515216451,0.00041922905890104357
cnn_bilstm,0,1201,7,0.3572749232436404,,,0.48537470565901863,0.0002500964558314053
cnn_bilstm,0,1201,8,0.3550240136223075,,,0.4960546946084058,0.00011587206206592216
cnn_bilstm,0,1201,9,0.3564979319955096,,,0.49186511245774633,2.9694696462701855e-05
cnn_bilstm,0,1201,10,0.3506911790665285,,,0.4914513248720287,0.0
cnn_bilstm,0,2026,1,0.46459883488254783,,,0.5040201544761658,0.001183733290877784
cnn_bilstm,0,2026,2,0.40399412203718116,,,0.5073969113973924,0.0010975559252745636
cnn_bilstm,0,2026,3,0.3911621861251784,,,0.48059186854480224,0.0009633315315090806
cnn_bilstm,0,2026,4,0.37890638171890634,,,0.482876902009234,0.0007941989284394422
cnn_bilstm,0,2026,5,0.3719424807731016,,,0.4602507603021316,0.0006067139936702428
cnn_bilstm,0,2026,6,0.36260626676641866,,,0.44800919073599355,0.00041922905890104357
cnn_bilstm,0,2026,7,0.36020201812555763,,,0.4660990823198248,0.0002500964558314053
cnn_bilstm,0,2026,8,0.3564081962829755,,,0.47995631562338936,0.00011587206206592216
cnn_bilstm,0,2026,9,0.35231689391312776,,,0.47604922968664287,2.9694696462701855e-05
cnn_bilstm,0,2026,10,0.3534671829806434,,,0.4708733220159272,0.0
cnn_bilstm,0,3407,1,0.45623243296587906,,,0.49984290533595616,0.001183733290877784
cnn_bilstm,0,3407,2,0.40275204135679904,,,0.4915980777622741,0.0010975559252745636
cnn_bilstm,0,3407,3,0.3844007306996687,,,0.45742618448940325,0.0009633315315090806
cnn_bilstm,0,3407,4,0.3754712832562717,,,0.4612329348369881,0.0007941989284394422
cnn_bilstm,0,3407,5,0.366273937953843,,,0.44085919709853183,0.0006067139936702428
cnn_bilstm,0,3407,6,0.363841156532735,,,0.4746584012920474,0.00041922905890104357
cnn_bilstm,0,3407,7,0.3557525120767546,,,0.46928756803642085,0.0002500964558314053
cnn_bilstm,0,3407,8,0.3566075063046114,,,0.4687673203003259,0.00011587206206592216
cnn_bilstm,0,3407,9,0.35303681518560576,,,0.4797073551166205,2.9694696462701855e-05
cnn_bilstm,0,3407,10,0.3488233966959847,,,0.47551865342222616,0.0
cnn_bilstm,0,7319,1,0.4722821631549317,,,0.5066588539400219,0.001183733290877784
cnn_bilstm,0,7319,2,0.4048492768664419,,,0.5242763713554099,0.0010975559252745636
cnn_bilstm,0,7319,3,0.38489065457273414,,,0.48850206901997695,0.0009633315315090806
cnn_bilstm,0,7319,4,0.3752637317887059,,,0.5139466509406949,0.0007941989284394422
