candidate,seed,evidence_source,records,threshold,threshold_scope,macro_f1,balanced_accuracy,at_risk_precision,at_risk_recall,at_risk_f1,pr_auc,brier,nll,ece
xgboost,-1,immutable V4 comparator V4-XGB-ENS; same F2 data contract,,,,0.8283814220319712,0.8227174777962843,0.8333333333333334,0.7437070938215103,0.7859733978234583,0.8922181110668066,0.114485140882632,0.3623888914023748,0.0156563068262477
cnn_bilstm,2026,V5,15378.0,,per_outer_fold,0.8282679411423378,0.8246631050817013,0.8169236159775753,0.7621771820856489,0.7886013867749028,0.8800407008744756,0.122904875459427,0.3923199752134293,0.04611847347327109
cnn_bilstm,7319,V5,15378.0,,per_outer_fold,0.8280226088876257,0.825009055176207,0.8123593560671629,0.7670807453416149,0.7890710382513662,0.8801916082683043,0.12339456443177907,0.39332058145971477,0.04869306901265611
cnn_bilstm_ensemble,-1,V5,15378.0,,per_outer_fold,0.828002638861856,0.8251783675547211,0.8110018968787722,0.7687152664269369,0.7892926071997987,0.8821049099691441,0.12265037336629811,0.3908576924965211,0.05053836701052414
logistic_regression,-1,immutable V4 comparator V4-LR; same F2 data contract,,,,0.8277571779567228,0.821360154541674,0.8390162101732812,0.7360248447204969,0.7841532433609055,0.8900470041804384,0.1148291480638568,0.3649773349322107,0.0076796776923837
bilstm_only,42,V5,15378.0,,per_outer_fold,0.8277424103191788,0.8242880654542732,0.8151965065502184,0.7628309905197777,0.7881448957189902,0.8815131243597568,0.12222285986687907,0.3895934989644032,0.04566700068856112
cnn_only,7319,V5,15378.0,,per_outer_fold,0.8271247798951077,0.8240006121510932,0.8120770432066632,0.7649558679306963,0.7878124736975002,0.8777138655455986,0.12455257610062029,0.39700091756570616,0.046964808031800344
hist_gradient_boosting,-1,immutable V4 comparator V4-HGB; same F2 data contract,,,,0.8265249647986528,0.8207297871874728,0.8323221180364038,0.7399476953252697,0.7834213031063425,0.8906988273249076,0.1162889420080888,0.3685705931491436,0.0332567217620525
cnn_only,2026,V5,15378.0,,per_outer_fold,0.8260095307561739,0.8225499482107466,0.8131772107654667,0.7605426610003269,0.7859797297297297,0.8780593041936082,0.12493211377596039,0.3973288655469511,0.050020797026804766
cnn_only,3407,V5,15378.0,,per_outer_fold,0.8259186998450496,0.8226375345349946,0.8117708514713564,0.7620137299771167,0.7861057246437906,0.8800155918281154,0.12380847697706664,0.39421779723707256,0.04946893470664396
bilstm_only,3407,V5,15378.0,,per_outer_fold,0.8252826886434936,0.8224070070471512,0.8081174438687392,0.7647924158221641,0.7858582465569365,0.8795771394019256,0.12393178989993013,0.39424631631725415,0.050573229147413225
mlp,-1,immutable V4 comparator V4-A0-ENS; same F2 data contract,,,,0.8251415013025722,0.8188369023318932,0.8352262148575684,0.7332461588754495,0.7809208808425451,0.8910995372312445,0.1151664392362485,0.3672247222800087,0.0230844068114031
cnn_bilstm,42,V5,15378.0,,per_outer_fold,0.8251305650580782,0.8230025305069415,0.8027905393908457,0.7711670480549199,0.7866611087953314,0.880057869490195,0.1240374739233641,0.39470610799080025,0.05186529030401048
bilstm_only,1201,V5,15378.0,,per_outer_fold,0.8251034364551071,0.8217385479380674,0.8114096301465457,0.7602157567832625,0.7849789029535865,0.8790324683770443,0.12358119009520185,0.3927170425435241,0.0460205857068715
cnn_only,1201,V5,15378.0,,per_outer_fold,0.825017527314123,0.8220509073886708,0.8084443675376363,0.7636482510624387,0.785408086072119,0.87804071484477,0.12449032401589444,0.3963464311944177,0.04791378699466423
cnn_only,42,V5,15378.0,,per_outer_fold,0.8243362394850489,0.8215970718419676,0.8060292850990526,0.7647924158221641,0.7848695798037407,0.8776006604389908,0.12558689301367443,0.3986982920403922,0.05255389859885827
cnn_bilstm,3407,V5,15378.0,,per_outer_fold,0.8241741217614305,0.822277251491015,0.8001016432322547,0.7719843085975809,0.7857915314865652,0.8797498563533395,0.12405091809201206,0.39455296677115465,0.05113427879961998
cnn_bilstm,1201,V5,15378.0,,per_outer_fold,0.8241486836041083,0.8215474713641084,0.804844528431541,0.7657731284733573,0.7848228494848815,0.8791363759531948,0.1237995120120114,0.39445925658232245,0.04855309236571359
bilstm_only,7319,V5,15378.0,,per_outer_fold,0.8228277738029814,0.8215374277086274,0.7945411922304085,0.7755802549852893,0.7849462365591398,0.8782701115798142,0.12466774191639142,0.39565228996862223,0.048142554652924996
bilstm_only,2026,V5,15378.0,,per_outer_fold,0.8227924093736838,0.8203303709550899,0.8022618231665525,0.7652827721477607,0.7833361218002343,0.8790648675194022,0.12334021219728881,0.3927429730349218,0.04726696917220333
