candidate_id,outer_fold,seed,seconds,status,best_seed_selection
B-RF0,0,2026,0.34172599999874365,PASS,False
B-RF0,0,3407,0.3178436000016518,PASS,False
B-RF0,1,2026,0.3419832000072347,PASS,False
B-RF0,1,3407,0.2862291999917943,PASS,False
B-RF0,2,2026,0.5512214999907883,PASS,False
B-RF0,2,3407,0.583115400004317,PASS,False
B-RF0,3,2026,0.3744889000081457,PASS,False
B-RF0,3,3407,0.3560672000021441,PASS,False
B-RF0,4,2026,0.3542543000075966,PASS,False
B-RF0,4,3407,0.3231707999948412,PASS,False
B-H1,0,2026,9.717790900002,PASS,False
B-H1,0,3407,7.410851399996318,PASS,False
B-H1,1,2026,6.65723060000164,PASS,False
B-H1,1,3407,4.512932799989358,PASS,False
B-H1,2,2026,5.927115500002401,PASS,False
B-H1,2,3407,6.9686103999993065,PASS,False
B-H1,3,2026,6.235008400006336,PASS,False
B-H1,3,3407,6.891269300002023,PASS,False
B-H1,4,2026,5.123019299993757,PASS,False
B-H1,4,3407,3.9850235999911092,PASS,False
