dataset,scenario,model_id,model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,pr_auc,roc_auc,brier,nll,ece,low_precision,low_recall,low_f1,confusion_matrix,per_class
student_por,S0_EARLY_NO_GRADE,logistic_regression,Logistic Regression,0.49614791987673346,0.5877530223894225,0.512083953023232,0.5877530223894225,0.5000004375668657,0.5015149195283014,0.5110094275514739,0.7009556685485617,0.6080393252034075,0.9805626893902326,0.11326277655016327,0.4632352941176471,0.63,0.5338983050847458,"[[63, 25, 12], [71, 161, 186], [2, 31, 98]]","{""High"": {""f1"": 0.45901639344262296, ""precision"": 0.3310810810810811, ""recall"": 0.7480916030534351, ""support"": 131}, ""Low"": {""f1"": 0.5338983050847458, ""precision"": 0.4632352941176471, ""recall"": 0.63, ""support"": 100}, ""Medium"": {""f1"": 0.5070866141732283, ""precision"": 0.7419354838709677, ""recall"": 0.38516746411483255, ""support"": 418}}"
student_por,S0_EARLY_NO_GRADE,random_forest,Random Forest,0.5469953775038521,0.5640813518876998,0.5080064700850819,0.5640813518876998,0.5180430397401874,0.5592978256242269,0.5117264946310399,0.7121881895349326,0.5412316134417081,0.8706611339627761,0.04470666496433836,0.4296875,0.55,0.4824561403508772,"[[55, 37, 8], [70, 219, 129], [3, 47, 81]]","{""High"": {""f1"": 0.46418338108882523, ""precision"": 0.37155963302752293, ""recall"": 0.6183206106870229, ""support"": 131}, ""Low"": {""f1"": 0.4824561403508772, ""precision"": 0.4296875, ""recall"": 0.55, ""support"": 100}, ""Medium"": {""f1"": 0.6074895977808599, ""precision"": 0.7227722772277227, ""recall"": 0.5239234449760766, ""support"": 418}}"
student_por,S0_EARLY_NO_GRADE,xgboost,XGBoost,0.613251155624037,0.43511048613901165,0.4995352892310476,0.43511048613901165,0.4497829347405517,0.5823150883035833,0.4851493893231263,0.674840528058739,0.5315196856794142,0.8965861193963183,0.12041170755256406,0.40350877192982454,0.23,0.2929936305732484,"[[23, 76, 1], [33, 341, 44], [1, 96, 34]]","{""High"": {""f1"": 0.3238095238095238, ""precision"": 0.43037974683544306, ""recall"": 0.2595419847328244, ""support"": 131}, ""Low"": {""f1"": 0.2929936305732484, ""precision"": 0.40350877192982454, ""recall"": 0.23, ""support"": 100}, ""Medium"": {""f1"": 0.7325456498388829, ""precision"": 0.6647173489278753, ""recall"": 0.8157894736842105, ""support"": 418}}"
student_por,S0_EARLY_NO_GRADE,mlp,MLP,0.6348228043143297,0.36929227997126746,0.4662014230979748,0.36929227997126746,0.3433129370629371,0.5376116564483283,0.48412834592429305,0.6769251574132872,0.490232749402063,0.8162227858222028,0.027749607671853128,0.5,0.14,0.21875,"[[14, 86, 0], [14, 395, 9], [0, 128, 3]]","{""High"": {""f1"": 0.04195804195804196, ""precision"": 0.25, ""recall"": 0.022900763358778626, ""support"": 131}, ""Low"": {""f1"": 0.21875, ""precision"": 0.5, ""recall"": 0.14, ""support"": 100}, ""Medium"": {""f1"": 0.7692307692307693, ""precision"": 0.6486042692939245, ""recall"": 0.9449760765550239, ""support"": 418}}"
student_por,S1_MID_G1_ONLY,logistic_regression,Logistic Regression,0.8012326656394453,0.7945074692282406,0.7492154942037669,0.7945074692282406,0.7687936197933505,0.8041125535229309,0.8286028665868191,0.9222650770655854,0.2914941439750284,0.4777483293191984,0.03691294989116198,0.6271186440677966,0.74,0.6788990825688074,"[[74, 26, 0], [44, 336, 38], [0, 21, 110]]","{""High"": {""f1"": 0.7885304659498208, ""precision"": 0.7432432432432432, ""recall"": 0.8396946564885496, ""support"": 131}, ""Low"": {""f1"": 0.6788990825688074, ""precision"": 0.6271186440677966, ""recall"": 0.74, ""support"": 100}, ""Medium"": {""f1"": 0.8389513108614233, ""precision"": 0.8772845953002611, ""recall"": 0.8038277511961722, ""support"": 418}}"
student_por,S1_MID_G1_ONLY,random_forest,Random Forest,0.8258859784283513,0.8123384102170763,0.7802913097216894,0.8123384102170763,0.7949393779652082,0.8275540083157821,0.8182676995846364,0.9200814319528735,0.27760059334727555,0.4559585670248598,0.049865542574861636,0.6909090909090909,0.76,0.7238095238095238,"[[76, 24, 0], [34, 350, 34], [0, 21, 110]]","{""High"": {""f1"": 0.8, ""precision"": 0.7638888888888888, ""recall"": 0.8396946564885496, ""support"": 131}, ""Low"": {""f1"": 0.7238095238095238, ""precision"": 0.6909090909090909, ""recall"": 0.76, ""support"": 100}, ""Medium"": {""f1"": 0.8610086100861009, ""precision"": 0.8860759493670886, ""recall"": 0.8373205741626795, ""support"": 418}}"
student_por,S1_MID_G1_ONLY,xgboost,XGBoost,0.8181818181818182,0.7723403581820616,0.7821620451709825,0.7723403581820616,0.7770799132581424,0.8174899699185062,0.823931376920718,0.9217082596770453,0.2640005368956798,0.4328738280343115,0.04177455427002324,0.7157894736842105,0.68,0.6974358974358974,"[[68, 32, 0], [27, 362, 29], [0, 30, 101]]","{""High"": {""f1"": 0.7739463601532567, ""precision"": 0.7769230769230769, ""recall"": 0.7709923664122137, ""support"": 131}, ""Low"": {""f1"": 0.6974358974358974, ""precision"": 0.7157894736842105, ""recall"": 0.68, ""support"": 100}, ""Medium"": {""f1"": 0.8598574821852731, ""precision"": 0.8537735849056604, ""recall"": 0.8660287081339713, ""support"": 418}}"
student_por,S1_MID_G1_ONLY,mlp,MLP,0.8012326656394453,0.723444123841874,0.7702475122604144,0.723444123841874,0.7439699644315102,0.7973362898877109,0.8280319390098141,0.9234835466637931,0.2659985055982865,0.4332799395107671,0.03326577640644204,0.6785714285714286,0.57,0.6195652173913043,"[[57, 43, 0], [27, 369, 22], [0, 37, 94]]","{""High"": {""f1"": 0.7611336032388664, ""precision"": 0.8103448275862069, ""recall"": 0.7175572519083969, ""support"": 131}, ""Low"": {""f1"": 0.6195652173913043, ""precision"": 0.6785714285714286, ""recall"": 0.57, ""support"": 100}, ""Medium"": {""f1"": 0.8512110726643599, ""precision"": 0.821826280623608, ""recall"": 0.8827751196172249, ""support"": 418}}"
student_por,S2_LATE_G1_G2,logistic_regression,Logistic Regression,0.864406779661017,0.8581418848996188,0.8217869887564572,0.8581418848996188,0.8378767571281749,0.8666098978390279,0.9147877597798483,0.95497863498779,0.19868440481998711,0.3373794085270979,0.03512090061680341,0.6779661016949152,0.8,0.7339449541284404,"[[80, 20, 0], [38, 362, 18], [0, 12, 119]]","{""High"": {""f1"": 0.8880597014925373, ""precision"": 0.8686131386861314, ""recall"": 0.9083969465648855, ""support"": 131}, ""Low"": {""f1"": 0.7339449541284404, ""precision"": 0.6779661016949152, ""recall"": 0.8, ""support"": 100}, ""Medium"": {""f1"": 0.8916256157635468, ""precision"": 0.9187817258883249, ""recall"": 0.8660287081339713, ""support"": 418}}"
student_por,S2_LATE_G1_G2,random_forest,Random Forest,0.8798151001540832,0.8612140691771065,0.8423954281061699,0.8612140691771065,0.8513805162482108,0.8803189952876815,0.9291325649949495,0.9674699535748719,0.16091088430415676,0.2758891378250843,0.03213454937355274,0.7307692307692307,0.76,0.7450980392156863,"[[76, 24, 0], [28, 373, 17], [0, 9, 122]]","{""High"": {""f1"": 0.9037037037037037, ""precision"": 0.8776978417266187, ""recall"": 0.9312977099236641, ""support"": 131}, ""Low"": {""f1"": 0.7450980392156863, ""precision"": 0.7307692307692307, ""recall"": 0.76, ""support"": 100}, ""Medium"": {""f1"": 0.9053398058252428, ""precision"": 0.9187192118226601, ""recall"": 0.8923444976076556, ""support"": 418}}"
