dataset,scenario,model_id,class_label,precision,recall,f1,support
student_mat,S0_EARLY_NO_GRADE,logistic_regression,Low,0.5,0.4230769230769231,0.4583333333333333,130
student_mat,S0_EARLY_NO_GRADE,logistic_regression,Medium,0.4927536231884058,0.3541666666666667,0.4121212121212121,192
student_mat,S0_EARLY_NO_GRADE,logistic_regression,High,0.2585034013605442,0.5205479452054794,0.34545454545454546,73
student_mat,S0_EARLY_NO_GRADE,decision_tree,Low,0.4701492537313433,0.4846153846153846,0.4772727272727273,130
student_mat,S0_EARLY_NO_GRADE,decision_tree,Medium,0.4948453608247423,0.5,0.49740932642487046,192
student_mat,S0_EARLY_NO_GRADE,decision_tree,High,0.2835820895522388,0.2602739726027397,0.2714285714285714,73
student_mat,S0_EARLY_NO_GRADE,random_forest,Low,0.5118110236220472,0.5,0.5058365758754864,130
student_mat,S0_EARLY_NO_GRADE,random_forest,Medium,0.5166666666666667,0.484375,0.5,192
student_mat,S0_EARLY_NO_GRADE,random_forest,High,0.3409090909090909,0.410958904109589,0.37267080745341613,73
student_mat,S0_EARLY_NO_GRADE,hist_gradient_boosting,Low,0.4418604651162791,0.43846153846153846,0.44015444015444016,130
student_mat,S0_EARLY_NO_GRADE,hist_gradient_boosting,Medium,0.5117370892018779,0.5677083333333334,0.5382716049382716,192
student_mat,S0_EARLY_NO_GRADE,hist_gradient_boosting,High,0.3584905660377358,0.2602739726027397,0.30158730158730157,73
student_mat,S0_EARLY_NO_GRADE,svm,Low,0.6301369863013698,0.35384615384615387,0.45320197044334976,130
student_mat,S0_EARLY_NO_GRADE,svm,Medium,0.5172413793103449,0.859375,0.6457925636007827,192
student_mat,S0_EARLY_NO_GRADE,svm,High,0.3333333333333333,0.0136986301369863,0.02631578947368421,73
student_mat,S0_EARLY_NO_GRADE,xgboost,Low,0.49107142857142855,0.4230769230769231,0.45454545454545453,130
student_mat,S0_EARLY_NO_GRADE,xgboost,Medium,0.5106382978723404,0.625,0.5620608899297423,192
student_mat,S0_EARLY_NO_GRADE,xgboost,High,0.3958333333333333,0.2602739726027397,0.3140495867768595,73
student_mat,S0_EARLY_NO_GRADE,mlp,Low,0.575,0.35384615384615387,0.4380952380952381,130
student_mat,S0_EARLY_NO_GRADE,mlp,Medium,0.5278688524590164,0.8385416666666666,0.647887323943662,192
student_mat,S0_EARLY_NO_GRADE,mlp,High,0.5,0.0684931506849315,0.12048192771084337,73
student_mat,S0_EARLY_NO_GRADE,cnn_only,Low,0.5405405405405406,0.46153846153846156,0.4979253112033195,130
student_mat,S0_EARLY_NO_GRADE,cnn_only,Medium,0.5217391304347826,0.3125,0.39087947882736157,192
student_mat,S0_EARLY_NO_GRADE,cnn_only,High,0.23076923076923078,0.5342465753424658,0.32231404958677684,73
student_mat,S0_EARLY_NO_GRADE,bilstm_only,Low,0.5109489051094891,0.5384615384615384,0.5243445692883895,130
student_mat,S0_EARLY_NO_GRADE,bilstm_only,Medium,0.463768115942029,0.16666666666666666,0.24521072796934865,192
student_mat,S0_EARLY_NO_GRADE,bilstm_only,High,0.23809523809523808,0.6164383561643836,0.3435114503816794,73
student_mat,S0_EARLY_NO_GRADE,cnn_bilstm,Low,0.5294117647058824,0.4153846153846154,0.46551724137931033,130
student_mat,S0_EARLY_NO_GRADE,cnn_bilstm,Medium,0.4966887417218543,0.390625,0.43731778425655976,192
student_mat,S0_EARLY_NO_GRADE,cnn_bilstm,High,0.2605633802816901,0.5068493150684932,0.34418604651162793,73
student_mat,S1_MID_G1_ONLY,logistic_regression,Low,0.7364341085271318,0.7307692307692307,0.7335907335907336,130
student_mat,S1_MID_G1_ONLY,logistic_regression,Medium,0.7305699481865285,0.734375,0.7324675324675325,192
student_mat,S1_MID_G1_ONLY,logistic_regression,High,0.7671232876712328,0.7671232876712328,0.7671232876712328,73
student_mat,S1_MID_G1_ONLY,decision_tree,Low,0.7580645161290323,0.7230769230769231,0.7401574803149606,130
student_mat,S1_MID_G1_ONLY,decision_tree,Medium,0.7227722772277227,0.7604166666666666,0.7411167512690355,192
student_mat,S1_MID_G1_ONLY,decision_tree,High,0.7681159420289855,0.726027397260274,0.7464788732394366,73
student_mat,S1_MID_G1_ONLY,random_forest,Low,0.684931506849315,0.7692307692307693,0.7246376811594203,130
student_mat,S1_MID_G1_ONLY,random_forest,Medium,0.7222222222222222,0.6770833333333334,0.6989247311827957,192
student_mat,S1_MID_G1_ONLY,random_forest,High,0.7681159420289855,0.726027397260274,0.7464788732394366,73
student_mat,S1_MID_G1_ONLY,hist_gradient_boosting,Low,0.7142857142857143,0.6538461538461539,0.6827309236947792,130
student_mat,S1_MID_G1_ONLY,hist_gradient_boosting,Medium,0.6666666666666666,0.7291666666666666,0.6965174129353234,192
student_mat,S1_MID_G1_ONLY,hist_gradient_boosting,High,0.7272727272727273,0.6575342465753424,0.6906474820143885,73
student_mat,S1_MID_G1_ONLY,svm,Low,0.7441860465116279,0.7384615384615385,0.7413127413127413,130
student_mat,S1_MID_G1_ONLY,svm,Medium,0.7371134020618557,0.7447916666666666,0.7409326424870466,192
student_mat,S1_MID_G1_ONLY,svm,High,0.7777777777777778,0.7671232876712328,0.7724137931034483,73
student_mat,S1_MID_G1_ONLY,xgboost,Low,0.6846153846153846,0.6846153846153846,0.6846153846153846,130
student_mat,S1_MID_G1_ONLY,xgboost,Medium,0.696969696969697,0.71875,0.7076923076923077,192
student_mat,S1_MID_G1_ONLY,xgboost,High,0.8059701492537313,0.7397260273972602,0.7714285714285715,73
student_mat,S1_MID_G1_ONLY,mlp,Low,0.734375,0.7230769230769231,0.7286821705426356,130
student_mat,S1_MID_G1_ONLY,mlp,Medium,0.725,0.7552083333333334,0.7397959183673469,192
student_mat,S1_MID_G1_ONLY,mlp,High,0.8059701492537313,0.7397260273972602,0.7714285714285715,73
student_mat,S1_MID_G1_ONLY,cnn_only,Low,0.6703910614525139,0.9230769230769231,0.7766990291262136,130
student_mat,S1_MID_G1_ONLY,cnn_only,Medium,0.8407079646017699,0.4947916666666667,0.6229508196721312,192
student_mat,S1_MID_G1_ONLY,cnn_only,High,0.6310679611650486,0.8904109589041096,0.7386363636363636,73
student_mat,S1_MID_G1_ONLY,bilstm_only,Low,0.644808743169399,0.9076923076923077,0.7539936102236422,130
student_mat,S1_MID_G1_ONLY,bilstm_only,Medium,0.8152173913043478,0.390625,0.528169014084507,192
student_mat,S1_MID_G1_ONLY,bilstm_only,High,0.5583333333333333,0.9178082191780822,0.694300518134715,73
student_mat,S1_MID_G1_ONLY,cnn_bilstm,Low,0.6685714285714286,0.9,0.7672131147540984,130
student_mat,S1_MID_G1_ONLY,cnn_bilstm,Medium,0.819672131147541,0.5208333333333334,0.6369426751592356,192
student_mat,S1_MID_G1_ONLY,cnn_bilstm,High,0.6530612244897959,0.8767123287671232,0.7485380116959064,73
student_mat,S2_LATE_G1_G2,logistic_regression,Low,0.8604651162790697,0.8538461538461538,0.8571428571428571,130
