dataset,scenario,model_id,outer_fold,runtime_seconds,study_total_seconds
student_mat,S0_EARLY_NO_GRADE,logistic_regression,0,0.6636900000739843,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,random_forest,0,11.191183599992655,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,xgboost,0,3.649758199928328,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,mlp,0,3.0211905000032857,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,logistic_regression,1,0.6343098999932408,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,random_forest,1,10.522221900057048,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,xgboost,1,3.2345828000688925,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,mlp,1,3.622510200017132,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,logistic_regression,2,0.6426841999636963,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,random_forest,2,10.35251740005333,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,xgboost,2,3.3710892000235617,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,mlp,2,3.0266972999088466,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,logistic_regression,3,0.6905337999342009,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,random_forest,3,10.407825300004331,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,xgboost,3,3.386337199946865,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,mlp,3,4.00551089993678,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,logistic_regression,4,0.6198648000136018,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,random_forest,4,10.257283800048754,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,xgboost,4,3.3619035000447184,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,mlp,4,3.070003099972382,1169.5611943999538
student_mat,S1_MID_G1_ONLY,logistic_regression,0,0.6542515999171883,1169.5611943999538
student_mat,S1_MID_G1_ONLY,random_forest,0,10.380884299986064,1169.5611943999538
student_mat,S1_MID_G1_ONLY,xgboost,0,3.4390664999373257,1169.5611943999538
student_mat,S1_MID_G1_ONLY,mlp,0,3.770679899957031,1169.5611943999538
student_mat,S1_MID_G1_ONLY,logistic_regression,1,0.761815799982287,1169.5611943999538
student_mat,S1_MID_G1_ONLY,random_forest,1,10.565059300046414,1169.5611943999538
student_mat,S1_MID_G1_ONLY,xgboost,1,3.1700223999796435,1169.5611943999538
