dataset,scenario,model_id,model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,pr_auc,roc_auc,brier,nll,ece,low_precision,low_recall,low_f1,confusion_matrix,per_class
student_mat,S0_EARLY_NO_GRADE,logistic_regression,Logistic Regression,0.40759493670886077,0.4325971783163564,0.41708567484965003,0.4325971783163564,0.4053030303030303,0.41500958956655154,0.45012379174471806,0.6425017535570926,0.6281667205572627,1.0241108759797242,0.11210918596898634,0.5,0.4230769230769231,0.4583333333333333,"[[55, 43, 32], [47, 68, 77], [8, 27, 38]]","{""High"": {""f1"": 0.34545454545454546, ""precision"": 0.2585034013605442, ""recall"": 0.5205479452054794, ""support"": 73}, ""Low"": {""f1"": 0.4583333333333333, ""precision"": 0.5, ""recall"": 0.4230769230769231, ""support"": 130}, ""Medium"": {""f1"": 0.4121212121212121, ""precision"": 0.4927536231884058, ""recall"": 0.3541666666666667, ""support"": 192}}"
student_mat,S0_EARLY_NO_GRADE,random_forest,Random Forest,0.4759493670886076,0.46511130136986295,0.45646226039926824,0.46511130136986295,0.45950246110963416,0.47838917419724714,0.4513483612634716,0.6422969493981919,0.6139586405130066,0.999077801250935,0.07723312774596852,0.5118110236220472,0.5,0.5058365758754864,"[[65, 50, 15], [56, 93, 43], [6, 37, 30]]","{""High"": {""f1"": 0.37267080745341613, ""precision"": 0.3409090909090909, ""recall"": 0.410958904109589, ""support"": 73}, ""Low"": {""f1"": 0.5058365758754864, ""precision"": 0.5118110236220472, ""recall"": 0.5, ""support"": 130}, ""Medium"": {""f1"": 0.5, ""precision"": 0.5166666666666667, ""recall"": 0.484375, ""support"": 192}}"
student_mat,S0_EARLY_NO_GRADE,xgboost,XGBoost,0.4911392405063291,0.43611696522655424,0.46584768659236736,0.43611696522655424,0.44355197708401883,0.480841062764887,0.45291256105320493,0.6317915162533644,0.661474429050531,1.13696574286726,0.19134455854586296,0.49107142857142855,0.4230769230769231,0.45454545454545453,"[[55, 70, 5], [48, 120, 24], [9, 45, 19]]","{""High"": {""f1"": 0.3140495867768595, ""precision"": 0.3958333333333333, ""recall"": 0.2602739726027397, ""support"": 73}, ""Low"": {""f1"": 0.45454545454545453, ""precision"": 0.49107142857142855, ""recall"": 0.4230769230769231, ""support"": 130}, ""Medium"": {""f1"": 0.5620608899297423, ""precision"": 0.5106382978723404, ""recall"": 0.625, ""support"": 192}}"
student_mat,S0_EARLY_NO_GRADE,mlp,MLP,0.5367088607594936,0.4202936570659173,0.5342896174863387,0.4202936570659173,0.40215482991658114,0.48137196929735604,0.45642078448873163,0.6313266159166914,0.594036036223381,0.9825484011541563,0.07989125773086408,0.575,0.35384615384615387,0.4380952380952381,"[[46, 81, 3], [29, 161, 2], [5, 63, 5]]","{""High"": {""f1"": 0.12048192771084337, ""precision"": 0.5, ""recall"": 0.0684931506849315, ""support"": 73}, ""Low"": {""f1"": 0.4380952380952381, ""precision"": 0.575, ""recall"": 0.35384615384615387, ""support"": 130}, ""Medium"": {""f1"": 0.647887323943662, ""precision"": 0.5278688524590164, ""recall"": 0.8385416666666666, ""support"": 192}}"
student_mat,S1_MID_G1_ONLY,logistic_regression,Logistic Regression,0.739240506329114,0.7440891728134879,0.7447091147949644,0.7440891728134879,0.7443938512431663,0.7392419281026875,0.7975688073848212,0.8876736718777778,0.36213819076519593,0.57103525636899,0.05289523125136189,0.7364341085271318,0.7307692307692307,0.7335907335907336,"[[95, 35, 0], [34, 141, 17], [0, 17, 56]]","{""High"": {""f1"": 0.7671232876712328, ""precision"": 0.7671232876712328, ""recall"": 0.7671232876712328, ""support"": 73}, ""Low"": {""f1"": 0.7335907335907336, ""precision"": 0.7364341085271318, ""recall"": 0.7307692307692307, ""support"": 130}, ""Medium"": {""f1"": 0.7324675324675325, ""precision"": 0.7305699481865285, ""recall"": 0.734375, ""support"": 192}}"
student_mat,S1_MID_G1_ONLY,random_forest,Random Forest,0.7164556962025317,0.7241138332747923,0.7250898903668409,0.7241138332747923,0.7233470951938842,0.7161757080615196,0.8218228731434297,0.891978611031725,0.35359909989199856,0.5475721257309923,0.05142576197018636,0.684931506849315,0.7692307692307693,0.7246376811594203,"[[100, 30, 0], [46, 130, 16], [0, 20, 53]]","{""High"": {""f1"": 0.7464788732394366, ""precision"": 0.7681159420289855, ""recall"": 0.726027397260274, ""support"": 73}, ""Low"": {""f1"": 0.7246376811594203, ""precision"": 0.684931506849315, ""recall"": 0.7692307692307693, ""support"": 130}, ""Medium"": {""f1"": 0.6989247311827957, ""precision"": 0.7222222222222222, ""recall"": 0.6770833333333334, ""support"": 192}}"
student_mat,S1_MID_G1_ONLY,xgboost,XGBoost,0.7113924050632912,0.714363804004215,0.729185076946271,0.714363804004215,0.7212454212454212,0.7118764779524274,0.815140417658255,0.8867710067418119,0.3645721462161764,0.568134583433212,0.08853210741562369,0.6846153846153846,0.6846153846153846,0.6846153846153846,"[[89, 41, 0], [41, 138, 13], [0, 19, 54]]","{""High"": {""f1"": 0.7714285714285715, ""precision"": 0.8059701492537313, ""recall"": 0.7397260273972602, ""support"": 73}, ""Low"": {""f1"": 0.6846153846153846, ""precision"": 0.6846153846153846, ""recall"": 0.6846153846153846, ""support"": 130}, ""Medium"": {""f1"": 0.7076923076923077, ""precision"": 0.696969696969697, ""recall"": 0.71875, ""support"": 192}}"
student_mat,S1_MID_G1_ONLY,mlp,MLP,0.7417721518987341,0.7393370946025056,0.7551150497512439,0.7393370946025056,0.7466355534461847,0.7419842638262253,0.8251671439408753,0.8975929089067725,0.3532112063901903,0.5717452609913748,0.07266508021536296,0.734375,0.7230769230769231,0.7286821705426356,"[[94, 36, 0], [34, 145, 13], [0, 19, 54]]","{""High"": {""f1"": 0.7714285714285715, ""precision"": 0.8059701492537313, ""recall"": 0.7397260273972602, ""support"": 73}, ""Low"": {""f1"": 0.7286821705426356, ""precision"": 0.734375, ""recall"": 0.7230769230769231, ""support"": 130}, ""Medium"": {""f1"": 0.7397959183673469, ""precision"": 0.725, ""recall"": 0.7552083333333334, ""support"": 192}}"
student_mat,S2_LATE_G1_G2,logistic_regression,Logistic Regression,0.8860759493670886,0.8976528655895094,0.8928717345130348,0.8976528655895094,0.8951984435013155,0.8858832373324886,0.9611584830027913,0.9735897861926355,0.17068974136784806,0.2728338505239576,0.03685335173668429,0.8604651162790697,0.8538461538461538,0.8571428571428571,"[[111, 19, 0], [18, 169, 5], [0, 3, 70]]","{""High"": {""f1"": 0.9459459459459459, ""precision"": 0.9333333333333333, ""recall"": 0.958904109589041, ""support"": 73}, ""Low"": {""f1"": 0.8571428571428571, ""precision"": 0.8604651162790697, ""recall"": 0.8538461538461538, ""support"": 130}, ""Medium"": {""f1"": 0.8825065274151436, ""precision"": 0.8848167539267016, ""recall"": 0.8802083333333334, ""support"": 192}}"
student_mat,S2_LATE_G1_G2,random_forest,Random Forest,0.8911392405063291,0.8939446493384849,0.9072807704512558,0.8939446493384849,0.8998331533550239,0.8917246510290221,0.9624649391203214,0.9760861720664372,0.15940238963233186,0.26719442654592246,0.03210406262121752,0.8467153284671532,0.8923076923076924,0.8689138576779026,"[[116, 14, 0], [21, 170, 1], [0, 7, 66]]","{""High"": {""f1"": 0.9428571428571428, ""precision"": 0.9850746268656716, ""recall"": 0.9041095890410958, ""support"": 73}, ""Low"": {""f1"": 0.8689138576779026, ""precision"": 0.8467153284671532, ""recall"": 0.8923076923076924, ""support"": 130}, ""Medium"": {""f1"": 0.8877284595300261, ""precision"": 0.8900523560209425, ""recall"": 0.8854166666666666, ""support"": 192}}"
