dataset,scenario,model_id,outer_fold,trial,state,params,inner_fold_macro_f1,inner_objective,threshold,outer_rows_used_for_selection
student_por,S0_EARLY_NO_GRADE,mlp,0,1,COMPLETE,"{""alpha"": 0.001, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}","[0.2711864406779661, 0.24354243542435425, 0.37453190084769034]",0.2964202589833369,,False
student_por,S0_EARLY_NO_GRADE,mlp,0,2,COMPLETE,"{""alpha"": 0.01, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}","[0.2711864406779661, 0.24354243542435425, 0.37453190084769034]",0.2964202589833369,,False
student_por,S0_EARLY_NO_GRADE,mlp,0,3,COMPLETE,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001}","[0.4632264299702434, 0.512806889375927, 0.404059829059829]",0.4600310494686664,,False
student_por,S0_EARLY_NO_GRADE,mlp,0,4,COMPLETE,"{""alpha"": 0.001, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001}","[0.4417457208982935, 0.512806889375927, 0.4128682170542635]",0.455806942442828,,False
student_por,S0_EARLY_NO_GRADE,mlp,0,5,COMPLETE,"{""alpha"": 0.01, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001}","[0.4620843471208435, 0.512806889375927, 0.404059829059829]",0.45965035518553315,,False
student_por,S0_EARLY_NO_GRADE,mlp,0,6,COMPLETE,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}","[0.3211822660098522, 0.4398801692454986, 0.462438308656796]",0.40783358130404895,,False
student_por,S0_EARLY_NO_GRADE,mlp,0,7,COMPLETE,"{""alpha"": 0.001, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}","[0.3211822660098522, 0.4398801692454986, 0.4473193473193473]",0.40279392752489934,,False
student_por,S0_EARLY_NO_GRADE,mlp,0,8,COMPLETE,"{""alpha"": 0.01, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}","[0.3211822660098522, 0.4146228381521582, 0.47725785147936645]",0.4043543185471256,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,1,0,COMPLETE,"{""C"": 0.1, ""class_weight"": null}","[0.31281788701143537, 0.3635067076703659, 0.29483726150392814]",0.32372061872857644,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,1,1,COMPLETE,"{""C"": 0.1, ""class_weight"": ""balanced""}","[0.4084134023158414, 0.4739278752436647, 0.4199935866602533]",0.4341116214065865,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,1,2,COMPLETE,"{""C"": 1.0, ""class_weight"": null}","[0.30676163528149086, 0.3635067076703659, 0.35691552024830253]",0.34239462106671975,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,1,3,COMPLETE,"{""C"": 1.0, ""class_weight"": ""balanced""}","[0.39048697912653035, 0.4519883310302472, 0.4010242064245066]",0.414499838860428,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,1,4,COMPLETE,"{""C"": 10.0, ""class_weight"": null}","[0.3394354489245, 0.3635067076703659, 0.367959108662665]",0.35696708841917696,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,1,5,COMPLETE,"{""C"": 10.0, ""class_weight"": ""balanced""}","[0.4053219248275563, 0.4452874610769348, 0.38974778168722085]",0.4134523891972373,,False
student_por,S0_EARLY_NO_GRADE,random_forest,1,0,COMPLETE,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.3815050762579795, 0.4449759579252069, 0.3712221872297456]",0.39923440713764397,,False
student_por,S0_EARLY_NO_GRADE,random_forest,1,1,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.3815276510928685, 0.44497953323558165, 0.37557680631451124]",0.4006946635476538,,False
student_por,S0_EARLY_NO_GRADE,random_forest,1,2,COMPLETE,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.30375102375102375, 0.37598845598845604, 0.2426470588235294]",0.3074621795210031,,False
student_por,S0_EARLY_NO_GRADE,random_forest,1,3,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.5230534421000339, 0.4880499525834052, 0.41233326395507214]",0.47447888621283707,,False
student_por,S0_EARLY_NO_GRADE,random_forest,1,4,COMPLETE,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.3208794239758442, 0.40092109836635387, 0.32358452075779615]",0.3484616810333314,,False
student_por,S0_EARLY_NO_GRADE,random_forest,1,5,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.4117474519663302, 0.5210979187587376, 0.37292850846752823]",0.4352579597308653,,False
student_por,S0_EARLY_NO_GRADE,random_forest,1,6,COMPLETE,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.2994572337638031, 0.3595451867562154, 0.28263673890608876]",0.3138797198087024,,False
