domain,model,stage,pr_auc_mean,accuracy_mean,risk_precision_mean,risk_recall_mean,risk_f1_mean,generalization_gap_mean,pr_auc_std,accuracy_std,risk_precision_std,risk_recall_std,risk_f1_std,generalization_gap_std
oulad,DT,20pct,0.7010751399909694,0.6488656365918984,0.5676594207709671,0.7506263407686985,0.645238680000396,0.0913419886778117,0.005854932796314262,0.01757649634914066,0.025568078021049278,0.036229309876842315,0.003983878677596146,0.009337810714492255
oulad,DT,35pct,0.7543160475090741,0.6729791366668643,0.5652487297388464,0.7988142349233398,0.662006349401921,0.07636975872588231,0.008670525741408015,0.0013703826339533307,0.007562989605842362,0.008068574007001315,0.006581043748594598,0.01470573254689551
oulad,DT,50pct,0.7986328886233747,0.760065788122161,0.6762025636917698,0.7204371162212913,0.6925394935453848,0.07138727181562807,0.0061909086528523566,0.013458806199888566,0.05808320333243249,0.06968368599187152,0.011452898631136408,0.009179518102844137
oulad,DT,75pct,0.8489420595128221,0.8534374811490301,0.8490614647012189,0.6939264316937361,0.7616448049288066,0.06386815519513298,0.01068950165914481,0.004789413841604949,0.05220740027772313,0.03486844494063045,0.008006939269664937,0.012444971791830605
oulad,DT,FINAL-100,0.9636308283127425,0.9248926871667673,0.9847141324012172,0.8717523672188382,0.9247848595111038,0.006871128208532652,0.001660712106826365,0.003221810903129771,0.002853911898693108,0.0053473242055625606,0.002879541041427395,0.0012178737430644736
oulad,LR,20pct,0.7632524071495168,0.6938457017424731,0.6082625024273223,0.7877371219775542,0.686321799585937,0.008925678533067213,0.0039373111375037816,0.004706434498915228,0.006049552111163924,0.021440586465245902,0.008228574121647859,0.008044016892487092
oulad,LR,35pct,0.7985630723192535,0.7502434755814744,0.6798881170642829,0.7239658257211219,0.6991478246652418,0.01126520376080257,0.007603101876131698,0.014272718459972793,0.04215693069284615,0.03994825550197931,0.009559723341790276,0.013350151643886433
oulad,LR,50pct,0.8396618640494251,0.7944236541334451,0.7283134909430565,0.7313982672025987,0.7276472045516277,0.010081541750103526,0.0074100391447741686,0.005122960427494637,0.03852251287223949,0.04797686191337467,0.011427318945096847,0.012361270687887787
oulad,LR,75pct,0.8825067432830975,0.8536723032478639,0.8206679801060204,0.7294183849508835,0.7707110400739631,0.008341964353733874,0.0074735047979390306,0.0019106792065582171,0.03836369761631468,0.03935521307461486,0.009931731409720904,0.011618094382592037
oulad,LR,FINAL-100,0.9790963865084953,0.9260422127199711,0.9690653840476043,0.8888365351047888,0.9271623419530778,0.0018339466980074048,0.0006352970646003854,0.0026578168996651205,0.006544796138793432,0.009039789764181298,0.0025022799402592884,0.0010209915911883563
oulad,MLP,20pct,0.754637542628608,0.6762617285532189,0.5910628218744686,0.7885157578927063,0.674606098080342,0.06517137786526356,0.005809011034562593,0.018404762463359987,0.02766529990315956,0.031010142016134903,0.008678389870354056,0.028260626310472495
oulad,MLP,35pct,0.7944458766669517,0.7422591775252338,0.6687042459632095,0.7176543079454152,0.6906374654462664,0.04617165503679986,0.004908757764986805,0.013650102364843123,0.03338311790605104,0.039852112827140074,0.005357959272461854,0.023625410567562437
oulad,MLP,50pct,0.8345542993104211,0.7832804286318668,0.7010178034571426,0.7464801737999074,0.7216223116689072,0.055004178782719876,0.008392579863038284,0.01127323128356638,0.03696296314374971,0.03347706020524332,0.01034780934198329,0.025917835080760225
oulad,MLP,75pct,0.8773823470121034,0.8538456212373547,0.8363853564271543,0.712357741806954,0.7663275310366142,0.05692041210425988,0.011783910642411464,0.0033253116681804507,0.050759050396503136,0.05502690899810877,0.015125055283863606,0.035614470262709905
oulad,MLP,FINAL-100,0.9767519644582792,0.9184366703539438,0.9618675362350592,0.8810561359337857,0.9196427021463547,0.011961125639911387,0.000978220427395166,0.003884423032804414,0.0096701225997533,0.0056599491021377705,0.0031935852607153804,0.0029322799453081238
oulad,RF,20pct,0.7503731355232084,0.6763819414340402,0.593888311884606,0.7696067230640015,0.6690412966441177,0.24773357206236823,0.004566059782033594,0.014307356253306201,0.026307161587122818,0.04253886443980502,0.009401216486081443,0.004355364328072048
oulad,RF,35pct,0.7938002548080072,0.7333869533409725,0.6518474472547928,0.7303890237733827,0.687141728852259,0.2041241281907898,0.0040611330904302845,0.013789555424439022,0.03384458234526569,0.04062031771279176,0.005190812947818605,0.004391775425180841
oulad,RF,50pct,0.8412551942143949,0.784293200521263,0.7144979371558992,0.7281448486591936,0.7174051360979985,0.1574393542155282,0.0055893336557235615,0.016351701636754593,0.05242293832812361,0.05993777202214301,0.007842994228409454,0.0054098490806455905
oulad,RF,75pct,0.8850489033215876,0.864348355888266,0.8776870601370129,0.7005078452883743,0.776640335122054,0.11365949304947293,0.006918231473526258,0.00479747019583279,0.050262710411456045,0.04686573522292703,0.015444618068882796,0.006934213055629058
oulad,RF,FINAL-100,0.9804369534908148,0.9297763881314854,0.9755710218065943,0.8898005596652206,0.9306554324685301,0.019456234071296312,0.0004096227635545441,0.0028608865303831905,0.00934291765655225,0.007316514477777545,0.002734445994090581,0.00041204447064998516
oulad,XGB,20pct,0.765161014938267,0.6918024169320363,0.6115533688499536,0.7700246277677735,0.6798578386194932,0.11824331397882187,0.0040890544711134486,0.015097436888618858,0.030211520141520086,0.048052577951712,0.007361301858389008,0.0065762162930340365
oulad,XGB,35pct,0.8066005778063745,0.7479024708457678,0.6781167813410911,0.7167987341559195,0.6948289356621437,0.10129114779964418,0.00607030562998656,0.00991001510698373,0.03570892288519005,0.04662087284912792,0.008207061898425645,0.008590701432968788
