dataset,outer_fold,information_level,model,seed,hpo_on_outer,threshold_from,pr_auc,roc_auc,f1,precision,recall,specificity,accuracy,balanced_accuracy,brier,ece,h2_mean,h2_p50,threshold,tp,fp,tn,fn,n,prevalence
uci,0,S0,Hybrid,42,False,STOP,0.500014381004621,0.7430563693894292,0.45714285714285713,0.46153846153846156,0.4528301886792453,0.8260869565217391,0.7336448598130841,0.6394585726004922,0.20218301149611084,0.17376739148781675,0.7510428823200782,0.7783174254953877,0.65,24,28,133,29,214,0.24766355140186916
uci,0,S0,LR,42,False,STOP,0.48657340163550783,0.7587601078167115,0.23880597014925373,0.5714285714285714,0.1509433962264151,0.9627329192546584,0.7616822429906542,0.5568381577405368,0.19523617942704413,0.16543921137176384,0.7403125649405183,0.8104277733195473,0.86,8,6,155,45,214,0.24766355140186916
uci,0,S0,RF,42,False,STOP,0.5410544364409778,0.8071604359545295,0.5428571428571428,0.4367816091954023,0.7169811320754716,0.6956521739130435,0.7009345794392523,0.7063166529942575,0.1476699071980035,0.07932310590572725,0.7425018235554308,0.8170341185741687,0.31,38,49,112,15,214,0.24766355140186916
uci,0,S1,Hybrid,42,False,STOP,0.7917356449566727,0.9295675612328607,0.7716535433070866,0.6621621621621622,0.9245283018867925,0.84472049689441,0.8644859813084113,0.8846243993906012,0.1061662673507423,0.08776786581778498,0.2841611669117824,0.14145574003536598,0.3,49,25,136,4,214,0.24766355140186916
uci,0,S1,LR,42,False,STOP,0.7103393978975872,0.911402789171452,0.6890756302521008,0.6212121212121212,0.7735849056603774,0.84472049689441,0.8271028037383178,0.8091527012773937,0.12060329846936838,0.12927264923221105,0.5618530692752234,0.5520911679156139,0.56,41,25,136,12,214,0.24766355140186916
uci,0,S1,RF,42,False,STOP,0.7441207791410334,0.929215984999414,0.7184466019417476,0.74,0.6981132075471698,0.9192546583850931,0.8644859813084113,0.8086839329661315,0.09391913851175934,0.07332297622239234,0.5426529592989104,0.5276821300848819,0.56,37,13,148,16,214,0.24766355140186916
uci,0,S2,Hybrid,42,False,STOP,0.9141596393642744,0.9728114379467948,0.8037383177570093,0.7962962962962963,0.8113207547169812,0.9316770186335404,0.9018691588785047,0.8714988866752608,0.06364098050284324,0.07533218297089023,0.23559164267052785,0.10723860390305137,0.8,43,11,150,10,214,0.24766355140186916
uci,0,S2,LR,42,False,STOP,0.8731958314427597,0.9547638579632016,0.7920792079207921,0.8333333333333334,0.7547169811320755,0.9503105590062112,0.9018691588785047,0.8525137700691434,0.091940671726417,0.10898564753414208,0.553363991820862,0.5321530305442279,0.64,40,8,153,13,214,0.24766355140186916
uci,0,S2,RF,42,False,STOP,0.9408479642762038,0.9807804992382515,0.8316831683168316,0.875,0.7924528301886793,0.9627329192546584,0.9205607476635514,0.8775928747216688,0.05558031367874574,0.07748455877381022,0.46849534630246664,0.40126922069771065,0.62,42,6,155,11,214,0.24766355140186916
uci,1,S0,Hybrid,42,False,STOP,0.5013725110893084,0.7591645353793691,0.49557522123893805,0.417910447761194,0.6086956521739131,0.7450980392156863,0.7135678391959799,0.6768968456947997,0.21283461549980082,0.25069282301257007,0.8723936222322967,0.9140450025164649,0.57,28,39,114,18,199,0.23115577889447236
uci,1,S0,LR,42,False,STOP,0.5345179679786202,0.7699630576868429,0.5070422535211268,0.375,0.782608695652174,0.6078431372549019,0.6482412060301508,0.6952259164535379,0.19060056738183526,0.1847932560360012,0.7433769547101032,0.793936909299489,0.38,36,60,93,10,199,0.23115577889447236
uci,1,S0,RF,42,False,STOP,0.4950645159244878,0.8115942028985508,0.5,0.48,0.5217391304347826,0.8300653594771242,0.7587939698492462,0.6759022449559534,0.14396159810457185,0.08018502669792678,0.7464818122953879,0.8213909032737288,0.4,24,26,127,22,199,0.23115577889447236
uci,1,S1,Hybrid,42,False,STOP,0.8558904721961068,0.9468599033816425,0.7572815533980582,0.6842105263157895,0.8478260869565217,0.8823529411764706,0.8743718592964824,0.8650895140664961,0.09072177311125766,0.07234391649651468,0.33855375174489183,0.23133609145469147,0.54,39,18,135,7,199,0.23115577889447236
uci,1,S1,LR,42,False,STOP,0.7809052281439335,0.9241261722080136,0.6929133858267716,0.5432098765432098,0.9565217391304348,0.7581699346405228,0.8040201005025126,0.8573458368854788,0.11419885656335084,0.13023864725621034,0.5680968763145284,0.5966693443875691,0.36,44,37,116,2,199,0.23115577889447236
uci,1,S1,RF,42,False,STOP,0.7902790787431406,0.9478545041204889,0.7652173913043478,0.6376811594202898,0.9565217391304348,0.8366013071895425,0.864321608040201,0.8965615231599886,0.08438532442071828,0.09081755010364342,0.5605971056170376,0.5286027110100678,0.3,44,25,128,2,199,0.23115577889447236
uci,1,S2,Hybrid,42,False,STOP,0.9236537218072093,0.971724921852799,0.7722772277227723,0.7090909090909091,0.8478260869565217,0.8954248366013072,0.8844221105527639,0.8716254617789145,0.06415990699045958,0.07888771038521174,0.3068873100106827,0.17225861675425297,0.33,39,16,137,7,199,0.23115577889447236
uci,1,S2,LR,42,False,STOP,0.883349313930252,0.9559533958510941,0.7818181818181819,0.671875,0.9347826086956522,0.8627450980392157,0.8793969849246231,0.898763853367434,0.08808969924031188,0.11681383976744414,0.5327337038752221,0.5460179951090831,0.5,43,21,132,3,199,0.23115577889447236
uci,1,S2,RF,42,False,STOP,0.9150783402669581,0.9660414890593918,0.8131868131868132,0.8222222222222222,0.8043478260869565,0.9477124183006536,0.914572864321608,0.876030122193805,0.06729973341873605,0.06843728331109536,0.47506772046482554,0.38446073751077353,0.5,37,8,145,9,199,0.23115577889447236
uci,2,S0,Hybrid,42,False,STOP,0.5430129422812575,0.8039243365330322,0.5161290322580645,0.4,0.7272727272727273,0.7018633540372671,0.7073170731707317,0.7145680406549972,0.17979614392925747,0.21358554355981874,0.8288304438363092,0.8781937783123124,0.44,32,48,113,12,205,0.2146341463414634
uci,2,S0,LR,42,False,STOP,0.5775561498959135,0.8130999435347261,0.5263157894736842,0.39325842696629215,0.7954545454545454,0.6645962732919255,0.6926829268292682,0.7300254093732355,0.17732761661987936,0.21669178005398776,0.7411608159296953,0.8377583133107047,0.42,35,54,107,9,205,0.2146341463414634
uci,2,S0,RF,42,False,STOP,0.594899107572763,0.8283455674760023,0.5625,0.42857142857142855,0.8181818181818182,0.7018633540372671,0.7268292682926829,0.7600225861095427,0.13257489945248463,0.08954421409928216,0.7470045863778144,0.7865077213371701,0.3,36,48,113,8,205,0.2146341463414634
uci,2,S1,Hybrid,42,False,STOP,0.8152920937879283,0.9356295878035008,0.72,0.6428571428571429,0.8181818181818182,0.8757763975155279,0.8634146341463415,0.846979107848673,0.10856236427739076,0.1010016436075292,0.31489092628568954,0.18957362850953285,0.55,36,20,141,8,205,0.2146341463414634
uci,2,S1,LR,42,False,STOP,0.8186666792137848,0.9309712027103332,0.6896551724137931,0.5555555555555556,0.9090909090909091,0.8012422360248447,0.824390243902439,0.8551665725578769,0.11164243298890288,0.15145000180558915,0.5424051452866551,0.5428184327603329,0.42,40,32,129,4,205,0.2146341463414634
uci,2,S1,RF,42,False,STOP,0.7951505343947823,0.932523997741389,0.7222222222222222,0.609375,0.8863636363636364,0.84472049689441,0.8536585365853658,0.8655420666290232,0.0882667667291492,0.07715791659770396,0.5301241015351689,0.5436640389098332,0.34,39,25,136,5,205,0.2146341463414634
uci,2,S2,Hybrid,42,False,STOP,0.9333661078049938,0.9724731789949181,0.8602150537634409,0.8163265306122449,0.9090909090909091,0.9440993788819876,0.9365853658536586,0.9265951439864484,0.06794572820501632,0.08492774392773464,0.2806710044773563,0.15894722204150258,0.78,40,9,152,4,205,0.2146341463414634
uci,2,S2,LR,42,False,STOP,0.909595228401187,0.9608977978543196,0.8695652173913043,0.8333333333333334,0.9090909090909091,0.9503105590062112,0.9414634146341463,0.9297007340485601,0.08625448540359974,0.1322622350666945,0.5250304943096601,0.5029058165265656,0.63,40,8,153,4,205,0.2146341463414634
uci,2,S2,RF,42,False,STOP,0.9455500471688912,0.9768492377188029,0.8316831683168316,0.7368421052631579,0.9545454545454546,0.906832298136646,0.9170731707317074,0.9306888763410504,0.05531744186473382,0.10077365790493785,0.4784832144813367,0.4080401003150024,0.39,42,15,146,2,205,0.2146341463414634
uci,3,S0,Hybrid,42,False,STOP,0.40588495317089684,0.7319601328903654,0.45901639344262296,0.35443037974683544,0.6511627906976745,0.7085714285714285,0.6972477064220184,0.6798671096345514,0.20471669627627348,0.22292435056435955,0.7863000331786831,0.8204097629229625,0.5,28,51,124,15,218,0.19724770642201836
uci,3,S0,LR,42,False,STOP,0.4245447765131146,0.746578073089701,0.42528735632183906,0.2824427480916031,0.8604651162790697,0.46285714285714286,0.5412844036697247,0.6616611295681063,0.19183011072053507,0.21273594337660787,0.7100247039500687,0.8025908160565647,0.26,37,94,81,6,218,0.19724770642201836
uci,3,S0,RF,42,False,STOP,0.39660206375498314,0.7424584717607975,0.4626865671641791,0.34065934065934067,0.7209302325581395,0.6571428571428571,0.6697247706422018,0.6890365448504983,0.14730894967514627,0.08328535566704537,0.7391830589322944,0.839760663361822,0.3,31,60,115,12,218,0.19724770642201836
uci,3,S1,Hybrid,42,False,STOP,0.8005683596769287,0.9403322259136213,0.7096774193548387,0.66,0.7674418604651163,0.9028571428571428,0.8761467889908257,0.8351495016611296,0.10270785640398773,0.10668956187613514,0.3211437102876297,0.16347355712332168,0.67,33,17,158,10,218,0.19724770642201836
uci,3,S1,LR,42,False,STOP,0.6969467939018138,0.9095016611295681,0.6015037593984962,0.4444444444444444,0.9302325581395349,0.7142857142857143,0.7568807339449541,0.8222591362126246,0.11430526409296006,0.1280470436546789,0.5399329951249418,0.5517734277472168,0.31,40,50,125,3,218,0.19724770642201836
uci,3,S1,RF,42,False,STOP,0.7224855496671655,0.9323588039867109,0.7083333333333334,0.6415094339622641,0.7906976744186046,0.8914285714285715,0.8715596330275229,0.8410631229235881,0.08786019327364196,0.07741045992642025,0.561581766656708,0.5579094319100083,0.45,34,19,156,9,218,0.19724770642201836
uci,3,S2,Hybrid,42,False,STOP,0.8929897687130381,0.9711627906976744,0.7727272727272727,0.7555555555555555,0.7906976744186046,0.9371428571428572,0.908256880733945,0.8639202657807309,0.0703094444776341,0.08161164877013466,0.28075310623299526,0.11719787506870477,0.7,34,11,164,9,218,0.19724770642201836
uci,3,S2,LR,42,False,STOP,0.8000230329886151,0.9386046511627908,0.6779661016949152,0.5333333333333333,0.9302325581395349,0.8,0.8256880733944955,0.8651162790697675,0.09233825632196685,0.10330153519096527,0.5172100183287611,0.5297393954287415,0.35,40,35,140,3,218,0.19724770642201836
