dataset,outer_fold,information_level,model,seed,hpo_on_outer,threshold_from,pr_auc,roc_auc,f1,precision,recall,specificity,accuracy,balanced_accuracy,brier,ece,h2_mean,h2_p50,threshold,tp,fp,tn,fn,n,prevalence
oulad,0,20pct,Hybrid,42,False,STOP,0.7448923784594272,0.7767724860723859,0.668589174800355,0.5721336370539104,0.804162219850587,0.5633475397132894,0.6646464646464646,0.6837548797819382,0.20338736618005995,0.12282968656100879,0.5463683829229831,0.5413147387285953,0.13,3014,2254,2908,734,8910,0.4206509539842873
oulad,0,20pct,LR,42,False,STOP,0.7460901520781054,0.7777435321826813,0.6680013346680014,0.5727636849132176,0.8012273212379936,0.5660596667958155,0.664983164983165,0.6836434940169045,0.18893636326769694,0.06335008098992366,0.7963642263872447,0.880320991869001,0.38,3003,2240,2922,745,8910,0.4206509539842873
oulad,0,20pct,RF,42,False,STOP,0.7485924287632223,0.7752943375301905,0.6654462242562929,0.5825320512820513,0.775880469583778,0.5962805114296784,0.6718294051627385,0.6860804905067281,0.1854729172382633,0.027504906457599024,0.8050035158716006,0.8840671106606401,0.36,2908,2084,3078,840,8910,0.4206509539842873
oulad,0,35pct,Hybrid,42,False,STOP,0.7941835610602763,0.8212876168216124,0.6855736855736856,0.6092059838895282,0.7838318033757773,0.6711214410226612,0.7156908665105386,0.7274766221992193,0.1640737874748103,0.059082751393299625,0.5560462896725675,0.580770231300441,0.23,2647,1698,3465,730,8540,0.3954332552693208
oulad,0,35pct,LR,42,False,STOP,0.7836895126307336,0.8152287543350614,0.6855983772819473,0.6712056737588652,0.7006218537163162,0.7755181096261863,0.7459016393442623,0.7380699816712513,0.16988423445024536,0.07505165753238321,0.7350569236556093,0.8336281466317165,0.48,2366,1159,4004,1011,8540,0.3954332552693208
oulad,0,35pct,RF,42,False,STOP,0.7924741887049138,0.8186027135174192,0.685239753549424,0.6255808266079727,0.7574770506366597,0.7034669765640131,0.724824355971897,0.7304720136003364,0.16197008730521595,0.03187550171289323,0.7359788153063294,0.8211125706109667,0.37,2558,1531,3632,819,8540,0.3954332552693208
oulad,0,50pct,Hybrid,42,False,STOP,0.8428519407472166,0.8702304943719082,0.7266351577984449,0.6773735076748152,0.7836238079579085,0.7802091402013943,0.7814747105423522,0.7819164740796514,0.1334139005757475,0.04808141117416649,0.4575578847393406,0.40724710641939854,0.24,2383,1135,4029,658,8205,0.37062766605728215
oulad,0,50pct,LR,42,False,STOP,0.8317021963253958,0.8649865789796101,0.7284923696126111,0.7433264887063655,0.7142387372574811,0.8547637490317583,0.8026812918951859,0.7845012431446197,0.14296047288433192,0.08281531161611683,0.6604352373041099,0.7499486691535847,0.52,2172,750,4414,869,8205,0.37062766605728215
oulad,0,50pct,RF,42,False,STOP,0.8413475482617868,0.8680861303981146,0.7338509829836445,0.7373837981407703,0.7303518579414666,0.8468241673121611,0.8036563071297989,0.7885880126268139,0.1326361335810592,0.035392369952286645,0.6434581697811811,0.7034182567393196,0.42,2221,791,4373,820,8205,0.37062766605728215
oulad,0,75pct,Hybrid,42,False,STOP,0.8902862246978908,0.916272579304938,0.7860504920838682,0.867737364194615,0.718420023464998,0.9457784663051898,0.8704830980442948,0.8320992448850939,0.0951296430232929,0.02285243622934413,0.401050730527813,0.3087325554089881,0.5,1837,280,4884,720,7721,0.33117471830073825
oulad,0,75pct,LR,42,False,STOP,0.8841465981202375,0.9121531786347952,0.7799642218246869,0.7930476960388035,0.7673054360578804,0.900852052672347,0.8566247895350343,0.8340787443651136,0.10894583862577129,0.08773220792436555,0.5673402219035643,0.6189828151908863,0.53,1962,512,4652,595,7721,0.33117471830073825
oulad,0,75pct,RF,42,False,STOP,0.8902950988156096,0.9147039672083772,0.7935054121565362,0.8482421005785492,0.745404771216269,0.9339659178931061,0.8715192332599404,0.8396853445546876,0.09524487154597965,0.036465923409055793,0.5190762745131009,0.5368422913707361,0.44,1906,341,4823,651,7721,0.33117471830073825
oulad,0,100pct,Hybrid,42,False,STOP,0.9265688361674647,0.9439610943339103,0.849283402681461,0.9339095068632435,0.7787197965239508,0.9748257164988381,0.9133324471620364,0.8767727565113945,0.07174109384422613,0.03696480149001001,0.3721757380708176,0.27421605754653566,0.61,1837,130,5034,522,7523,0.3135717134122026
oulad,0,100pct,LR,42,False,STOP,0.9138627980849195,0.9345838851093213,0.8283210987449681,0.9383047210300429,0.741415854175498,0.977730441518203,0.9036288714608534,0.8595731478468505,0.0862030854988112,0.08019881883248986,0.5028644778523785,0.5206548447065127,0.71,1749,115,5049,610,7523,0.3135717134122026
oulad,0,100pct,RF,42,False,STOP,0.9212406471495821,0.9396282641524178,0.8410501193317422,0.9623156744948116,0.7469266638406105,0.9866382649109218,0.9114714874385219,0.8667824643757661,0.07237057596595031,0.036235376314577454,0.4458460694609568,0.4341715122447758,0.53,1762,69,5095,597,7523,0.3135717134122026
