dataset,scenario,strategy,model,fold,best_val_score,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence,regression_head_rmse,regression_head_r2
student-mat,midterm,none,cnn_bilstm_v27,1,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.608081978554455,-1.4065982932175047,0.36915123462677,11.26730496242446,-4.2782910692151015
student-mat,midterm,none,cnn_bilstm_v27,2,0.21843971631205672,0.4873417721518987,0.16244725738396623,0.3333333333333333,0.21843971631205672,0.0,0.0,4.329396134113388,-0.06098575804780282,0.3635750710964203,11.214301615610413,-6.118678334956673
student-mat,midterm,class_weight,cnn_bilstm_v27,1,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.608081978554455,-1.4065982932175047,0.3677501082420349,11.268238072183639,-4.279165356166218
student-mat,midterm,class_weight,cnn_bilstm_v27,2,0.21843971631205672,0.4873417721518987,0.16244725738396623,0.3333333333333333,0.21843971631205672,0.0,0.0,4.329396134113388,-0.06098575804780282,0.3491362929344177,11.214174657908877,-6.1185171540014
student-mat,midterm,smotenc,cnn_bilstm_v27,1,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.608081978554455,-1.4065982932175047,0.3640984296798706,11.147623442855755,-4.166754395680124
student-mat,midterm,smotenc,cnn_bilstm_v27,2,0.21843971631205672,0.4873417721518987,0.16244725738396623,0.3333333333333333,0.21843971631205672,0.0,0.0,4.329396134113388,-0.06098575804780282,0.3497626483440399,11.097448166169734,-5.971097462959293
student-mat,midterm,random_oversampling,cnn_bilstm_v27,1,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.608081978554455,-1.4065982932175047,0.36411407589912415,11.147463311493423,-4.166605959830619
student-mat,midterm,random_oversampling,cnn_bilstm_v27,2,0.21843971631205672,0.4873417721518987,0.16244725738396623,0.3333333333333333,0.21843971631205672,0.0,0.0,4.329396134113388,-0.06098575804780282,0.3501439094543457,11.096675002478012,-5.970126138450384
student-mat,midterm,focal_loss,cnn_bilstm_v27,1,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.608081978554455,-1.4065982932175047,0.3671211898326874,11.267658655876183,-4.278622457474441
student-mat,midterm,focal_loss,cnn_bilstm_v27,2,0.29527324681509703,0.5063291139240507,0.3355555555555556,0.37498134049858184,0.29527324681509703,0.0,0.0,4.541301324677651,-0.1673888544989921,0.342780202627182,11.212873584163424,-6.116865462497768
student-mat,midterm,smotenc_focal_loss,cnn_bilstm_v27,1,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.608081978554455,-1.4065982932175047,0.3594050705432892,11.152777541664284,-4.171533193418865
student-mat,midterm,smotenc_focal_loss,cnn_bilstm_v27,2,0.10507246376811595,0.18354430379746836,0.06236559139784947,0.3333333333333333,0.10507246376811595,0.0,0.0,7.68351432646958,-2.341755834756168,0.36182111501693726,11.102852220618196,-5.9778884589046255
