dataset,scenario,strategy,model,fold,best_val_score,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence,regression_head_rmse,regression_head_r2
student-mat,late,none,cnn_bilstm_v27,1,0.21843971631205672,0.4873417721518987,0.16244725738396623,0.3333333333333333,0.21843971631205672,0.0,0.0,5.045050212393294,-0.0582401220462736,0.36814311146736145,11.309405603350092,-4.3178097656064045
student-mat,late,none,cnn_bilstm_v27,2,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.294657313161167,-2.0120674525702857,0.3623582720756531,11.19234186190145,-6.090826156244393
student-mat,late,class_weight,cnn_bilstm_v27,1,0.21843971631205672,0.4873417721518987,0.16244725738396623,0.3333333333333333,0.21843971631205672,0.0,0.0,5.045050212393294,-0.0582401220462736,0.35711297392845154,11.313110168245522,-4.321294192394536
student-mat,late,class_weight,cnn_bilstm_v27,2,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.294657313161167,-2.0120674525702857,0.3638831377029419,11.192854562704392,-6.091475806795792
student-mat,late,smotenc,cnn_bilstm_v27,1,0.21843971631205672,0.4873417721518987,0.16244725738396623,0.3333333333333333,0.21843971631205672,0.0,0.0,5.045050212393294,-0.0582401220462736,0.3564537763595581,11.156684723055644,-4.175157341325241
student-mat,late,smotenc,cnn_bilstm_v27,2,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.294657313161167,-2.0120674525702857,0.3680317997932434,11.050269908904994,-5.9119514076407516
student-mat,late,random_oversampling,cnn_bilstm_v27,1,0.21843971631205672,0.4873417721518987,0.16244725738396623,0.3333333333333333,0.21843971631205672,0.0,0.0,5.045050212393294,-0.0582401220462736,0.3571135103702545,11.155597019440236,-4.174148302691799
student-mat,late,random_oversampling,cnn_bilstm_v27,2,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.294657313161167,-2.0120674525702857,0.3679260015487671,11.0503237157313,-5.912018720218158
student-mat,late,focal_loss,cnn_bilstm_v27,1,0.21843971631205672,0.4873417721518987,0.16244725738396623,0.3333333333333333,0.21843971631205672,0.0,0.0,5.045050212393294,-0.0582401220462736,0.35393059253692627,11.31291031788501,-4.321106188714964
student-mat,late,focal_loss,cnn_bilstm_v27,2,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.294657313161167,-2.0120674525702857,0.3632432520389557,11.191213410685931,-6.089396384331333
student-mat,late,smotenc_focal_loss,cnn_bilstm_v27,1,0.27267837367505143,0.44936708860759494,0.2427536231884058,0.3431855500821018,0.27267837367505143,0.0,0.0,5.39191847213277,-0.2087594182816257,0.34230417013168335,11.175227662526929,-4.192374351385248
student-mat,late,smotenc_focal_loss,cnn_bilstm_v27,2,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.294657313161167,-2.0120674525702857,0.3642103970050812,11.058773779805978,-5.922593855241905
