dataset,scenario,candidate_id,variant,model_family,cnn_kernel_size,cnn_channels,lstm_hidden_dim,pooling,loss_name,imbalance_strategy,dropout,context_hidden_dim,ordinal_weight,prediction_mode,threshold_low,selection_score,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-mat,late,seq_k1_c16_h32_last_cw,sequence_cnn_bilstm_v28,sequence,1,16,32,last,class_weight,none_class_weight,0.2,64,0.3,argmax,,0.0,0.740506329113924,0.7428731940733768,0.8008959431373225,0.7365698686312377,0.9326923076923077,0.8818181818181818,3.3595226454160554,0.45905760077026936,0.7391792358476904
student-mat,late,seq_k1_c16_h32_last_cw,sequence_cnn_bilstm_v28,sequence,1,16,32,last,class_weight,none_class_weight,0.2,64,0.3,low_f1_tuned,0.3,0.8825547516868131,0.740506329113924,0.7428731940733768,0.8008959431373225,0.7365698686312377,0.9326923076923077,0.8818181818181818,3.3595226454160554,0.45905760077026936,0.7391792358476904
student-mat,late,seq_k1_c16_h32_last_cw,sequence_cnn_bilstm_v28,sequence,1,16,32,last,class_weight,none_class_weight,0.2,64,0.3,low_recall_priority,0.125,0.9518248175182482,0.6139240506329114,0.673732889382168,0.7216002388416182,0.5962648978585504,1.0,0.7591240875912408,4.128666379831309,0.18301241176196725,0.7391792358476904
student-mat,late,seq_k1_c16_h32_last_cw,sequence_cnn_bilstm_v28,sequence,1,16,32,last,class_weight,none_class_weight,0.2,64,0.3,balanced_low_macro,0.3,0.8219125566932413,0.740506329113924,0.7428731940733768,0.8008959431373225,0.7365698686312377,0.9326923076923077,0.8818181818181818,3.3595226454160554,0.45905760077026936,0.7391792358476904
student-mat,late,seq_k1_c32_h64_attn_cw,sequence_cnn_bilstm_v28,sequence,1,32,64,attention,class_weight,none_class_weight,0.2,64,0.3,argmax,,0.0,0.7151898734177216,0.7304324028461959,0.7871625500935847,0.7119502764533191,0.9326923076923077,0.8818181818181818,3.4388878096106317,0.43319732344833783,0.756538071587116
student-mat,late,seq_k1_c32_h64_attn_cw,sequence_cnn_bilstm_v28,sequence,1,32,64,attention,class_weight,none_class_weight,0.2,64,0.3,low_f1_tuned,0.39999999999999997,0.8825301320946352,0.7151898734177216,0.7304324028461959,0.7871625500935847,0.7119502764533191,0.9326923076923077,0.8818181818181818,3.4388878096106317,0.43319732344833783,0.756538071587116
student-mat,late,seq_k1_c32_h64_attn_cw,sequence_cnn_bilstm_v28,sequence,1,32,64,attention,class_weight,none_class_weight,0.2,64,0.3,low_recall_priority,0.15,0.955805243445693,0.6107594936708861,0.6770312199231175,0.7230183609493954,0.5890770225609395,1.0,0.7790262172284644,3.9988131150522555,0.233595417550027,0.756538071587116
student-mat,late,seq_k1_c32_h64_attn_cw,sequence_cnn_bilstm_v28,sequence,1,32,64,attention,class_weight,none_class_weight,0.2,64,0.3,balanced_low_macro,0.39999999999999997,0.8096027606042819,0.7151898734177216,0.7304324028461959,0.7871625500935847,0.7119502764533191,0.9326923076923077,0.8818181818181818,3.4388878096106317,0.43319732344833783,0.756538071587116
student-mat,late,seq_k2_c32_h64_attn_focal,sequence_cnn_bilstm_v28_focal,sequence,2,32,64,attention,focal_loss_class_weight,focal_loss_class_weight,0.2,64,0.3,argmax,,0.0,0.7911392405063291,0.7854238854238854,0.8157560829974623,0.7932327706804713,0.75,0.8041237113402062,3.0191896808769605,0.563105402781091,0.6023112637332723
student-mat,late,seq_k2_c32_h64_attn_focal,sequence_cnn_bilstm_v28_focal,sequence,2,32,64,attention,focal_loss_class_weight,focal_loss_class_weight,0.2,64,0.3,low_f1_tuned,0.44999999999999996,0.8203089491701466,0.7943037974683544,0.7829361262908998,0.8241643414057207,0.7967540481954244,0.8076923076923077,0.8195121951219512,3.091689554887015,0.54187115747276,0.6023112637332723
