dataset,scenario,model,fold,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-mat,late,logistic_regression,1,0.7278481012658228,0.7208110115957678,0.7837937924144821,0.7330919892323401,0.7884615384615384,0.780952380952381,3.6193484972165635,0.4553543472323076,0.643350894222856
student-mat,late,random_forest,1,0.810126582278481,0.8220070233839597,0.7970793574241849,0.8081270627062707,0.7884615384615384,0.8118811881188119,3.0052696334306264,0.624491196279987,0.8138818565400842
student-mat,late,mlp,1,0.23417721518987342,0.21697746697746698,0.3393043737871324,0.1811895716496814,0.0,0.0,7.735950924667294,-1.4881734362821186,0.5418847541408173
student-mat,late,xgboost,1,0.8670886075949367,0.889545573942737,0.8647013905634595,0.8754731580818538,0.7884615384615384,0.8282828282828283,2.8068068257295558,0.6724494860332962,0.912447988986969
student-mat,late,logistic_regression,2,0.7974683544303798,0.7870363269166859,0.8203233548061135,0.7990425032678553,0.8846153846153846,0.8288288288288288,3.134132226011944,0.44398112561533354,0.6368846988907044
student-mat,late,random_forest,2,0.8734177215189873,0.8813296986218386,0.868347170071308,0.8704845196073266,0.9807692307692307,0.8947368421052632,2.8753095595589597,0.5320234183859726,0.7908016877637131
student-mat,late,mlp,2,0.18354430379746836,0.06118143459915612,0.3333333333333333,0.10338680926916222,0.0,0.0,7.772476594050527,-2.419587729382501,0.5463785220234694
student-mat,late,xgboost,2,0.8860759493670886,0.8866568795367425,0.9035849208263002,0.8917366631668416,0.9615384615384616,0.8849557522123894,2.8540444320740987,0.5389199153781792,0.8726057410240173
student-por,late,logistic_regression,1,0.7769230769230769,0.7303535762483131,0.8396650096034346,0.7621260420585784,0.875,0.7216494845360825,2.912506190155191,0.22744462452728254,0.6800445205890401
student-por,late,random_forest,1,0.8846153846153846,0.8874437199777138,0.8193000790871089,0.8451271227217029,0.625,0.7352941176470589,2.3896813434173443,0.47991312911670037,0.8465384615384615
student-por,late,mlp,1,0.573076923076923,0.5456164473890451,0.64187850713667,0.5615801681218514,0.8,0.5871559633027523,3.8930411288309337,-0.38030127275005365,0.5623808044793122
student-por,late,xgboost,1,0.9307692307692308,0.9118686868686869,0.919505328964712,0.9155696861520154,0.875,0.875,2.312383053175962,0.5130151390836792,0.9031534790992737
student-por,late,logistic_regression,2,0.7722007722007722,0.7239158690771594,0.8334600030707815,0.7539626204828166,0.825,0.6285714285714286,2.973661731378351,0.034238217269832116,0.6518531899464471
student-por,late,random_forest,2,0.861003861003861,0.8248051995817637,0.8090895132811301,0.8159256128486897,0.6,0.64,2.2087051361325662,0.4672022650454898,0.875057915057915
student-por,late,mlp,2,0.3938223938223938,0.4283464283464283,0.46639413480730846,0.38741208414318423,0.375,0.36585365853658536,4.757842540171505,-1.4723332964291993,0.3960934853110098
student-por,late,xgboost,2,0.8841698841698842,0.8429802750257243,0.8742553354828804,0.8574648681968263,0.775,0.7469879518072289,2.2860159067400923,0.4292507049774993,0.9211902618408203
student-por,midterm,logistic_regression,1,0.6923076923076923,0.6596409181314842,0.7575236319813204,0.6807730610547512,0.775,0.6666666666666666,3.233538190708319,0.04774799899225468,0.641604503084739
student-por,midterm,random_forest,1,0.7076923076923077,0.6723739846444864,0.5234578013783753,0.5367907801418439,0.125,0.20833333333333334,2.9432125305522874,0.21106876245367134,0.7257692307692308
student-por,midterm,mlp,1,0.3076923076923077,0.3893622163811596,0.5156055812902497,0.323174733388023,0.625,0.4716981132075472,5.319684056552463,-1.5773154903125763,0.42124250423047843
student-por,midterm,xgboost,1,0.8153846153846154,0.7684556169730966,0.8213958874703424,0.7898432790837854,0.775,0.7380952380952381,2.78819627385492,0.29198478681739737,0.8308671116828918
student-por,midterm,logistic_regression,2,0.6447876447876448,0.6140446521287642,0.726508521418701,0.6323058531087729,0.75,0.5357142857142857,3.55255631491696,-0.378379577469375,0.6071577937185557
student-por,midterm,random_forest,2,0.7760617760617761,0.7700228139187643,0.6413595885152771,0.6847853294669917,0.425,0.5151515151515151,2.5394569692833344,0.29568229773821075,0.745945945945946
student-por,midterm,mlp,2,0.44787644787644787,0.47836607836607836,0.5817058191309689,0.45175965600368784,0.65,0.4444444444444444,4.695557746238731,-1.4080264863139935,0.5085476164554431
student-por,midterm,xgboost,2,0.7915057915057915,0.7407385241486625,0.7802855826807922,0.757603526734555,0.75,0.6741573033707865,2.709200682815568,0.19837871456389078,0.8153037428855896
xapi,xapi,logistic_regression,1,0.7135416666666666,0.7161862990810359,0.7342758857929136,0.7235201829131279,0.86,0.8113207547169812,3.2586023972453795,0.5107756768874814,0.6927726109285223
xapi,xapi,random_forest,1,0.7291666666666666,0.7446468735942421,0.7306295149638803,0.7337690631808279,0.86,0.8431372549019608,3.123332888651694,0.5505495243704489,0.7098958333333334
xapi,xapi,mlp,1,0.5,0.5228327228327229,0.45448916408668727,0.4472732525310887,0.4,0.43478260869565216,5.022994002584515,-0.1624401850338777,0.4672884422225909
xapi,xapi,xgboost,1,0.703125,0.7088229033631332,0.7206535947712417,0.7141126988953076,0.86,0.8269230769230769,3.2769316822295824,0.505256530630418,0.7818744778633118
xapi,xapi,logistic_regression,2,0.734375,0.7385389258628695,0.7627278981768146,0.7433826757824752,0.8627450980392157,0.822429906542056,3.144936406352281,0.5492945211003969,0.7645609927423281
xapi,xapi,random_forest,2,0.75,0.7633333333333333,0.7525799793601652,0.7571391432088479,0.8235294117647058,0.8316831683168316,3.0368826533140854,0.5797331612630479,0.7186111111111111
xapi,xapi,mlp,2,0.5052083333333334,0.5116441658630666,0.5489704653791341,0.5161114973158769,0.7647058823529411,0.6964285714285714,4.770378435372467,-0.03699047587261228,0.43857431505963024
xapi,xapi,xgboost,2,0.75,0.7574290174909369,0.7664258685930513,0.7602807243115826,0.8431372549019608,0.8431372549019608,3.020761493398643,0.5841832548540786,0.779491126537323
