dataset,scenario,candidate_id,variant,model_family,fold,cnn_kernel_size,cnn_channels,lstm_hidden_dim,pooling,loss_name,imbalance_strategy,dropout,context_hidden_dim,ordinal_weight,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-mat,late,seq_k1_c32_h64_attn_smotenc_cw,sequence_cnn_bilstm_v28,sequence,1,1,32,64,attention,class_weight,smotenc_class_weight,0.2,64,0.3,0.740506329113924,0.7413264722698685,0.7977740650154442,0.7380688708645863,0.9038461538461539,0.8785046728971962,3.3614060499903,0.5302192769158001,0.8444757461547852
student-mat,late,seq_k1_c32_h64_attn_smotenc_cw,sequence_cnn_bilstm_v28,sequence,2,1,32,64,attention,class_weight,smotenc_class_weight,0.2,64,0.3,0.6329113924050633,0.6978696741854638,0.7417525003731901,0.6157349479608616,1.0,0.7878787878787878,3.7536901674775613,0.20242460109609295,0.8430700898170471
student-mat,late,seq_k2_c32_h64_attn_smotenc_focal,sequence_cnn_bilstm_v28_focal,sequence,1,2,32,64,attention,focal_loss_class_weight,smotenc_focal_loss,0.2,64,0.3,0.740506329113924,0.7450281095461224,0.812104562104562,0.7402768622280819,0.9038461538461539,0.8468468468468469,3.3979237890143104,0.5199565976270261,0.7004446387290955
student-mat,late,seq_k2_c32_h64_attn_smotenc_focal,sequence_cnn_bilstm_v28_focal,sequence,2,2,32,64,attention,focal_loss_class_weight,smotenc_focal_loss,0.2,64,0.3,0.8227848101265823,0.8263907878345943,0.8695413781620678,0.8297096842551387,0.9807692307692307,0.8429752066115702,3.0950143657260516,0.4577741195997469,0.7209450602531433
student-mat,late,seq_k2_c64_h64_attn_ordinal,sequence_cnn_bilstm_v28_ordinal,sequence,1,2,64,64,attention,ordinal_class_weight,none_class_weight,0.2,64,0.3,0.8607594936708861,0.8559190277426426,0.8821063993477787,0.8657776629088105,0.9230769230769231,0.8648648648648649,3.0372164138078466,0.6164652547849201,0.8579608798027039
student-mat,late,seq_k2_c64_h64_attn_ordinal,sequence_cnn_bilstm_v28_ordinal,sequence,2,2,64,64,attention,ordinal_class_weight,none_class_weight,0.2,64,0.3,0.8860759493670886,0.8805535085564563,0.8964196722817412,0.886323053957138,0.9615384615384616,0.9009009009009009,2.9273913734184154,0.5149165232494597,0.8357524871826172
student-mat,late,gated_k2_c32_h64_attn_cw,gated_fusion_v28,fusion,1,2,32,64,attention,class_weight,none_class_weight,0.2,64,0.3,0.6582278481012658,0.6688152375378013,0.7051942310563,0.6641304347826087,0.6346153846153846,0.717391304347826,3.6791836601430066,0.4371972992598613,0.3846665024757385
student-mat,late,gated_k2_c32_h64_attn_cw,gated_fusion_v28,fusion,2,2,32,64,attention,class_weight,none_class_weight,0.2,64,0.3,0.810126582278481,0.822410242635867,0.8557993730407523,0.8182559523809524,1.0,0.832,3.199090060499997,0.42069425265463545,0.8316275477409363
student-por,late,seq_k1_c16_h32_last_cw,sequence_cnn_bilstm_v28,sequence,1,1,16,32,last,class_weight,none_class_weight,0.2,64,0.3,0.6192307692307693,0.6643400809716599,0.7747966331487968,0.6439462243834172,0.925,0.7628865979381443,3.375106835915888,-0.037459026663487105,0.5917438268661499
student-por,late,seq_k1_c16_h32_last_cw,sequence_cnn_bilstm_v28,sequence,2,1,16,32,last,class_weight,none_class_weight,0.2,64,0.3,0.6332046332046332,0.7061929684247943,0.7996276677414401,0.6627541299123637,0.975,0.484472049689441,3.9788291093085513,-0.7290098240975311,0.7760879397392273
student-por,late,seq_k1_c32_h64_attn_cw,sequence_cnn_bilstm_v28,sequence,1,1,32,64,attention,class_weight,none_class_weight,0.2,64,0.3,0.7307692307692307,0.703886560057962,0.8198009641095169,0.7280717564222718,0.925,0.7628865979381443,2.9913336362025755,0.18506004033675938,0.7635363340377808
student-por,late,seq_k1_c32_h64_attn_cw,sequence_cnn_bilstm_v28,sequence,2,1,32,64,attention,class_weight,none_class_weight,0.2,64,0.3,0.5637065637065637,0.6284519028494931,0.7681137724550897,0.5773570156183364,0.975,0.6341463414634146,3.6299643147889107,-0.43910207357815967,0.6678352355957031
student-por,late,seq_k2_c32_h64_attn_focal,sequence_cnn_bilstm_v28_focal,sequence,1,2,32,64,attention,focal_loss_class_weight,focal_loss_class_weight,0.2,64,0.3,0.7615384615384615,0.7611068268963006,0.7977450758859638,0.7585964912280702,0.775,0.8157894736842105,2.7569841382317635,0.3077476487064349,0.6793694496154785
student-por,late,seq_k2_c32_h64_attn_focal,sequence_cnn_bilstm_v28_focal,sequence,2,2,32,64,attention,focal_loss_class_weight,focal_loss_class_weight,0.2,64,0.3,0.8378378378378378,0.7910115052732501,0.8420428374021188,0.8093847271218095,0.725,0.725,2.32017340584807,0.4120670819467147,0.7462085485458374
student-por,late,seq_k2_c64_h96_attn_cbf,sequence_cnn_bilstm_v28_focal,sequence,1,2,64,96,attention,class_balanced_focal_loss,class_balanced_focal_loss,0.2,64,0.3,0.8538461538461538,0.820650037792895,0.8814239445637027,0.836682950961598,0.95,0.7378640776699029,2.855830742668275,0.2572189192065757,0.7188180685043335
student-por,late,seq_k2_c64_h96_attn_cbf,sequence_cnn_bilstm_v28_focal,sequence,2,2,64,96,attention,class_balanced_focal_loss,class_balanced_focal_loss,0.2,64,0.3,0.8725868725868726,0.8326402199206363,0.8955396898510671,0.854421768707483,0.9,0.7346938775510204,2.5856001596008973,0.26985415269193946,0.7144997119903564
student-por,late,seq_k2_c32_h64_last_random_focal,sequence_cnn_bilstm_v28_focal,sequence,1,2,32,64,last,focal_loss_class_weight,random_oversampling_focal_loss,0.2,64,0.3,0.6346153846153846,0.662002848277358,0.7954553157835272,0.6417479676197632,0.975,0.5492957746478874,3.8768295928900063,-0.3688294121530318,0.7393410205841064
student-por,late,seq_k2_c32_h64_last_random_focal,sequence_cnn_bilstm_v28_focal,sequence,2,2,32,64,last,focal_loss_class_weight,random_oversampling_focal_loss,0.2,64,0.3,0.7104247104247104,0.6894892195701144,0.8205358513741747,0.7069831650132171,0.9,0.7058823529411765,2.895209730268151,0.08452403435991951,0.7435235977172852
student-por,late,seq_k1_c32_h64_attn_smotenc_cw,sequence_cnn_bilstm_v28,sequence,1,1,32,64,attention,class_weight,smotenc_class_weight,0.2,64,0.3,0.6423076923076924,0.644311570782159,0.786567431175385,0.6435398532172725,0.975,0.6290322580645161,3.4742182297161914,-0.09928447385048988,0.7777197957038879
student-por,late,seq_k1_c32_h64_attn_smotenc_cw,sequence_cnn_bilstm_v28,sequence,2,1,32,64,attention,class_weight,smotenc_class_weight,0.2,64,0.3,0.5135135135135135,0.6064455928797013,0.7421656686626746,0.5256756756756756,0.975,0.527027027027027,4.00614874901417,-0.7528349701402142,0.8180044889450073
student-por,late,seq_k2_c32_h64_attn_smotenc_focal,sequence_cnn_bilstm_v28_focal,sequence,1,2,32,64,attention,focal_loss_class_weight,smotenc_focal_loss,0.2,64,0.3,0.6923076923076923,0.6763150532355721,0.8147648100026362,0.6909367649093676,0.95,0.6909090909090909,3.338441598664309,-0.015040734199078143,0.6282984018325806
student-por,late,seq_k2_c32_h64_attn_smotenc_focal,sequence_cnn_bilstm_v28_focal,sequence,2,2,32,64,attention,focal_loss_class_weight,smotenc_focal_loss,0.2,64,0.3,0.7374517374517374,0.7072020487545602,0.8471825579610011,0.7298278883048329,0.95,0.672566371681416,3.035504194410825,-0.0063488678028797985,0.7498904466629028
