dataset,scenario,selected_by,candidate_id,variant,model_family,prediction_mode,threshold_low,macro_f1,recall_low,f1_low
student-mat,late,oof_macro_f1_recall_low_f1_low,seq_k2_c64_h96_attn_cbf,sequence_cnn_bilstm_v28_focal,sequence,low_f1_tuned,0.42499999999999993,0.8804172550302581,0.9326923076923077,0.8778280542986425
student-por,late,oof_macro_f1_recall_low_f1_low,seq_k2_c64_h96_attn_cbf,sequence_cnn_bilstm_v28_focal,sequence,low_f1_tuned,0.65,0.8684187647795243,0.7625,0.7721518987341772
student-por,midterm,oof_macro_f1_recall_low_f1_low,seq_k2_c64_h96_attn_cbf,sequence_cnn_bilstm_v28_focal,sequence,low_f1_tuned,0.525,0.8008572512214184,0.7125,0.7261146496815286
xapi,xapi,oof_macro_f1_recall_low_f1_low,gated_k3_c32_h64_attn_cw,gated_fusion_v28,fusion,low_f1_tuned,0.49999999999999994,0.7520803724428223,0.900990099009901,0.8544600938967136
