method,groups,ndcg_at_3,precision_at_1
model_score,15390,0.2955851660918294,0.26432748538011697
random_score,15390,0.3334217525502498,0.29785575048732943
popular_score,15390,0.4194980650193101,0.26192332683560754
workload_score,15390,0.18635528270940172,0.10240415854450942
policy_score,15390,0.4688055122426545,0.7311241065627031
counterfactual_score,15390,0.31426621838548496,0.22923976608187135
