run_id,metric_name,dimension,expected,actual,status
final:student_mat:logistic_regression,macro_recall,overall,0.87765191429575,0.87765191429575,PASS
final:student_mat:logistic_regression,nll,overall,0.2952356596555404,0.2952356596555404,PASS
final:student_mat:logistic_regression,pr_auc,overall,0.9500305081048032,0.9500305081048032,PASS
final:student_mat:logistic_regression,roc_auc,overall,0.9699409400030388,0.9699409400030388,PASS
final:student_mat:logistic_regression,weighted_f1,overall,0.8734513354965088,0.8734513354965088,PASS
final:student_mat:logistic_regression,precision,Low,0.8604651162790697,0.8604651162790697,PASS
final:student_mat:logistic_regression,recall,Low,0.8538461538461538,0.8538461538461538,PASS
final:student_mat:logistic_regression,f1,Low,0.8571428571428571,0.8571428571428571,PASS
final:student_mat:logistic_regression,support,Low,130,130.0,PASS
final:student_mat:logistic_regression,precision,Medium,0.865979381443299,0.865979381443299,PASS
final:student_mat:logistic_regression,recall,Medium,0.875,0.875,PASS
final:student_mat:logistic_regression,f1,Medium,0.8704663212435233,0.8704663212435233,PASS
final:student_mat:logistic_regression,support,Medium,192,192.0,PASS
final:student_mat:logistic_regression,precision,High,0.9166666666666666,0.9166666666666666,PASS
final:student_mat:logistic_regression,recall,High,0.9041095890410958,0.9041095890410958,PASS
final:student_mat:logistic_regression,f1,High,0.9103448275862068,0.9103448275862068,PASS
final:student_mat:logistic_regression,support,High,73,73.0,PASS
final:student_mat:decision_tree,accuracy,overall,0.8987341772151899,0.8987341772151899,PASS
final:student_mat:decision_tree,balanced_accuracy,overall,0.904120931389767,0.904120931389767,PASS
final:student_mat:decision_tree,brier,overall,0.18162183833132015,0.18162183833132015,PASS
final:student_mat:decision_tree,ece,overall,0.012826272679725978,0.012826272679725978,PASS
final:student_mat:decision_tree,macro_f1,overall,0.9066544140712939,0.9066544140712939,PASS
final:student_mat:decision_tree,macro_precision,overall,0.912757827601418,0.912757827601418,PASS
final:student_mat:decision_tree,macro_recall,overall,0.904120931389767,0.904120931389767,PASS
final:student_mat:decision_tree,nll,overall,0.4272461851790371,0.4272461851790371,PASS
final:student_mat:decision_tree,pr_auc,overall,0.8609262750562457,0.8609262750562457,PASS
final:student_mat:decision_tree,roc_auc,overall,0.9300358309180652,0.9300358309180652,PASS
final:student_mat:decision_tree,weighted_f1,overall,0.8992945526637132,0.8992945526637132,PASS
final:student_mat:decision_tree,precision,Low,0.8356164383561644,0.8356164383561644,PASS
final:student_mat:decision_tree,recall,Low,0.9384615384615383,0.9384615384615383,PASS
final:student_mat:decision_tree,f1,Low,0.8840579710144928,0.8840579710144928,PASS
final:student_mat:decision_tree,support,Low,130,130.0,PASS
final:student_mat:decision_tree,precision,Medium,0.9175824175824177,0.9175824175824177,PASS
final:student_mat:decision_tree,recall,Medium,0.8697916666666666,0.8697916666666666,PASS
final:student_mat:decision_tree,f1,Medium,0.893048128342246,0.893048128342246,PASS
final:student_mat:decision_tree,support,Medium,192,192.0,PASS
final:student_mat:decision_tree,precision,High,0.9850746268656716,0.9850746268656716,PASS
final:student_mat:decision_tree,recall,High,0.9041095890410958,0.9041095890410958,PASS
final:student_mat:decision_tree,f1,High,0.9428571428571428,0.9428571428571428,PASS
final:student_mat:decision_tree,support,High,73,73.0,PASS
final:student_mat:random_forest,accuracy,overall,0.8936708860759494,0.8936708860759494,PASS
final:student_mat:random_forest,balanced_accuracy,overall,0.9026508166491043,0.9026508166491043,PASS
final:student_mat:random_forest,brier,overall,0.16689537331569998,0.16689537331569998,PASS
final:student_mat:random_forest,ece,overall,0.0328202860088018,0.0328202860088018,PASS
final:student_mat:random_forest,macro_f1,overall,0.9013865704188285,0.9013865704188285,PASS
final:student_mat:random_forest,macro_precision,overall,0.9027640941434045,0.9027640941434045,PASS
final:student_mat:random_forest,macro_recall,overall,0.9026508166491043,0.9026508166491043,PASS
final:student_mat:random_forest,nll,overall,0.2798604153383215,0.2798604153383215,PASS
final:student_mat:random_forest,pr_auc,overall,0.9550380404668742,0.9550380404668742,PASS
final:student_mat:random_forest,roc_auc,overall,0.9720496714911677,0.9720496714911677,PASS
final:student_mat:random_forest,weighted_f1,overall,0.893995379875331,0.893995379875331,PASS
final:student_mat:random_forest,precision,Low,0.8344827586206897,0.8344827586206897,PASS
final:student_mat:random_forest,recall,Low,0.9307692307692308,0.9307692307692308,PASS
final:student_mat:random_forest,f1,Low,0.88,0.88,PASS
final:student_mat:random_forest,support,Low,130,130.0,PASS
final:student_mat:random_forest,precision,Medium,0.9166666666666666,0.9166666666666666,PASS
final:student_mat:random_forest,recall,Medium,0.859375,0.859375,PASS
final:student_mat:random_forest,f1,Medium,0.8870967741935484,0.8870967741935484,PASS
final:student_mat:random_forest,support,Medium,192,192.0,PASS
final:student_mat:random_forest,precision,High,0.9571428571428572,0.9571428571428572,PASS
final:student_mat:random_forest,recall,High,0.9178082191780822,0.9178082191780822,PASS
final:student_mat:random_forest,f1,High,0.9370629370629372,0.9370629370629372,PASS
final:student_mat:random_forest,support,High,73,73.0,PASS
final:student_mat:hist_gradient_boosting,accuracy,overall,0.8708860759493671,0.8708860759493671,PASS
final:student_mat:hist_gradient_boosting,balanced_accuracy,overall,0.8775717860906217,0.8775717860906217,PASS
final:student_mat:hist_gradient_boosting,brier,overall,0.1888750281546995,0.1888750281546995,PASS
final:student_mat:hist_gradient_boosting,ece,overall,0.059363502925662254,0.059363502925662254,PASS
final:student_mat:hist_gradient_boosting,macro_f1,overall,0.8785461958764588,0.8785461958764588,PASS
final:student_mat:hist_gradient_boosting,macro_precision,overall,0.8798767916138809,0.8798767916138809,PASS
final:student_mat:hist_gradient_boosting,macro_recall,overall,0.8775717860906217,0.8775717860906217,PASS
final:student_mat:hist_gradient_boosting,nll,overall,0.35927517381339075,0.35927517381339075,PASS
final:student_mat:hist_gradient_boosting,pr_auc,overall,0.9317584458084583,0.9317584458084583,PASS
final:student_mat:hist_gradient_boosting,roc_auc,overall,0.9609155231348246,0.9609155231348246,PASS
final:student_mat:hist_gradient_boosting,weighted_f1,overall,0.8710982374516296,0.8710982374516296,PASS
final:student_mat:hist_gradient_boosting,precision,Low,0.837037037037037,0.837037037037037,PASS
final:student_mat:hist_gradient_boosting,recall,Low,0.8692307692307693,0.8692307692307693,PASS
final:student_mat:hist_gradient_boosting,f1,Low,0.8528301886792453,0.8528301886792453,PASS
final:student_mat:hist_gradient_boosting,support,Low,130,130.0,PASS
final:student_mat:hist_gradient_boosting,precision,Medium,0.873015873015873,0.873015873015873,PASS
final:student_mat:hist_gradient_boosting,recall,Medium,0.859375,0.859375,PASS
final:student_mat:hist_gradient_boosting,f1,Medium,0.8661417322834646,0.8661417322834646,PASS
final:student_mat:hist_gradient_boosting,support,Medium,192,192.0,PASS
final:student_mat:hist_gradient_boosting,precision,High,0.9295774647887324,0.9295774647887324,PASS
final:student_mat:hist_gradient_boosting,recall,High,0.9041095890410958,0.9041095890410958,PASS
final:student_mat:hist_gradient_boosting,f1,High,0.9166666666666666,0.9166666666666666,PASS
final:student_mat:hist_gradient_boosting,support,High,73,73.0,PASS
final:student_mat:svm,accuracy,overall,0.810126582278481,0.810126582278481,PASS
final:student_mat:svm,balanced_accuracy,overall,0.8126467187682941,0.8126467187682941,PASS
final:student_mat:svm,brier,overall,0.270199621254079,0.270199621254079,PASS
final:student_mat:svm,ece,overall,0.04907186905193117,0.04907186905193117,PASS
final:student_mat:svm,macro_f1,overall,0.8142714606002981,0.8142714606002981,PASS
final:student_mat:svm,macro_precision,overall,0.8161902510256588,0.8161902510256588,PASS
final:student_mat:svm,macro_recall,overall,0.8126467187682941,0.8126467187682941,PASS
final:student_mat:svm,nll,overall,0.4448550585925768,0.4448550585925768,PASS
final:student_mat:svm,pr_auc,overall,0.8826668579020943,0.8826668579020943,PASS
final:student_mat:svm,roc_auc,overall,0.9316462261056594,0.9316462261056594,PASS
final:student_mat:svm,weighted_f1,overall,0.8100810256744004,0.8100810256744004,PASS
final:student_mat:svm,precision,Low,0.816,0.816,PASS
final:student_mat:svm,recall,Low,0.7846153846153846,0.7846153846153846,PASS
final:student_mat:svm,f1,Low,0.8,0.8,PASS
final:student_mat:svm,support,Low,130,130.0,PASS
final:student_mat:svm,precision,Medium,0.7969543147208121,0.7969543147208121,PASS
final:student_mat:svm,recall,Medium,0.8177083333333334,0.8177083333333334,PASS
final:student_mat:svm,f1,Medium,0.8071979434447301,0.8071979434447301,PASS
final:student_mat:svm,support,Medium,192,192.0,PASS
final:student_mat:svm,precision,High,0.8356164383561644,0.8356164383561644,PASS
final:student_mat:svm,recall,High,0.8356164383561644,0.8356164383561644,PASS
final:student_mat:svm,f1,High,0.8356164383561644,0.8356164383561644,PASS
final:student_mat:svm,support,High,73,73.0,PASS
final:student_mat:xgboost,accuracy,overall,0.8784810126582279,0.8784810126582279,PASS
final:student_mat:xgboost,balanced_accuracy,overall,0.8827801194239551,0.8827801194239551,PASS
