run_id,strategy,dataset,stage,inner_fold,seed,pr_auc,risk_f1,risk_recall,accuracy,ece,brier,train_pr_auc,generalization_gap,best_epoch,outer_test_used
G1_L1_control_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,20pct,0,42,0.769363971824261,0.6839137645107795,0.8163103721298496,0.6766751484308736,0.03418112436721797,0.18123794097532986,0.7861724664562447,0.01680849463198375,25,False
G1_L1_control_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,35pct,0,42,0.811859663235281,0.7037747920665387,0.7164567954841511,0.7551128349788434,0.0235691282780623,0.15741630185699773,0.8280417362884722,0.016182073053191193,25,False
G1_L1_control_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,50pct,0,42,0.8582714173152637,0.7418382722250125,0.7060229445506692,0.8117560886284563,0.028417339015699535,0.12880609228080278,0.8607337902168385,0.0024623729015748053,25,False
G1_L1_control_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,75pct,0,42,0.8977389910434493,0.798125,0.7255681818181818,0.8740495223240398,0.023835344792253434,0.09420857951463858,0.8987138888749419,0.0009748978314925161,25,False
G1_L1_control_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,100pct,0,42,0.9293325479529141,0.8516839378238342,0.8067484662576687,0.908381676335267,0.011437600623659,0.06915106664854298,0.9287377882683008,-0.0005947596846133107,25,False
G1_L2_stagenorm_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L2_stagenorm,oulad,20pct,0,42,0.769363971824261,0.6839137645107795,0.8163103721298496,0.6766751484308736,0.03418112436721797,0.18123794097532986,0.7861724664562447,0.01680849463198375,25,False
G1_L2_stagenorm_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L2_stagenorm,oulad,35pct,0,42,0.811859663235281,0.7037747920665387,0.7164567954841511,0.7551128349788434,0.0235691282780623,0.15741630185699773,0.8280417362884722,0.016182073053191193,25,False
G1_L2_stagenorm_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L2_stagenorm,oulad,50pct,0,42,0.8582714173152637,0.7418382722250125,0.7060229445506692,0.8117560886284563,0.028417339015699535,0.12880609228080278,0.8607337902168385,0.0024623729015748053,25,False
G1_L2_stagenorm_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L2_stagenorm,oulad,75pct,0,42,0.8977389910434493,0.798125,0.7255681818181818,0.8740495223240398,0.023835344792253434,0.09420857951463858,0.8987138888749419,0.0009748978314925161,25,False
G1_L2_stagenorm_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L2_stagenorm,oulad,100pct,0,42,0.9293325479529141,0.8516839378238342,0.8067484662576687,0.908381676335267,0.011437600623659,0.06915106664854298,0.9287377882683008,-0.0005947596846133107,25,False
G1_L3_C1_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L3_C1,oulad,20pct,0,42,0.7709426788430661,0.6899533114300536,0.7897862232779097,0.695843935538592,0.061959254914188494,0.18363111089915168,0.7994041883882625,0.02846150954519644,29,False
G1_L3_C1_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L3_C1,oulad,35pct,0,42,0.8134535092853794,0.7045781153767193,0.7451150673035172,0.7462976022566996,0.029856608495541833,0.15732888028147823,0.8364321098648685,0.022978600579489084,29,False
G1_L3_C1_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L3_C1,oulad,50pct,0,42,0.8583475783360266,0.743188698284561,0.7041108986615678,0.8135872550814869,0.025818563862677314,0.1288585612734022,0.8613117941671271,0.002964215831100514,29,False
G1_L3_C1_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L3_C1,oulad,75pct,0,42,0.8951612190841964,0.7949526813880127,0.7159090909090909,0.8732696432053032,0.03043374187080781,0.09707588586050767,0.892840447432459,-0.0023207716517373855,29,False
G1_L3_C1_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L3_C1,oulad,100pct,0,42,0.921213623069854,0.8376928236083165,0.7662576687116565,0.9031806361272254,0.07903562107122131,0.08764746605542444,0.9150233758508086,-0.006190247219045375,29,False
G1_L3_C2_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L3_C2,oulad,20pct,0,42,0.6738669324266023,0.6275968992248062,0.8012668250197942,0.5925360474978796,0.18110630202081063,0.2509442909941037,0.6597726367173908,-0.014094295709211502,3,False
G1_L3_C2_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L3_C2,oulad,35pct,0,42,0.7707378473208282,0.663764100534336,0.72818063395571,0.7004583921015515,0.09151535143954902,0.184628158522415,0.7636652424297181,-0.007072604891110057,3,False
G1_L3_C2_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L3_C2,oulad,50pct,0,42,0.8314089086706651,0.7177304964539007,0.7256214149139579,0.7813587255081487,0.03482244227465594,0.1405950846513817,0.8176506694861101,-0.013758239184554988,3,False
G1_L3_C2_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L3_C2,oulad,75pct,0,42,0.8759829502338606,0.7731352522438873,0.709659090909091,0.8570871514915188,0.046359880946665204,0.10691784573818502,0.8660831234625874,-0.009899826771273212,3,False
G1_L3_C2_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L3_C2,oulad,100pct,0,42,0.902918018908528,0.8097244732576986,0.7662576687116565,0.8825765153030606,0.038924919929080405,0.0833819296014749,0.8976137383067352,-0.005304280601792777,3,False
G1_L4_hard_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L4_hard,oulad,20pct,0,42,0.7695408584598851,0.6858865649142641,0.7205067300079177,0.7172179813401187,0.05382749853154884,0.18346473863209237,0.8000337032298065,0.030492844769921423,31,False
G1_L4_hard_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L4_hard,oulad,35pct,0,42,0.810172055288066,0.6991168617785993,0.739036039947894,0.7417136812411848,0.040081258888496944,0.15988404283799196,0.8359038217904042,0.025731766502338216,31,False
G1_L4_hard_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L4_hard,oulad,50pct,0,42,0.8579931562460765,0.7449856733524355,0.745697896749522,0.804431422816334,0.01735786509179459,0.12836031682092477,0.8660174882598437,0.008024332013767177,31,False
G1_L4_hard_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L4_hard,oulad,75pct,0,42,0.896661116225336,0.7928549044186776,0.71875,0.8711249756287776,0.014585722728272315,0.0943315885841898,0.9016409758598053,0.004979859634469341,31,False
G1_L4_hard_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L4_hard,oulad,100pct,0,42,0.9281528485653094,0.8423101881894873,0.7963190184049079,0.9027805561112222,0.009698286088163768,0.07045113202286818,0.9294275596009727,0.001274711035663234,31,False
G1_L5_trunc_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.3_rk0.0,L5_trunc,oulad,20pct,0,42,0.7712083184956001,0.6908771929824561,0.7794932699920823,0.7011026293469041,0.0222970747860485,0.17984468214650576,0.8044232405337635,0.03321492203816334,33,False
G1_L5_trunc_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.3_rk0.0,L5_trunc,oulad,35pct,0,42,0.8099692705831565,0.6996421805935592,0.7216673903603995,0.7484132581100141,0.011499686303255584,0.15778983630757873,0.8355963405071023,0.02562706992394581,33,False
G1_L5_trunc_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.3_rk0.0,L5_trunc,oulad,50pct,0,42,0.8584274999109878,0.7449241540256709,0.762906309751434,0.7998535066837575,0.03593383658325343,0.12950715236505933,0.8661313862804851,0.00770388636949737,33,False
G1_L5_trunc_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.3_rk0.0,L5_trunc,oulad,75pct,0,42,0.8986564889492455,0.7983642654922932,0.7210227272727273,0.8750243712224606,0.021749009255869645,0.09404722415855052,0.9020929745162305,0.003436485566984948,33,False
G1_L5_trunc_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.3_rk0.0,L5_trunc,oulad,100pct,0,42,0.9277991110375234,0.848786972416085,0.7834355828220859,0.9089817963592719,0.006376536264303911,0.07009075175648904,0.928841984766202,0.0010428737286785061,33,False
