run_id,strategy,dataset,stage,inner_fold,seed,pr_auc,risk_f1,risk_recall,accuracy,ece,brier,train_pr_auc,generalization_gap,best_epoch,outer_test_used
G1_L1_control_uci_f0_s42_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S0,0,42,0.46026277790961,0.42045454545454547,0.6065573770491803,0.6408450704225352,0.21659941053096676,0.20490888949385472,0.6429800717099139,0.18271729380030388,22,False
G1_L1_control_uci_f0_s42_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S1,0,42,0.7884407533288148,0.6785714285714286,0.6229508196721312,0.8732394366197183,0.08138786583587947,0.10879534953534599,0.8661419390328914,0.07770118570407658,22,False
G1_L1_control_uci_f0_s42_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S2,0,42,0.882250422075267,0.7737226277372263,0.8688524590163934,0.8908450704225352,0.0589439310067871,0.07257180877248458,0.9396504361345676,0.05740001405930051,22,False
ROB_L1_control_uci_f0_s1201_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S0,0,1201,0.43362210412794217,0.411522633744856,0.819672131147541,0.4964788732394366,0.279180864265687,0.23118173674752845,0.4976401599396554,0.06401805581171321,11,False
ROB_L1_control_uci_f0_s1201_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S1,0,1201,0.7550988073580429,0.6542056074766355,0.5737704918032787,0.8697183098591549,0.10872877734175451,0.11621973562873625,0.8419746803736788,0.08687587301563593,11,False
ROB_L1_control_uci_f0_s1201_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S2,0,1201,0.8848888036181699,0.8059701492537313,0.8852459016393442,0.9084507042253521,0.10798290758852806,0.08501114946956005,0.9229280604939905,0.03803925687582055,11,False
ROB_L1_control_uci_f0_s2026_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S0,0,2026,0.4742820450224401,0.43434343434343436,0.7049180327868853,0.6056338028169014,0.17859335831353362,0.1939657179479345,0.6295482101102239,0.1552661650877838,31,False
ROB_L1_control_uci_f0_s2026_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S1,0,2026,0.7812739257518713,0.6721311475409836,0.6721311475409836,0.8591549295774648,0.08032491963527258,0.10576302773518811,0.8770390695328586,0.09576514378098733,31,False
ROB_L1_control_uci_f0_s2026_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S2,0,2026,0.8823431941407095,0.7387387387387387,0.6721311475409836,0.897887323943662,0.058487539815808266,0.07619468899518958,0.9419753163805857,0.05963212223987624,31,False
G2_L1_control_uci_f1_s42_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S0,1,42,0.4717105053172894,0.46511627906976744,0.847457627118644,0.5772058823529411,0.2890043448218528,0.22777642669268758,0.5795374048060908,0.10782689948880142,9,False
G2_L1_control_uci_f1_s42_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S1,1,42,0.8438641365083963,0.7107438016528925,0.7288135593220338,0.8713235294117647,0.105140200624352,0.09337838118235417,0.8448965425549143,0.0010324060465179974,9,False
G2_L1_control_uci_f1_s42_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S2,1,42,0.9274243514311197,0.8225806451612904,0.864406779661017,0.9191176470588235,0.10527851569521077,0.06133463882880199,0.9311275411785569,0.003703189747437219,9,False
ROB_L1_control_uci_f1_s1201_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S0,1,1201,0.4445970579240887,0.44,0.9322033898305084,0.4852941176470588,0.25890808190931297,0.21087974543587293,0.5723718866733475,0.12777482874925877,14,False
ROB_L1_control_uci_f1_s1201_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S1,1,1201,0.8506532893175476,0.7142857142857143,0.7627118644067796,0.8676470588235294,0.10031734658953023,0.09470382976590686,0.8615581447688182,0.010904855451270623,14,False
ROB_L1_control_uci_f1_s1201_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S2,1,1201,0.9365446613171219,0.8245614035087719,0.7966101694915254,0.9264705882352942,0.0918971982661306,0.06952786401518103,0.9367003473146951,0.00015568599757320722,14,False
ROB_L1_control_uci_f1_s2026_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S0,1,2026,0.5002846587326745,0.4117647058823529,0.9491525423728814,0.4117647058823529,0.23889879312585385,0.2008632592139025,0.5919857168073377,0.09170105807466322,19,False
ROB_L1_control_uci_f1_s2026_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S1,1,2026,0.8529630880594964,0.7027027027027027,0.6610169491525424,0.8786764705882353,0.11276362197446253,0.10241679277969297,0.8606297879272857,0.007666699867789339,19,False
ROB_L1_control_uci_f1_s2026_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S2,1,2026,0.9417195264722138,0.8571428571428571,0.8135593220338984,0.9411764705882353,0.10808221460320055,0.07763062918945997,0.9400734219446918,-0.0016461045275220076,19,False
G2_L1_control_uci_f2_s42_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S0,2,42,0.5123816238213228,0.41044776119402987,0.9649122807017544,0.4233576642335766,0.30978281959129944,0.24132656580889844,0.5505560203032469,0.03817439648192411,7,False
G2_L1_control_uci_f2_s42_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S1,2,42,0.8399390425469145,0.7123287671232876,0.9122807017543859,0.8467153284671532,0.20586197369181328,0.12691921792015876,0.8430322406917171,0.003093198144802578,7,False
G2_L1_control_uci_f2_s42_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S2,2,42,0.9040014213518441,0.7794117647058824,0.9298245614035088,0.8905109489051095,0.18490498738676095,0.09961462806918406,0.9102578814175346,0.006256460065690472,7,False
ROB_L1_control_uci_f2_s1201_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S0,2,1201,0.357149572285681,0.42201834862385323,0.8070175438596491,0.5401459854014599,0.2844814809351942,0.23473642291950428,0.4802736811391394,0.12312410885345837,6,False
ROB_L1_control_uci_f2_s1201_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S1,2,1201,0.8383429279554772,0.7012987012987013,0.9473684210526315,0.8321167883211679,0.21547976848635358,0.13514234308588585,0.852609907788866,0.014266979833388871,6,False
ROB_L1_control_uci_f2_s1201_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S2,2,1201,0.9083952944883231,0.7941176470588235,0.9473684210526315,0.8978102189781022,0.21560482873860065,0.1084856294134703,0.9187549804656303,0.010359685977307187,6,False
ROB_L1_control_uci_f2_s2026_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S0,2,2026,0.4384130523257462,0.4462809917355372,0.9473684210526315,0.5109489051094891,0.22832476584254394,0.1995931486002141,0.676365974679338,0.23795292235359183,28,False
ROB_L1_control_uci_f2_s2026_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S1,2,2026,0.8421582366712137,0.6625766871165644,0.9473684210526315,0.7992700729927007,0.14784748106515103,0.1229526793215083,0.8612955278842364,0.019137291213022656,28,False
ROB_L1_control_uci_f2_s2026_lr8.605034792033103e-05_do0.4061978796339918_tr0.0_rk0.0,L1_control,uci,S2,2,2026,0.9233665754557099,0.8125,0.9122807017543859,0.9124087591240876,0.12609261802200525,0.09362916496147548,0.9317404501410625,0.008373874685352667,28,False
G1_L1_control_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,20pct,0,42,0.769363971824261,0.6839137645107795,0.8163103721298496,0.6766751484308736,0.03418112436721797,0.18123794097532986,0.7861724664562447,0.01680849463198375,25,False
G1_L1_control_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,35pct,0,42,0.811859663235281,0.7037747920665387,0.7164567954841511,0.7551128349788434,0.0235691282780623,0.15741630185699773,0.8280417362884722,0.016182073053191193,25,False
G1_L1_control_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,50pct,0,42,0.8582714173152637,0.7418382722250125,0.7060229445506692,0.8117560886284563,0.028417339015699535,0.12880609228080278,0.8607337902168385,0.0024623729015748053,25,False
G1_L1_control_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,75pct,0,42,0.8977389910434493,0.798125,0.7255681818181818,0.8740495223240398,0.023835344792253434,0.09420857951463858,0.8987138888749419,0.0009748978314925161,25,False
G1_L1_control_oulad_f0_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,100pct,0,42,0.9293325479529141,0.8516839378238342,0.8067484662576687,0.908381676335267,0.011437600623659,0.06915106664854298,0.9287377882683008,-0.0005947596846133107,25,False
ROB_L1_control_oulad_f0_s1201_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,20pct,0,1201,0.7658817325579648,0.6784221050718051,0.7387173396674585,0.6999151823579305,0.0663108335044851,0.18629031237431729,0.7934465295548461,0.027564796996881302,30,False
ROB_L1_control_oulad_f0_s1201_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,35pct,0,1201,0.8110907435549936,0.6959870287798946,0.7455492835432045,0.735543018335684,0.05404671840730933,0.16067852318445344,0.830850152082057,0.019759408527063482,30,False
ROB_L1_control_oulad_f0_s1201_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,50pct,0,1201,0.8593560803502119,0.7420924574209246,0.7289674952198852,0.8058963559787584,0.01390188690012321,0.1272296402987387,0.8648577809918316,0.0055017006416197,30,False
ROB_L1_control_oulad_f0_s1201_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,75pct,0,1201,0.8993140889146334,0.79744,0.7079545454545455,0.8765841294599337,0.01699748419057801,0.09309263857739422,0.9021435262726367,0.0028294373580033394,30,False
ROB_L1_control_oulad_f0_s1201_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,100pct,0,1201,0.9288664502050439,0.8493150684931506,0.7987730061349694,0.9075815163032607,0.024202272572703142,0.07061103989580919,0.9302172396631608,0.0013507894581169522,30,False
ROB_L1_control_oulad_f0_s2026_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,20pct,0,2026,0.7706697224501221,0.6811499509964064,0.8254156769596199,0.668871925360475,0.06155142103186774,0.18410979912732164,0.8053106002924367,0.03464087784231462,37,False
ROB_L1_control_oulad_f0_s2026_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,35pct,0,2026,0.8111613402719904,0.698140200286123,0.7416413373860182,0.7395980253878702,0.06604056414387521,0.16296601380366948,0.8423696053581345,0.03120826508614416,37,False
ROB_L1_control_oulad_f0_s2026_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,50pct,0,2026,0.857879111462077,0.7369234733316156,0.6835564053537285,0.8130379051455777,0.016815786466522268,0.1282368032684208,0.8728587867936541,0.01497967533157718,37,False
ROB_L1_control_oulad_f0_s2026_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,75pct,0,2026,0.8991456235885901,0.7987878787878788,0.7488636363636364,0.8705400662897251,0.02111792229041515,0.09382173315840986,0.9091838767267089,0.010038253138118791,37,False
ROB_L1_control_oulad_f0_s2026_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,100pct,0,2026,0.9296836427254214,0.8508104531921932,0.7889570552147239,0.9097819563912782,0.0067608035479734445,0.06926922948656225,0.9352397927117702,0.005556149986348791,37,False
G2_L1_control_oulad_f1_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,20pct,1,42,0.7665787504704397,0.6805429864253394,0.7255885758394442,0.7045035995312239,0.04547277326380191,0.18478273676731305,0.7960522435969238,0.029473493126484174,31,False
G2_L1_control_oulad_f1_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,35pct,1,42,0.8063215309356355,0.7059267648169121,0.8011996572407883,0.7274317704688593,0.047547965231817556,0.16209230494996782,0.8375149357376863,0.031193404802050795,31,False
G2_L1_control_oulad_f1_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,50pct,1,42,0.8446729338658054,0.7212948912493677,0.6755092373282804,0.7993810304023302,0.036153795557724286,0.13704573806316184,0.8761175567611827,0.031444622895377305,31,False
G2_L1_control_oulad_f1_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,75pct,1,42,0.8819656343199889,0.7623501900029231,0.7338210467079347,0.8424113200232604,0.03424186111866698,0.10541896516209437,0.9121972994012499,0.030231665081261072,31,False
G2_L1_control_oulad_f1_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,100pct,1,42,0.9179650474934069,0.8275422378068218,0.8057107386716326,0.8916483076306829,0.022034650019392588,0.07632902932804873,0.93763918789127,0.019674140397863082,31,False
ROB_L1_control_oulad_f1_s1201_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,20pct,1,1201,0.7631619258229749,0.6868083611452661,0.7545349285989965,0.7014900385066131,0.09475039094393374,0.1947277144371463,0.8000510836813489,0.03688915785837399,35,False
ROB_L1_control_oulad_f1_s1201_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,35pct,1,1201,0.8044136235197541,0.7021531100478469,0.7544987146529563,0.738628411476557,0.08602878257864924,0.17049915049239633,0.8445408348269288,0.04012721130717467,35,False
ROB_L1_control_oulad_f1_s1201_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,50pct,1,1201,0.8408823596237542,0.720319920019995,0.6826148744670772,0.7962861824139814,0.03825359967049438,0.14021879981468702,0.8804689746226889,0.03958661499893468,35,False
ROB_L1_control_oulad_f1_s1201_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,75pct,1,1201,0.8800595009727484,0.7671743860739819,0.6944288126055149,0.8548168249660787,0.03623620146749399,0.10782322573754301,0.9178633807886915,0.03780387981594302,35,False
ROB_L1_control_oulad_f1_s1201_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,100pct,1,1201,0.916612281926715,0.8312412831241283,0.7399130974549969,0.9030642900060084,0.02486440001681204,0.07723233308775065,0.9403689518513817,0.02375666992466674,35,False
ROB_L1_control_oulad_f1_s2026_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,20pct,1,2026,0.7647408582783802,0.6855969893944578,0.7734465457352374,0.692281935375858,0.03591890403885184,0.18491581109946587,0.7994548694837147,0.03471401120533446,33,False
ROB_L1_control_oulad_f1_s2026_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,35pct,1,2026,0.8058836203803262,0.7044315992292871,0.7832047986289632,0.731630510846746,0.02355811625189215,0.16002739134223967,0.8413702959965186,0.03548667561619234,33,False
ROB_L1_control_oulad_f1_s2026_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,50pct,1,2026,0.8439743732112186,0.7312754247427614,0.7238275698720985,0.7955579828873112,0.04602259843102093,0.13816891044547666,0.8776448488444475,0.03367047563322889,33,False
ROB_L1_control_oulad_f1_s2026_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,75pct,1,2026,0.8810275742357643,0.7689011325374961,0.706809229037704,0.8536538088776895,0.037873732596819955,0.10594830162955583,0.913413294269148,0.03238572003338369,33,False
ROB_L1_control_oulad_f1_s2026_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,100pct,1,2026,0.9160801112049577,0.8333333333333334,0.74487895716946,0.9038654115762067,0.02381973925137833,0.07686742403325778,0.9381182294538711,0.02203811824891344,33,False
G2_L1_control_oulad_f2_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,20pct,2,42,0.7546812975031076,0.6737777777777778,0.7731538147694819,0.6899814157796925,0.07286670990162382,0.18716536359668512,0.7995343652905907,0.0448530677874831,31,False
G2_L1_control_oulad_f2_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,35pct,2,42,0.8023308558421363,0.6988399071925754,0.6820652173913043,0.7713983797111659,0.07117075301780929,0.16199305873571607,0.8385792638817076,0.0362484080395713,31,False
G2_L1_control_oulad_f2_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,50pct,2,42,0.8435314499172776,0.733646013330042,0.7543147208121828,0.8016544117647059,0.032895522505757134,0.12981588008470096,0.8752839150477048,0.03175246513042718,31,False
G2_L1_control_oulad_f2_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,75pct,2,42,0.8863971557714213,0.7802861685214626,0.7303571428571428,0.8658252427184466,0.02350003139956774,0.09582839753777542,0.9114432001156135,0.02504604434419222,31,False
G2_L1_control_oulad_f2_s42_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,100pct,2,42,0.9172924918278108,0.8292349726775956,0.789850357839948,0.9001398042740164,0.014285296221980399,0.07132886238597393,0.9410862969366944,0.023793805108883626,31,False
ROB_L1_control_oulad_f2_s1201_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,20pct,2,1201,0.7514481482347661,0.668999300209937,0.7800897592819257,0.6803514107112688,0.13708727498065026,0.20551923220777812,0.7934569132916373,0.04200876505687112,28,False
ROB_L1_control_oulad_f2_s1201_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,35pct,2,1201,0.799764704314982,0.6992432432432433,0.7323369565217391,0.7550193730186685,0.0948950909589873,0.16862190233297444,0.8360920982088247,0.03632739389384265,28,False
ROB_L1_control_oulad_f2_s1201_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,50pct,2,1201,0.8446783673358962,0.7242759595008241,0.7807106598984772,0.7847426470588236,0.03547669991068474,0.12933077303565338,0.8724735220080959,0.02779515467219973,28,False
ROB_L1_control_oulad_f2_s1201_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,75pct,2,1201,0.8870143114710304,0.7793677204658902,0.6970238095238095,0.8712621359223301,0.024105623004939947,0.0953914338806435,0.9088763906298781,0.021862079158847747,28,False
ROB_L1_control_oulad_f2_s1201_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,100pct,2,1201,0.9153828382754704,0.8313619466035823,0.8002602472348731,0.9003395246654683,0.022363851224846985,0.07198935213062325,0.9381402612398325,0.022757422964362117,28,False
ROB_L1_control_oulad_f2_s2026_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,20pct,2,2026,0.7547275430457915,0.6635262449528937,0.8045695634434924,0.6621050853184659,0.06912848961994764,0.18685710922651952,0.7933091369121428,0.038581593866351294,26,False
ROB_L1_control_oulad_f2_s2026_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,35pct,2,2026,0.7997838656308738,0.6923711340206186,0.7604166666666666,0.7372314195139134,0.04782928392411133,0.15887519170982162,0.8342131505189605,0.03442928488808672,26,False
ROB_L1_control_oulad_f2_s2026_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,50pct,2,2026,0.8417483843949998,0.7241126070991432,0.750761421319797,0.7928308823529412,0.02233271681898795,0.1292328365388292,0.8691903694783395,0.027441985083339726,26,False
ROB_L1_control_oulad_f2_s2026_lr0.00011844319751820385_do0.31959818254342154_tr0.0_rk0.0,L1_control,oulad,75pct,2,2026,0.8834599376510173,0.7737404580152671,0.7541666666666667,0.856116504854369,0.02649655347617649,0.09695228681580483,0.9052684718551819,0.02180853420416462,26,False
