dataset,delta,pr_auc,outer_test_used
uci,S1-S0,0.36667009000344225,False
uci,S2-S1,0.08868889365030042,False
uci,S2-S0,0.45535898365374267,False
oulad,35-20,0.04348399972201822,False
oulad,50-35,0.04248716997672575,False
oulad,75-50,0.04012537116579329,False
oulad,100-75,0.031937043087557404,False
oulad,100-20,0.15803358395209466,False
