strategy,outer_fold,n_train,n_scoring,macro_f1
none,0,252,64,0.8561703996486605
none,1,253,63,0.8235673930589185
none,2,253,63,0.8790671693897499
none,3,253,63,0.8410123898495993
none,4,253,63,0.8627123363965469
class_weight,0,252,64,0.8766887742569395
class_weight,1,253,63,0.7967038809144071
class_weight,2,253,63,0.7981586105879891
class_weight,3,253,63,0.8664160401002506
class_weight,4,253,63,0.7601870822209805
smote,0,252,64,0.8757208579018986
smote,1,253,63,0.8431623931623932
smote,2,253,63,0.8790671693897499
smote,3,253,63,0.9041055718475074
smote,4,253,63,0.8282430213464695
adasyn,0,252,64,0.9074850679883086
adasyn,1,253,63,0.8431623931623932
adasyn,2,253,63,0.8597223636425347
adasyn,3,253,63,0.9171220400728597
adasyn,4,253,63,0.8282430213464695
smote_plus_class_weight,0,252,64,0.8824858757062147
smote_plus_class_weight,1,253,63,0.7697619047619048
smote_plus_class_weight,2,253,63,0.8615334947538337
smote_plus_class_weight,3,253,63,0.6842966826017673
smote_plus_class_weight,4,253,63,0.7777777777777778
