scope,forecast_id,left,right,macro_f1_delta,bootstrap_low,bootstrap_high,records,descriptive_only
development_oof,F1_EARLY,C-H2,C-L0,-0.0009103596075865639,-0.005240512796246743,0.0037248676191647375,16566,True
development_oof,F1_EARLY,C-H1,C-L1,-0.0025804145291958847,-0.006038098493659652,0.0005371533075599233,16566,True
development_oof,F1_EARLY,C-H1,C-C0,0.0056623738944807656,0.0013024361177220974,0.009727744359007001,16566,True
development_oof,F1_EARLY,C-H2,C-H1,0.019745188833966032,0.01440313428868164,0.024267313593889714,16566,True
development_oof,F1_EARLY,C-H2,C-M0,0.0031046734876476467,-0.0008166682694834475,0.007186083720758088,16566,True
development_oof,F2_MIDDLE,C-H2,C-L0,-0.010837134238306123,-0.014768100363020837,-0.005845045771055954,15378,True
development_oof,F2_MIDDLE,C-H1,C-L1,-0.006057961170976123,-0.009806205944048926,-0.0010205655791212984,15378,True
development_oof,F2_MIDDLE,C-H1,C-C0,0.01125067860457607,0.005600548829196111,0.015870789814912422,15378,True
development_oof,F2_MIDDLE,C-H2,C-H1,-0.001386552112260575,-0.005831135395786999,0.0031314379182660066,15378,True
development_oof,F2_MIDDLE,C-H2,C-M0,-0.009857390884726258,-0.014682390055735494,-0.005690107629505032,15378,True
development_oof,F3_LATE,C-H2,C-L0,-0.006472801597845135,-0.010534927373554465,-0.001059220117536552,14549,True
development_oof,F3_LATE,C-H1,C-L1,0.0049753042958382565,0.0011762452901752263,0.00850421791031649,14549,True
development_oof,F3_LATE,C-H1,C-C0,0.009427320847235632,0.004921545126569594,0.013780025326844107,14549,True
development_oof,F3_LATE,C-H2,C-H1,-0.002643402516880111,-0.005971062194833282,0.0003970480911266107,14549,True
development_oof,F3_LATE,C-H2,C-M0,-0.004589625895084715,-0.008411430187218693,-0.0012529196431858933,14549,True
future_presentation,F1_EARLY,C-H2,C-L0,0.000977321348516802,-0.0051871475317774385,0.006952940153847298,8934,True
future_presentation,F1_EARLY,C-H1,C-L1,0.002033413342132362,-0.002924975871075783,0.006008789130166635,8934,True
future_presentation,F1_EARLY,C-H1,C-C0,-0.0001982165082019538,-0.0055150817112464365,0.004612317756000893,8934,True
future_presentation,F1_EARLY,C-H2,C-H1,0.016324915638361692,0.00876570150265443,0.023129454766024005,8934,True
future_presentation,F1_EARLY,C-H2,C-M0,0.0009769373477689358,-0.0056577187785910475,0.007754670283902102,8934,True
future_presentation,F2_MIDDLE,C-H2,C-L0,0.0831671638477034,0.07474445244215647,0.09314804886136743,8164,True
future_presentation,F2_MIDDLE,C-H1,C-L1,0.003847893571939376,-0.001958990058179771,0.009034468422367128,8164,True
future_presentation,F2_MIDDLE,C-H1,C-C0,0.03380960932253485,0.026873888316893,0.040212584462518276,8164,True
future_presentation,F2_MIDDLE,C-H2,C-H1,0.009051176422082419,0.0028110381228172695,0.015072528008958771,8164,True
future_presentation,F2_MIDDLE,C-H2,C-M0,0.008632346138564229,0.00263249806498026,0.014499990626538431,8164,True
future_presentation,F3_LATE,C-H2,C-L0,0.11570455434373172,0.10542840685736014,0.12385465342516311,7613,True
future_presentation,F3_LATE,C-H1,C-L1,0.006039945543270253,0.0007945926759606899,0.011390213070588696,7613,True
future_presentation,F3_LATE,C-H1,C-C0,0.02214796067369862,0.013813686962697396,0.028774318820487532,7613,True
future_presentation,F3_LATE,C-H2,C-H1,-0.002971872567913203,-0.009072329110230612,0.0026150819520151035,7613,True
future_presentation,F3_LATE,C-H2,C-M0,0.006966677134000565,-0.0004442523841892143,0.013181131147971903,7613,True
