stage,candidate_id,outer_fold,inner_fold,seed,trial_number,status,fit_stages_completed,runtime_seconds
outer_evaluation,M1,0,,42,,completed,1,0.21587439999893832
inner_search,M2,0,0,42,0,completed,1,0.01377409999986412
inner_search,M2,0,1,42,0,completed,1,0.01306040000054054
inner_search,M2,0,2,42,0,completed,1,0.01315960000101768
inner_search,M2,0,0,42,1,completed,1,0.015223799999148468
inner_search,M2,0,1,42,1,completed,1,0.01663879999978235
inner_search,M2,0,2,42,1,completed,1,0.017913099998622783
inner_search,M2,0,0,42,2,completed,1,0.01284519999899203
inner_search,M2,0,1,42,2,completed,1,0.011340400000335649
inner_search,M2,0,2,42,2,completed,1,0.012332700000115437
inner_search,M2,0,0,42,3,completed,1,0.01369429999977001
inner_search,M2,0,1,42,3,completed,1,0.013802100000248174
inner_search,M2,0,2,42,3,completed,1,0.013273700000354438
inner_search,M2,0,0,42,4,completed,1,0.010327099998903577
inner_search,M2,0,1,42,4,completed,1,0.009736899999552406
inner_search,M2,0,2,42,4,completed,1,0.01130110000121931
inner_search,M2,0,0,42,5,completed,1,0.013353899999856367
inner_search,M2,0,1,42,5,completed,1,0.012777400001141359
inner_search,M2,0,2,42,5,completed,1,0.012795699998605414
inner_search,M2,0,0,42,6,completed,1,0.010785099999338854
inner_search,M2,0,1,42,6,completed,1,0.011493400001199916
inner_search,M2,0,2,42,6,completed,1,0.01063600000088627
inner_search,M2,0,0,42,7,completed,1,0.012261300000318442
inner_search,M2,0,1,42,7,completed,1,0.011861399998451816
inner_search,M2,0,2,42,7,completed,1,0.01201020000007702
inner_search,M2,0,0,42,8,completed,1,0.012826800000766525
inner_search,M2,0,1,42,8,completed,1,0.012862499999755528
inner_search,M2,0,2,42,8,completed,1,0.01587219999964873
inner_search,M2,0,0,42,9,completed,1,0.012671100001170998
inner_search,M2,0,1,42,9,completed,1,0.01308199999948556
inner_search,M2,0,2,42,9,completed,1,0.012297799999942072
inner_search,M2,0,0,42,10,completed,1,0.01210220000029949
inner_search,M2,0,1,42,10,completed,1,0.011193399999683606
inner_search,M2,0,2,42,10,completed,1,0.012349900000117486
inner_search,M2,0,0,42,11,completed,1,0.01034320000144362
inner_search,M2,0,1,42,11,completed,1,0.01073510000060196
inner_search,M2,0,2,42,11,completed,1,0.01047409999955562
inner_search,M2,0,0,42,12,completed,1,0.009991300001274794
inner_search,M2,0,1,42,12,completed,1,0.010946300000796327
inner_search,M2,0,2,42,12,completed,1,0.010733500001151697
inner_search,M2,0,0,42,13,completed,1,0.011501099999804865
inner_search,M2,0,1,42,13,completed,1,0.010967000000164262
inner_search,M2,0,2,42,13,completed,1,0.010455100000399398
inner_search,M2,0,0,42,14,completed,1,0.010640599999533151
inner_search,M2,0,1,42,14,completed,1,0.01092140000037034
inner_search,M2,0,2,42,14,completed,1,0.01080780000120285
inner_search,M2,0,0,42,15,completed,1,0.013024300000324729
inner_search,M2,0,1,42,15,completed,1,0.013054499999270774
inner_search,M2,0,2,42,15,completed,1,0.013264600000184146
inner_search,M2,0,0,42,16,completed,1,0.01243360000080429
inner_search,M2,0,1,42,16,completed,1,0.012230199999976321
inner_search,M2,0,2,42,16,completed,1,0.012616600000910694
inner_search,M2,0,0,42,17,completed,1,0.009926000000632484
inner_search,M2,0,1,42,17,completed,1,0.009768399999302346
inner_search,M2,0,2,42,17,completed,1,0.01077889999942272
inner_search,M2,0,0,42,18,completed,1,0.009851000000708154
inner_search,M2,0,1,42,18,completed,1,0.010002400000303169
inner_search,M2,0,2,42,18,completed,1,0.01134240000101272
inner_search,M2,0,0,42,19,completed,1,0.011411599998609745
inner_search,M2,0,1,42,19,completed,1,0.010654100000465405
inner_search,M2,0,2,42,19,completed,1,0.01164020000032906
inner_search,M2,0,0,42,20,completed,1,0.011263100001087878
inner_search,M2,0,1,42,20,completed,1,0.012083399999028188
inner_search,M2,0,2,42,20,completed,1,0.011659899999358458
inner_search,M2,0,0,42,21,completed,1,0.010010799998781295
inner_search,M2,0,1,42,21,completed,1,0.01045690000137256
inner_search,M2,0,2,42,21,completed,1,0.010212600000159
inner_search,M2,0,0,42,22,completed,1,0.009602399999494082
inner_search,M2,0,1,42,22,completed,1,0.010392800000772695
inner_search,M2,0,2,42,22,completed,1,0.010276000000885688
inner_search,M2,0,0,42,23,completed,1,0.012106199999834644
inner_search,M2,0,1,42,23,completed,1,0.01240959999995539
inner_search,M2,0,2,42,23,completed,1,0.011348999998517684
inner_search,M2,0,0,42,24,completed,1,0.010932099999990896
inner_search,M2,0,1,42,24,completed,1,0.011592200000450248
inner_search,M2,0,2,42,24,completed,1,0.01207799999974668
inner_search,M2,0,0,42,25,completed,1,0.010828700000274694
inner_search,M2,0,1,42,25,completed,1,0.010589299999992363
inner_search,M2,0,2,42,25,completed,1,0.010349300000598305
inner_search,M2,0,0,42,26,completed,1,0.011517500000991276
inner_search,M2,0,1,42,26,completed,1,0.011956400001508882
inner_search,M2,0,2,42,26,completed,1,0.01180709999971441
inner_search,M2,0,0,42,27,completed,1,0.010732099999586353
inner_search,M2,0,1,42,27,completed,1,0.009969999999157153
inner_search,M2,0,2,42,27,completed,1,0.01163020000058168
inner_search,M2,0,0,42,28,completed,1,0.01060430000143242
