outer_fold,stage,mlp_only_correct_rate,hybrid_only_correct_rate,both_correct_rate,both_wrong_rate,prediction_disagreement_rate,probability_correlation
0,E1_EARLY_20PCT,0.06894055912421967,0.07464036913055279,0.6427214330950873,0.21369763865014024,0.14358092825477245,0.8802085359919825
0,E2_EARLY_35PCT,0.04555273786043017,0.05062458908612755,0.7098713252559407,0.19395134779750164,0.09617732694655771,0.9355018031495157
0,M1_MIDDLE_FROZEN,0.030122830961201014,0.036946773250146225,0.7738350555663872,0.15909534022226554,0.06706960421134724,0.9592156089426519
0,L1_LATE_75PCT,0.025890298812934916,0.024048301268931642,0.8382112157183791,0.1118501841997544,0.049938600081866555,0.9696624654948915
1,E1_EARLY_20PCT,0.05591748099891422,0.06017010495837857,0.6580709373868983,0.2258414766558089,0.1160875859572928,0.9078005493808337
1,E2_EARLY_35PCT,0.04161969184517099,0.04302893649004134,0.7167418263810598,0.19860954528372793,0.08464862833521232,0.9475766346368447
1,M1_MIDDLE_FROZEN,0.0338884019865615,0.036030772227091244,0.7715454279871458,0.15853539779920148,0.06991917421365273,0.9657059243444583
1,L1_LATE_75PCT,0.02069672131147541,0.022848360655737705,0.848155737704918,0.10829918032786885,0.043545081967213115,0.9784460244545518
2,E1_EARLY_20PCT,0.06039720685589916,0.06728938061122698,0.6476829600072549,0.22463045252561895,0.12768658746712613,0.899743611568324
2,E2_EARLY_35PCT,0.04292047920007547,0.04895764550514103,0.7094613715687199,0.1986605037260636,0.09187812470521649,0.9395227209387311
2,M1_MIDDLE_FROZEN,0.031185844168540425,0.036367191318799494,0.771727441587643,0.16071952292501712,0.06755303548733992,0.9593051408399723
2,L1_LATE_75PCT,0.015198192647360855,0.018792359827479975,0.8504826453070445,0.11552680221811461,0.03399055247484083,0.9748252987272151
