stage,mlp_macro_f1,h0_macro_f1,h1_macro_f1,mlp_minus_h0,h1_minus_h0,h1_minus_mlp,h1_minus_h0_pr_auc,h1_minus_h0_nll
20%,0.7006168281759654,0.7055285432944832,0.7091100524480413,-0.004911715118517845,0.003581509153558038,0.008493224272075883,0.003912155020715291,-0.0021254040725618983
35%,0.7403460844055717,0.7447505900100516,0.7474216982901635,-0.004404505604479914,0.0026711082801118557,0.007075613884591769,0.003147521214344695,-0.0028075637057556335
50%,0.7889303736992813,0.7943212774293203,0.7945596575269782,-0.005390903730039032,0.00023838009765786428,0.005629283827696896,0.0012386344250595593,-0.0012600048013548526
75%,0.8484936149710071,0.8497907491388137,0.8516170348346924,-0.001297134167806635,0.0018262856958787266,0.0031234198636853616,0.0021456062196887338,-0.0034495483882291955
