phase,candidate,outer_fold,seed,stage,macro_f1,pr_auc,nll,brier,ece,roc_auc,threshold
screening,M0_MLP,0,42,E1_EARLY_20PCT,0.7046083470029676,0.7527753999291846,0.5807106014800927,0.1945153592428463,0.057321492281896654,0.7652063094437658,0.47625651540392644
screening,M0_MLP,0,42,E2_EARLY_35PCT,0.744149850469786,0.8062902197759663,0.5030926857236643,0.1665473415555598,0.03618149456224584,0.8181426395364357,0.4793155542599686
screening,M0_MLP,0,42,M1_MIDDLE_FROZEN,0.7902207655738153,0.8519390349103589,0.4273593901982434,0.13791485147243504,0.029123931199626,0.8647309468547755,0.4628549719865981
screening,M0_MLP,0,42,L1_LATE_75PCT,0.846344014596898,0.8989192781846619,0.33032683264942186,0.10180438808746083,0.023101813862255745,0.9125245585129318,0.5280424371822173
screening,M0_MLP,1,42,E1_EARLY_20PCT,0.7051927621766856,0.7553653345300336,0.5724682945282744,0.19151285835458762,0.04698141498837844,0.7711888157168366,0.48138871332957917
screening,M0_MLP,1,42,E2_EARLY_35PCT,0.7446087478388217,0.8093436050638644,0.4957421433539861,0.1633440978803247,0.030183056514911464,0.8253181772454437,0.5047597660498634
screening,M0_MLP,1,42,M1_MIDDLE_FROZEN,0.7904848804092528,0.8570527055379873,0.4190306039875057,0.13502630691864545,0.02618829348481389,0.8707878609884943,0.4840611678496037
screening,M0_MLP,1,42,L1_LATE_75PCT,0.85401012206459,0.9063549761898672,0.3171699749566565,0.09675894564402542,0.02138712209948123,0.9188789463678526,0.4373657367194228
screening,M0_MLP,2,42,E1_EARLY_20PCT,0.6971810408557062,0.7408404627325116,0.5931677909213733,0.1958702195929762,0.04527853213008392,0.760193380762886,0.47293734785093505
screening,M0_MLP,2,42,E2_EARLY_35PCT,0.7394008301583268,0.7972924022781434,0.5139788901799807,0.1680515761013035,0.031634408675947454,0.8124789843356414,0.45529954205218676
screening,M0_MLP,2,42,M1_MIDDLE_FROZEN,0.7878102176261769,0.8478749599992974,0.4307802953260379,0.13778612799039508,0.026332577096527813,0.8634973501397322,0.44732885504264835
screening,M0_MLP,2,42,L1_LATE_75PCT,0.8469084048296607,0.8990894578286893,0.33216299565845275,0.1002796300271477,0.0250581953268389,0.9130083041334254,0.5158668452029939
screening,H0_CURRENT_HYBRID,0,42,E1_EARLY_20PCT,0.7078044214706314,0.7606932872739729,0.5609640610952604,0.1907274134911246,0.05038309366179626,0.7750511739236724,0.5410787463188171
screening,H0_CURRENT_HYBRID,0,42,E2_EARLY_35PCT,0.7453944747576217,0.8098643795630878,0.4932995309011644,0.16420262571623268,0.033454890530778617,0.8233058105048557,0.5371037125587463
screening,H0_CURRENT_HYBRID,0,42,M1_MIDDLE_FROZEN,0.7964832389950924,0.8573365792506829,0.41512567651802534,0.13396159166450736,0.01101233105656928,0.8710337138285316,0.47516071796417236
screening,H0_CURRENT_HYBRID,0,42,L1_LATE_75PCT,0.8464902075754972,0.900192516733605,0.323108757290562,0.10006841088554122,0.008670203162054512,0.9139320167520018,0.44191834330558777
screening,H0_CURRENT_HYBRID,1,42,E1_EARLY_20PCT,0.708721464317543,0.7597453491909705,0.5568677057393405,0.1886864930058232,0.03233577446136362,0.7742198985737399,0.5116491317749023
screening,H0_CURRENT_HYBRID,1,42,E2_EARLY_35PCT,0.7464120110443939,0.8086080332921413,0.4912688354274075,0.16289173806410376,0.013732043371774878,0.8224871828918133,0.48122143745422363
screening,H0_CURRENT_HYBRID,1,42,M1_MIDDLE_FROZEN,0.795504496865662,0.8567932909881278,0.41729027393188645,0.13466989027325943,0.021671200218817334,0.8691806369778302,0.38408827781677246
