ablation,mean_stage_macro_f1
H1_FULL,0.7756771107749688
H1_WITH_RESIDUAL_TABULAR_LOGIT_DISABLED,0.7622888683522469
H1_WITH_TEMPORAL_BRANCH_DISABLED,0.7577377319313259
