phase,candidate,outer_fold,seed,inner_fold,stage,alpha_mean,alpha_std,residual_logit_abs_mean,hybrid_logit_abs_mean,logit_correlation,residual_changes_class_fraction_at_0_5
screening,H1_TABULAR_RESIDUAL_EXPERT,0,42,0,E1_EARLY_20PCT,0.065414197742939,7.450580596923828e-09,0.4367217719554901,0.7516472339630127,0.7881596637071103,0.11521739130434783
screening,H1_TABULAR_RESIDUAL_EXPERT,0,42,0,E2_EARLY_35PCT,0.065414197742939,7.450580596923828e-09,0.5113630294799805,0.9843626022338867,0.8448545658495707,0.07695202257761054
screening,H1_TABULAR_RESIDUAL_EXPERT,0,42,0,M1_MIDDLE_FROZEN,0.065414197742939,7.450580596923828e-09,0.5994431972503662,1.3374501466751099,0.8957987791282547,0.054960046774507894
screening,H1_TABULAR_RESIDUAL_EXPERT,0,42,0,L1_LATE_75PCT,0.065414197742939,7.450580596923828e-09,0.7092239856719971,1.7162609100341797,0.9488421062067949,0.026794845571691553
screening,H1_TABULAR_RESIDUAL_EXPERT,0,42,1,E1_EARLY_20PCT,0.06656181067228317,0.0,0.4250381886959076,0.7342562675476074,0.6631904958127917,0.12506777516717874
screening,H1_TABULAR_RESIDUAL_EXPERT,0,42,1,E2_EARLY_35PCT,0.06656181067228317,0.0,0.5125925540924072,0.9623895883560181,0.7455477306969291,0.08870967741935484
screening,H1_TABULAR_RESIDUAL_EXPERT,0,42,1,M1_MIDDLE_FROZEN,0.06656181067228317,0.0,0.6064539551734924,1.315023422241211,0.8203170180683156,0.05032182562902282
screening,H1_TABULAR_RESIDUAL_EXPERT,0,42,1,L1_LATE_75PCT,0.06656181067228317,0.0,0.6880682706832886,1.6749792098999023,0.9201712858145251,0.02068400573417981
screening,H1_TABULAR_RESIDUAL_EXPERT,1,42,0,E1_EARLY_20PCT,0.06969497352838516,7.450580596923828e-09,0.6027994155883789,0.7380399107933044,0.6383080691018304,0.18621064060803474
screening,H1_TABULAR_RESIDUAL_EXPERT,1,42,0,E2_EARLY_35PCT,0.06969497352838516,7.450580596923828e-09,0.6965228915214539,1.0049517154693604,0.7475365670408185,0.11090154658619389
screening,H1_TABULAR_RESIDUAL_EXPERT,1,42,0,M1_MIDDLE_FROZEN,0.06969497352838516,7.450580596923828e-09,0.8020007610321045,1.3932856321334839,0.8504328137366068,0.06517073170731708
screening,H1_TABULAR_RESIDUAL_EXPERT,1,42,0,L1_LATE_75PCT,0.06969496607780457,0.0,0.9775306582450867,1.7824211120605469,0.9155151271778919,0.03326488706365503
screening,H1_TABULAR_RESIDUAL_EXPERT,1,42,1,E1_EARLY_20PCT,0.06922817975282669,0.0,0.509679913520813,0.7922630906105042,0.7301220666327682,0.1407889974665219
screening,H1_TABULAR_RESIDUAL_EXPERT,1,42,1,E2_EARLY_35PCT,0.06922817975282669,0.0,0.592311680316925,1.059637188911438,0.7799831223087288,0.11044552602021715
screening,H1_TABULAR_RESIDUAL_EXPERT,1,42,1,M1_MIDDLE_FROZEN,0.06922817975282669,0.0,0.7114837765693665,1.4893791675567627,0.852097632741299,0.07173405909797823
screening,H1_TABULAR_RESIDUAL_EXPERT,1,42,1,L1_LATE_75PCT,0.06922817975282669,0.0,0.802741527557373,1.990221619606018,0.9165437468790615,0.03251533742331288
screening,H1_TABULAR_RESIDUAL_EXPERT,2,42,0,E1_EARLY_20PCT,0.06979656964540482,0.0,0.6092316508293152,0.8266916871070862,0.7725430643537559,0.18686502177068215
screening,H1_TABULAR_RESIDUAL_EXPERT,2,42,0,E2_EARLY_35PCT,0.06979656964540482,0.0,0.7249283790588379,0.9889767169952393,0.7977345738520828,0.1389151389151389
screening,H1_TABULAR_RESIDUAL_EXPERT,2,42,0,M1_MIDDLE_FROZEN,0.06979656964540482,0.0,0.8772762417793274,1.2874473333358765,0.8630238830624211,0.0728126834997064
screening,H1_TABULAR_RESIDUAL_EXPERT,2,42,0,L1_LATE_75PCT,0.06979656964540482,0.0,1.0530258417129517,1.6389572620391846,0.9467630190820748,0.02379975379565039
