stage,mlp_only_correct_rate,hybrid_only_correct_rate,prediction_disagreement_rate,probability_correlation
E1_EARLY_20PCT,0.06175174899301097,0.06736661823338604,0.1291183672263971,0.8959175656470467
E2_EARLY_35PCT,0.0433643029685588,0.047537057027103265,0.09090135999566214,0.9408670529083638
L1_LATE_75PCT,0.020595070923923698,0.02189634058404973,0.04249141150797347,0.9743112628922196
M1_MIDDLE_FROZEN,0.03173235903876764,0.03644824559867893,0.06818060463744659,0.9614088913756943
