outer_fold,stage,metric,mlp,hybrid,mlp_minus_hybrid
0,E1_EARLY_20PCT,macro_f1,0.7046083470029676,0.7078044214706314,-0.0031960744676637898
0,E1_EARLY_20PCT,pr_auc,0.7527753999291846,0.7606932872739729,-0.007917887344788266
0,E1_EARLY_20PCT,nll,0.5807106014800927,0.5609640610952604,0.019746540384832256
0,E1_EARLY_20PCT,brier,0.1945153592428463,0.1907274134911246,0.0037879457517216997
0,E1_EARLY_20PCT,ece,0.057321492281896654,0.05038309366179626,0.006938398620100393
0,E2_EARLY_35PCT,macro_f1,0.744149850469786,0.7453944747576217,-0.0012446242878356717
0,E2_EARLY_35PCT,pr_auc,0.8062902197759663,0.8098643795630878,-0.0035741597871215003
0,E2_EARLY_35PCT,nll,0.5030926857236643,0.4932995309011644,0.009793154822499872
0,E2_EARLY_35PCT,brier,0.1665473415555598,0.16420262571623268,0.002344715839327133
0,E2_EARLY_35PCT,ece,0.03618149456224584,0.033454890530778617,0.002726604031467225
0,M1_MIDDLE_FROZEN,macro_f1,0.7902207655738153,0.7964832389950924,-0.0062624734212771704
0,M1_MIDDLE_FROZEN,pr_auc,0.8519390349103589,0.8573365792506829,-0.005397544340323912
0,M1_MIDDLE_FROZEN,nll,0.4273593901982434,0.41512567651802534,0.012233713680218083
0,M1_MIDDLE_FROZEN,brier,0.13791485147243504,0.13396159166450736,0.003953259807927684
0,M1_MIDDLE_FROZEN,ece,0.029123931199626,0.01101233105656928,0.018111600143056718
0,L1_LATE_75PCT,macro_f1,0.846344014596898,0.8464902075754972,-0.00014619297859919111
0,L1_LATE_75PCT,pr_auc,0.8989192781846619,0.900192516733605,-0.001273238548943123
0,L1_LATE_75PCT,nll,0.33032683264942186,0.323108757290562,0.007218075358859877
0,L1_LATE_75PCT,brier,0.10180438808746083,0.10006841088554122,0.0017359772019196057
0,L1_LATE_75PCT,ece,0.023101813862255745,0.008670203162054512,0.014431610700201233
1,E1_EARLY_20PCT,macro_f1,0.7051927621766856,0.708721464317543,-0.0035287021408574315
1,E1_EARLY_20PCT,pr_auc,0.7553653345300336,0.7597453491909705,-0.0043800146609368484
