candidate,run_count,parameter_count,mean_stage_macro_f1,worst_stage_macro_f1,mean_stage_pr_auc,mean_stage_nll,mean_stage_brier,mean_stage_ece,macro_f1_std
H0_CURRENT_HYBRID,6,150202,0.7735977899681671,0.7055285432944833,0.8293286077439405,0.4482924275078201,0.14702898129864417,0.020063538071292995,0.0009530869298141697
H1_TABULAR_RESIDUAL_EXPERT,6,160492,0.7756771107749688,0.7091100524480414,0.8319395869638927,0.4458817972658447,0.14616719249174628,0.022038667080246543,0.0018938709274707336
M0_MLP,6,13569,0.7695967253129564,0.7006168281759656,0.8231900403541257,0.46751914253875126,0.15104920953152176,0.03943924075064649,0.0037295744394452318
