candidate,outer_fold,seed,stage,brier,ece,macro_f1,nll,pr_auc,roc_auc,threshold
H0_CURRENT_HYBRID,0,1201,E1_EARLY_20PCT,0.1914166987043094,0.050650675193865256,0.7058465258756159,0.5633298396366213,0.7577078856173599,0.7742086078337649,0.5108636021614075
H0_CURRENT_HYBRID,0,1201,E2_EARLY_35PCT,0.165728247055987,0.03302546175035992,0.7424668965651862,0.49776450108940223,0.8063660829632708,0.8200498608605629,0.5103709101676941
H0_CURRENT_HYBRID,0,1201,L1_LATE_75PCT,0.10136032310505876,0.01135372411043392,0.8451510844047079,0.32653512565618836,0.8991133136846201,0.9127980250021883,0.46046167612075806
H0_CURRENT_HYBRID,0,1201,M1_MIDDLE_FROZEN,0.13524236411872062,0.014491965289709391,0.7957597218423984,0.41857304788808825,0.8555555111527984,0.8693658457370543,0.4482174217700958
H0_CURRENT_HYBRID,0,2026,E1_EARLY_20PCT,0.18764170624664056,0.015265256237910363,0.708034847603225,0.5540996564506625,0.7617336435564446,0.7756863409160191,0.4801156222820282
H0_CURRENT_HYBRID,0,2026,E2_EARLY_35PCT,0.16374038127386814,0.015195736889507431,0.7476050536546568,0.49274869166402135,0.8082601958300721,0.8214211068720376,0.45650991797447205
H0_CURRENT_HYBRID,0,2026,L1_LATE_75PCT,0.10070942307768552,0.015399094289408876,0.8468942260935749,0.3254603218968969,0.9002426746251031,0.9131143582398429,0.4408310651779175
H0_CURRENT_HYBRID,0,2026,M1_MIDDLE_FROZEN,0.13486084919587388,0.023424783272337883,0.7958160743244563,0.41743894781563445,0.8562610657519527,0.8698019431396002,0.4103982746601105
H0_CURRENT_HYBRID,1,1201,E1_EARLY_20PCT,0.18872169039510092,0.028314279850775934,0.7057266790150054,0.5565137640539535,0.7587980194022457,0.7730251639730071,0.4561750292778015
H0_CURRENT_HYBRID,1,1201,E2_EARLY_35PCT,0.16322171990182743,0.021052858243811534,0.7447431616509366,0.4916905840562244,0.8074360459774884,0.8227720779834493,0.48233094811439514
H0_CURRENT_HYBRID,1,1201,L1_LATE_75PCT,0.09751560924578453,0.019698036466648826,0.8542071688247126,0.31659622723350317,0.9047067271148823,0.9174257133026463,0.4650585353374481
H0_CURRENT_HYBRID,1,1201,M1_MIDDLE_FROZEN,0.13352533044977888,0.012218153587214986,0.7957904267556701,0.4129577226741833,0.858080005832272,0.8717492165633478,0.4155789911746979
H0_CURRENT_HYBRID,1,2026,E1_EARLY_20PCT,0.19077707217041107,0.014700875398805727,0.7034275095827327,0.5626034085798856,0.7489606618268114,0.7686492077578055,0.4563208818435669
H0_CURRENT_HYBRID,1,2026,E2_EARLY_35PCT,0.16483887677237968,0.02193002380593093,0.7442913456653701,0.4958744113952873,0.8040963651786852,0.820418191857121,0.47080549597740173
H0_CURRENT_HYBRID,1,2026,L1_LATE_75PCT,0.09779064220299856,0.014361076484449571,0.8540542891943623,0.31824408467073734,0.9032486260671858,0.9153746429149705,0.5360645651817322
H0_CURRENT_HYBRID,1,2026,M1_MIDDLE_FROZEN,0.13490430682177296,0.01619131492438317,0.7910762714366667,0.41715416977099223,0.8558823142368835,0.8693572306566627,0.43211501836776733
H0_CURRENT_HYBRID,2,1201,E1_EARLY_20PCT,0.1893963746061486,0.03065201887355664,0.7062148615978433,0.5581859188748463,0.7551923755066212,0.7726167284158978,0.48663148283958435
H0_CURRENT_HYBRID,2,1201,E2_EARLY_35PCT,0.16399107131973092,0.012302211558281295,0.7445675953226714,0.4942342156609578,0.8021771113884573,0.8212604382681334,0.47058558464050293
H0_CURRENT_HYBRID,2,1201,L1_LATE_75PCT,0.09965462634652246,0.014026856520816665,0.8491997951376444,0.32364961727098684,0.8981673789024742,0.9118944887540303,0.5123311281204224
H0_CURRENT_HYBRID,2,1201,M1_MIDDLE_FROZEN,0.13517980689835205,0.01683537267102607,0.7927719965074829,0.4187748275942069,0.8519290803997405,0.8677597255305658,0.4534483551979065
H0_CURRENT_HYBRID,2,2026,E1_EARLY_20PCT,0.19028901013833577,0.03530551723435209,0.7039208360924771,0.5604890341553213,0.7557606229638565,0.7702720438411194,0.46234214305877686
H0_CURRENT_HYBRID,2,2026,E2_EARLY_35PCT,0.16372994827550286,0.021492974793823262,0.7448294872014886,0.4939262009663466,0.8038363514034328,0.8215606437383571,0.45923730731010437
