outer_fold,seed,H0_CURRENT_HYBRID,H1_TABULAR_RESIDUAL_EXPERT,M0_MLP,h1_minus_h0,h1_minus_mlp
0,1201,0.7723060571719771,0.7736890286238157,0.7705880434714476,0.0013829714518386327,0.0031009851523681187
0,2026,0.7745875504189782,0.7750166452156064,0.7691297129097397,0.0004290947966282266,0.005886932305866677
1,1201,0.7751168590615812,0.7785734005105124,0.7708575806348923,0.0034565414489311497,0.007715819875620089
1,2026,0.7732123539697829,0.7778510429116031,0.7745474399654559,0.004638688941820179,0.003303602946147177
2,1201,0.7731885621414105,0.7752028431427089,0.7621378096869976,0.0020142810012984125,0.013065033455711306
2,2026,0.7731753570452733,0.7737297042455662,0.7703197652092049,0.000554347200292904,0.0034099390363613313
