schema_name,table_name,constraint_name,constraint_type,definition,validated
public,ml_recommendations,chk_ml_recommendations_explanation_object,c,CHECK (jsonb_typeof(explanation) = 'object'::text),True
public,ml_recommendations,chk_ml_recommendations_learning_path_object,c,CHECK (jsonb_typeof(learning_path) = 'object'::text),True
public,ml_recommendations,chk_ml_recommendations_policy,c,CHECK (length(TRIM(BOTH FROM policy_version)) > 0),True
public,ml_recommendations,chk_ml_recommendations_risk_band,c,CHECK (length(TRIM(BOTH FROM risk_band)) > 0),True
public,ml_recommendations,ml_recommendations_pkey,p,PRIMARY KEY (recommendation_id),True
public,ml_recommendations,ml_recommendations_prediction_id_fkey,f,FOREIGN KEY (prediction_id) REFERENCES ml_predictions(prediction_id) ON DELETE CASCADE,True
public,ml_recommendations,uq_ml_recommendations_prediction_policy,u,"UNIQUE (prediction_id, policy_version)",True
public,ml_run_metrics,chk_ml_run_metrics_context_object,c,CHECK (jsonb_typeof(metric_context) = 'object'::text),True
public,ml_run_metrics,chk_ml_run_metrics_label_scope,c,CHECK (length(TRIM(BOTH FROM label_scope)) > 0),True
public,ml_run_metrics,chk_ml_run_metrics_name,c,CHECK (length(TRIM(BOTH FROM metric_name)) > 0),True
public,ml_run_metrics,chk_ml_run_metrics_split,c,"CHECK (split_name::text = ANY (ARRAY['train'::character varying, 'validation'::character varying, 'test'::character varying]::text[]))",True
public,ml_run_metrics,ml_run_metrics_pkey,p,PRIMARY KEY (metric_id),True
public,ml_run_metrics,ml_run_metrics_run_id_fkey,f,FOREIGN KEY (run_id) REFERENCES ml_experiment_runs(run_id) ON DELETE RESTRICT,True
public,ml_run_metrics,uq_ml_run_metrics_key,u,"UNIQUE (run_id, split_name, metric_name, label_scope)",True
public,ml_run_record_splits,chk_ml_run_record_splits_exclusion_reason,c,CHECK (split_name::text = 'excluded'::text AND exclusion_reason IS NOT NULL AND length(TRIM(BOTH FROM exclusion_reason)) > 0 OR split_name::text <> 'excluded'::text AND exclusion_reason IS NULL),True
public,ml_run_record_splits,chk_ml_run_record_splits_name,c,"CHECK (split_name::text = ANY (ARRAY['train'::character varying, 'validation'::character varying, 'test'::character varying, 'excluded'::character varying]::text[]))",True
public,ml_run_record_splits,fk_ml_run_record_splits_run_dataset,f,"FOREIGN KEY (run_id, dataset_version_id) REFERENCES ml_experiment_runs(run_id, dataset_version_id) ON DELETE RESTRICT",True
public,ml_run_record_splits,fk_ml_run_record_splits_source_record,f,"FOREIGN KEY (dataset_version_id, record_id) REFERENCES source_records(dataset_version_id, record_id) ON DELETE RESTRICT",True
public,ml_run_record_splits,pk_ml_run_record_splits,p,"PRIMARY KEY (run_id, record_id)",True
public,ml_run_record_splits,uq_ml_run_record_splits_prediction_ref,u,"UNIQUE (run_id, record_id, split_name)",True
public,ml_schema_migrations,ml_schema_migrations_migration_sha256_check,c,CHECK (migration_sha256 ~ '^[0-9a-f]{64}$'::text),True
public,ml_schema_migrations,ml_schema_migrations_pkey,p,PRIMARY KEY (migration_id),True
public,paper_evaluation_metrics,paper_evaluation_metrics_pkey,p,PRIMARY KEY (metric_id),True
public,paper_evaluation_metrics,paper_evaluation_metrics_run_id_fkey,f,FOREIGN KEY (run_id) REFERENCES paper_runs(paper_run_id) ON DELETE SET NULL,True
public,paper_learning_recommendations,paper_learning_recommendations_pkey,p,PRIMARY KEY (recommendation_id),True
public,paper_learning_recommendations,paper_learning_recommendations_run_id_fkey,f,FOREIGN KEY (run_id) REFERENCES paper_runs(paper_run_id) ON DELETE SET NULL,True
public,paper_predictions,paper_predictions_pkey,p,PRIMARY KEY (paper_prediction_id),True
public,paper_predictions,paper_predictions_run_id_fkey,f,FOREIGN KEY (run_id) REFERENCES paper_runs(paper_run_id) ON DELETE SET NULL,True
public,paper_runs,paper_runs_pkey,p,PRIMARY KEY (paper_run_id),True
public,prediction_cohorts,prediction_cohorts_cohort_hash_check,c,CHECK (cohort_hash ~ '^[0-9a-f]{64}$'::text),True
public,prediction_cohorts,prediction_cohorts_cohort_id_key,u,UNIQUE (cohort_id),True
public,prediction_cohorts,prediction_cohorts_dataset_version_id_fkey,f,FOREIGN KEY (dataset_version_id) REFERENCES source_dataset_versions(dataset_version_id),True
public,prediction_cohorts,prediction_cohorts_pkey,p,PRIMARY KEY (prediction_cohort_id),True
public,prediction_cohorts,prediction_cohorts_record_count_check,c,CHECK (record_count >= 0),True
public,snapshot_record_index,snapshot_record_index_cutoff_feature_snapshot_id_fkey,f,FOREIGN KEY (cutoff_feature_snapshot_id) REFERENCES cutoff_feature_snapshots(cutoff_feature_snapshot_id),True
public,snapshot_record_index,snapshot_record_index_cutoff_feature_snapshot_id_row_index_key,u,"UNIQUE (cutoff_feature_snapshot_id, row_index)",True
public,snapshot_record_index,snapshot_record_index_pkey,p,"PRIMARY KEY (cutoff_feature_snapshot_id, record_id)",True
public,snapshot_record_index,snapshot_record_index_record_id_check,c,CHECK (record_id ~ '^[0-9a-f]{64}$'::text),True
public,snapshot_record_index,snapshot_record_index_row_index_check,c,CHECK (row_index >= 0),True
public,source_dataset_files,source_dataset_files_dataset_version_id_fkey,f,FOREIGN KEY (dataset_version_id) REFERENCES source_dataset_versions(dataset_version_id),True
public,source_dataset_files,source_dataset_files_dataset_version_id_logical_name_sha256_key,u,"UNIQUE (dataset_version_id, logical_name, sha256)",True
public,source_dataset_files,source_dataset_files_pkey,p,PRIMARY KEY (source_dataset_file_id),True
public,source_dataset_files,source_dataset_files_row_count_check,c,CHECK (row_count >= 0),True
public,source_dataset_files,source_dataset_files_sha256_check,c,CHECK (sha256 ~ '^[0-9a-f]{64}$'::text),True
public,source_dataset_versions,chk_source_dataset_versions_contract_hash_algorithm,c,CHECK (ingestion_contract_hash_algorithm::text = 'sha256'::text),True
public,source_dataset_versions,chk_source_dataset_versions_contract_object,c,CHECK (jsonb_typeof(ingestion_contract) = 'object'::text),True
public,source_dataset_versions,chk_source_dataset_versions_hash_algorithm,c,CHECK (hash_algorithm::text = 'sha256'::text),True
public,source_dataset_versions,chk_source_dataset_versions_metadata_object,c,CHECK (jsonb_typeof(metadata) = 'object'::text),True
public,source_dataset_versions,chk_source_dataset_versions_row_count,c,CHECK (row_count >= 0),True
public,source_dataset_versions,source_dataset_versions_pkey,p,PRIMARY KEY (dataset_version_id),True
public,source_dataset_versions,uq_source_dataset_version_identity,u,"UNIQUE (dataset_code, hash_algorithm, content_hash, ingestion_contract_hash_algorithm, ingestion_contract_hash)",True
public,source_record_targets,chk_source_record_targets_encoded,c,CHECK (encoded_target_value >= 0),True
public,source_record_targets,chk_source_record_targets_raw_object,c,CHECK (raw_target_value IS NOT NULL),True
public,source_record_targets,fk_source_record_targets_source_record,f,"FOREIGN KEY (dataset_version_id, record_id) REFERENCES source_records(dataset_version_id, record_id) ON DELETE RESTRICT",True
public,source_record_targets,pk_source_record_targets,p,"PRIMARY KEY (dataset_version_id, record_id, target_name)",True
public,source_records,chk_source_records_payload_object,c,CHECK (jsonb_typeof(raw_payload) = 'object'::text),True
public,source_records,chk_source_records_row_number,c,CHECK (source_row_number >= 0),True
public,source_records,source_records_dataset_version_id_fkey,f,FOREIGN KEY (dataset_version_id) REFERENCES source_dataset_versions(dataset_version_id) ON DELETE RESTRICT,True
public,source_records,source_records_pkey,p,PRIMARY KEY (record_id),True
public,source_records,uq_source_records_dataset_record,u,"UNIQUE (dataset_version_id, record_id)",True
public,source_records,uq_source_records_dataset_row,u,"UNIQUE (dataset_version_id, source_row_number)",True
public,split_manifest_registry,split_manifest_registry_manifest_sha256_check,c,CHECK (manifest_sha256 ~ '^[0-9a-f]{64}$'::text),True
public,split_manifest_registry,split_manifest_registry_pkey,p,PRIMARY KEY (split_manifest_registry_id),True
public,split_manifest_registry,split_manifest_registry_prediction_cohort_id_fkey,f,FOREIGN KEY (prediction_cohort_id) REFERENCES prediction_cohorts(prediction_cohort_id),True
public,split_manifest_registry,split_manifest_registry_prediction_cohort_id_split_role_man_key,u,"UNIQUE (prediction_cohort_id, split_role, manifest_sha256)",True
public,split_manifest_registry,split_manifest_registry_split_role_check,c,"CHECK (split_role = ANY (ARRAY['historical_development'::text, 'outer_cv'::text, 'inner_cv'::text, 'future_presentation'::text, 'excluded_overlap'::text, 'descriptive_only'::text]))",True
public,student_grades,student_grades_pkey,p,PRIMARY KEY (grade_id),True
public,student_grades,student_grades_student_id_fkey,f,FOREIGN KEY (student_id) REFERENCES students(student_id) ON DELETE SET NULL,True
public,students,students_pkey,p,PRIMARY KEY (student_id),True
public,study_extension_runs,study_extension_runs_dataset_version_id_fkey,f,FOREIGN KEY (dataset_version_id) REFERENCES source_dataset_versions(dataset_version_id),True
public,study_extension_runs,study_extension_runs_pkey,p,PRIMARY KEY (extension_run_id),True
public,study_extension_runs,study_extension_runs_protocol_sha256_check,c,CHECK (protocol_sha256 ~ '^[0-9a-f]{64}$'::text),True
public,study_extension_runs,study_extension_runs_status_check,c,"CHECK (status = ANY (ARRAY['running'::text, 'completed'::text, 'failed'::text, 'partial'::text]))",True
public,study_extension_runs,study_extension_runs_study_id_check,c,"CHECK (study_id = ANY (ARRAY['study_b_student_por'::text, 'study_c_oulad'::text]))",True
